EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FALUN, SWEDEN (STAID: 2)
Blended and updated with sources:36437 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     2, 36437,18600101,    4,    0
     2, 36437,18600102,   11,    0
     2, 36437,18600103,  -19,    0
     2, 36437,18600104,    4,    0
     2, 36437,18600105,   16,    0
     2, 36437,18600106,    6,    0
     2, 36437,18600107,   -9,    0
     2, 36437,18600108, -109,    0
     2, 36437,18600109, -121,    0
     2, 36437,18600110, -170,    0
     2, 36437,18600111,  -48,    0
     2, 36437,18600112,  -31,    0
     2, 36437,18600113,  -41,    0
     2, 36437,18600114,  -49,    0
     2, 36437,18600115,  -48,    0
     2, 36437,18600116,  -37,    0
     2, 36437,18600117,  -81,    0
     2, 36437,18600118,  -86,    0
     2, 36437,18600119,  -89,    0
     2, 36437,18600120,  -48,    0
     2, 36437,18600121,  -32,    0
     2, 36437,18600122,  -55,    0
     2, 36437,18600123,  -77,    0
     2, 36437,18600124,  -98,    0
     2, 36437,18600125,    0,    0
     2, 36437,18600126,   -4,    0
     2, 36437,18600127, -119,    0
     2, 36437,18600128,  -32,    0
     2, 36437,18600129,  -49,    0
     2, 36437,18600130, -112,    0
     2, 36437,18600131,  -47,    0
     2, 36437,18600201,  -36,    0
     2, 36437,18600202,  -54,    0
     2, 36437,18600203, -140,    0
     2, 36437,18600204,  -29,    0
     2, 36437,18600205, -142,    0
     2, 36437,18600206,  -95,    0
     2, 36437,18600207, -101,    0
     2, 36437,18600208, -118,    0
     2, 36437,18600209, -187,    0
     2, 36437,18600210, -276,    0
     2, 36437,18600211, -175,    0
     2, 36437,18600212, -201,    0
     2, 36437,18600213, -239,    0
     2, 36437,18600214,  -39,    0
     2, 36437,18600215,   -5,    0
     2, 36437,18600216,  -89,    0
     2, 36437,18600217,  -65,    0
     2, 36437,18600218,  -48,    0
     2, 36437,18600219,  -26,    0
     2, 36437,18600220, -121,    0
     2, 36437,18600221, -217,    0
     2, 36437,18600222, -262,    0
     2, 36437,18600223,  -95,    0
     2, 36437,18600224,  -27,    0
     2, 36437,18600225,  -22,    0
     2, 36437,18600226,  -58,    0
     2, 36437,18600227,  -32,    0
     2, 36437,18600228,    5,    0
     2, 36437,18600229,   -9,    0
     2, 36437,18600301,  -27,    0
     2, 36437,18600302,  -56,    0
     2, 36437,18600303,  -79,    0
     2, 36437,18600304,  -38,    0
     2, 36437,18600305,  -37,    0
     2, 36437,18600306,  -85,    0
     2, 36437,18600307, -116,    0
     2, 36437,18600308,  -71,    0
     2, 36437,18600309, -114,    0
     2, 36437,18600310, -113,    0
     2, 36437,18600311,  -74,    0
     2, 36437,18600312, -110,    0
     2, 36437,18600313,  -94,    0
     2, 36437,18600314,  -73,    0
     2, 36437,18600315,  -39,    0
     2, 36437,18600316,  -33,    0
     2, 36437,18600317,  -29,    0
     2, 36437,18600318,   15,    0
     2, 36437,18600319,   15,    0
     2, 36437,18600320,   25,    0
     2, 36437,18600321,   21,    0
     2, 36437,18600322,    3,    0
     2, 36437,18600323,   19,    0
     2, 36437,18600324,    7,    0
     2, 36437,18600325,   -7,    0
     2, 36437,18600326,    9,    0
     2, 36437,18600327,   -7,    0
     2, 36437,18600328,  -14,    0
     2, 36437,18600329,  -56,    0
     2, 36437,18600330,  -67,    0
     2, 36437,18600331,  -50,    0
     2, 36437,18600401,   -6,    0
     2, 36437,18600402,   26,    0
     2, 36437,18600403,    9,    0
