EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STENSELE, SWEDEN (STAID: 3)
Blended and updated with sources:37076 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     3, 37076,18600501,   57,    0
     3, 37076,18600502,    5,    0
     3, 37076,18600503,   14,    0
     3, 37076,18600504,   14,    0
     3, 37076,18600505,    7,    0
     3, 37076,18600506,    0,    0
     3, 37076,18600507,    6,    0
     3, 37076,18600508,   37,    0
     3, 37076,18600509,   56,    0
     3, 37076,18600510,   60,    0
     3, 37076,18600511,   16,    0
     3, 37076,18600512,   22,    0
     3, 37076,18600513,   16,    0
     3, 37076,18600514,   25,    0
     3, 37076,18600515,   32,    0
     3, 37076,18600516,   50,    0
     3, 37076,18600517,   57,    0
     3, 37076,18600518,   91,    0
     3, 37076,18600519,   50,    0
     3, 37076,18600520,   80,    0
     3, 37076,18600521,   55,    0
     3, 37076,18600522,   42,    0
     3, 37076,18600523,   33,    0
     3, 37076,18600524,   35,    0
     3, 37076,18600525,   36,    0
     3, 37076,18600526,   54,    0
     3, 37076,18600527,   68,    0
     3, 37076,18600528,  110,    0
     3, 37076,18600529,  104,    0
     3, 37076,18600530,   77,    0
     3, 37076,18600531,  117,    0
     3, 37076,18600601,  155,    0
     3, 37076,18600602,  189,    0
     3, 37076,18600603,  159,    0
     3, 37076,18600604,-9999,    9
     3, 37076,18600605,   89,    0
     3, 37076,18600606,  140,    0
     3, 37076,18600607,  170,    0
