EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LINKOEPING, SWEDEN (STAID: 4)
Blended and updated with sources:35825 35828 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     4, 35828,18581201,   19,    0
     4, 35828,18581202,   15,    0
     4, 35828,18581203,   17,    0
     4, 35828,18581204,   21,    0
     4, 35828,18581205,   -1,    0
     4, 35828,18581206,   22,    0
     4, 35828,18581207,   34,    0
     4, 35828,18581208,   33,    0
     4, 35828,18581209,   18,    0
     4, 35828,18581210,   -6,    0
     4, 35828,18581211,   -1,    0
     4, 35828,18581212,   -1,    0
     4, 35828,18581213,  -11,    0
     4, 35828,18581214,    3,    0
     4, 35828,18581215,    4,    0
     4, 35828,18581216,  -29,    0
     4, 35828,18581217,  -64,    0
     4, 35828,18581218,  -42,    0
     4, 35828,18581219,  -30,    0
     4, 35828,18581220,  -14,    0
     4, 35828,18581221,   -9,    0
     4, 35828,18581222,   15,    0
     4, 35828,18581223,   44,    0
     4, 35828,18581224,   33,    0
     4, 35828,18581225,   -5,    0
     4, 35828,18581226,  -49,    0
     4, 35828,18581227,  -22,    0
     4, 35828,18581228,  -42,    0
     4, 35828,18581229,  -54,    0
     4, 35828,18581230,  -87,    0
     4, 35828,18581231,  -64,    0
     4, 35828,18590101,    9,    0
     4, 35828,18590102,    9,    0
     4, 35828,18590103,   13,    0
     4, 35828,18590104,   -6,    0
     4, 35828,18590105,    0,    0
     4, 35828,18590106,   29,    0
     4, 35828,18590107,  -13,    0
     4, 35828,18590108,  -59,    0
     4, 35828,18590109,    8,    0
     4, 35828,18590110,   50,    0
     4, 35828,18590111,   35,    0
     4, 35828,18590112,  -26,    0
     4, 35828,18590113,  -44,    0
     4, 35828,18590114,  -37,    0
     4, 35828,18590115,   17,    0
     4, 35828,18590116,   21,    0
     4, 35828,18590117,   -9,    0
     4, 35828,18590118,   33,    0
     4, 35828,18590119,   56,    0
     4, 35828,18590120,   17,    0
     4, 35828,18590121,   24,    0
     4, 35828,18590122,   23,    0
     4, 35828,18590123,    9,    0
     4, 35828,18590124,   15,    0
     4, 35828,18590125,   51,    0
     4, 35828,18590126,   44,    0
     4, 35828,18590127,   16,    0
     4, 35828,18590128,   15,    0
     4, 35828,18590129,   13,    0
     4, 35828,18590130,   35,    0
     4, 35828,18590131,   26,    0
     4, 35828,18590201,    4,    0
     4, 35828,18590202,   16,    0
     4, 35828,18590203,    3,    0
     4, 35828,18590204,  -32,    0
     4, 35828,18590205,    9,    0
     4, 35828,18590206,   -2,    0
     4, 35828,18590207,   12,    0
     4, 35828,18590208,   10,    0
     4, 35828,18590209,    4,    0
     4, 35828,18590210,    4,    0
     4, 35828,18590211,   21,    0
     4, 35828,18590212,   34,    0
     4, 35828,18590213,   32,    0
     4, 35828,18590214,   29,    0
     4, 35828,18590215,   37,    0
     4, 35828,18590216,   40,    0
     4, 35828,18590217,   30,    0
     4, 35828,18590218,  -18,    0
     4, 35828,18590219,  -28,    0
     4, 35828,18590220,   -3,    0
     4, 35828,18590221,   53,    0
     4, 35828,18590222,   54,    0
     4, 35828,18590223,   -2,    0
     4, 35828,18590224,   -9,    0
     4, 35828,18590225,  -19,    0
     4, 35828,18590226,    8,    0
     4, 35828,18590227,    8,    0
     4, 35828,18590228,-9999,    9
     4, 35828,18590301,  -13,    0
     4, 35828,18590302,   20,    0
     4, 35828,18590303,   13,    0
     4, 35828,18590304,   28,    0
     4, 35828,18590305,   74,    0
     4, 35828,18590306,   40,    0
     4, 35828,18590307,   36,    0
     4, 35828,18590308,   43,    0
     4, 35828,18590309,   25,    0
     4, 35828,18590310,  -19,    0
     4, 35828,18590311,   40,    0
     4, 35828,18590312,   59,    0
     4, 35828,18590313,   50,    0
     4, 35828,18590314,   17,    0
     4, 35828,18590315,    6,    0
     4, 35828,18590316,   -1,    0
     4, 35828,18590317,   21,    0
     4, 35828,18590318,   68,    0
     4, 35828,18590319,   35,    0
     4, 35828,18590320,   50,    0
     4, 35828,18590321,   54,    0
     4, 35828,18590322,   38,    0
     4, 35828,18590323,   14,    0
     4, 35828,18590324,  -48,    0
     4, 35828,18590325,  -55,    0
     4, 35828,18590326,  -63,    0
     4, 35828,18590327,-9999,    9
     4, 35828,18590328,   42,    0
     4, 35828,18590329,   84,    0
     4, 35828,18590330,   34,    0
     4, 35828,18590331,    3,    0
     4, 35828,18590401,   10,    0
     4, 35828,18590402,   24,    0
     4, 35828,18590403,   19,    0
     4, 35828,18590404,   11,    0
     4, 35828,18590405,    5,    0
     4, 35828,18590406,   28,    0
     4, 35828,18590407,-9999,    9
     4, 35828,18590408,  122,    0
     4, 35828,18590409,   88,    0
     4, 35828,18590410,   35,    0
     4, 35828,18590411,   15,    0
     4, 35828,18590412,   19,    0
     4, 35828,18590413,   44,    0
     4, 35828,18590414,   35,    0
     4, 35828,18590415,   36,    0
     4, 35828,18590416,   22,    0
     4, 35828,18590417,   25,    0
     4, 35828,18590418,   20,    0
     4, 35828,18590419,   31,    0
     4, 35828,18590420,   37,    0
     4, 35828,18590421,   46,    0
     4, 35828,18590422,   42,    0
     4, 35828,18590423,   64,    0
     4, 35828,18590424,   54,    0
     4, 35828,18590425,   43,    0
     4, 35828,18590426,   10,    0
     4, 35828,18590427,   18,    0
     4, 35828,18590428,   40,    0
     4, 35828,18590429,   45,    0
     4, 35828,18590430,   37,    0
     4, 35828,18590501,   44,    0
     4, 35828,18590502,   56,    0
     4, 35828,18590503,   41,    0
