EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARLSTAD, SWEDEN (STAID: 6)
Blended and updated with sources:36143 36152 66036 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     6, 36152,18600101,    9,    0
     6, 36152,18600102,   35,    0
     6, 36152,18600103,   15,    0
     6, 36152,18600104,   24,    0
     6, 36152,18600105,   34,    0
     6, 36152,18600106,    7,    0
     6, 36152,18600107,  -12,    0
     6, 36152,18600108,  -13,    0
     6, 36152,18600109,  -73,    0
     6, 36152,18600110,  -86,    0
     6, 36152,18600111,  -14,    0
     6, 36152,18600112,  -13,    0
     6, 36152,18600113,  -34,    0
     6, 36152,18600114,  -21,    0
     6, 36152,18600115,  -35,    0
     6, 36152,18600116,   -7,    0
     6, 36152,18600117,  -19,    0
     6, 36152,18600118,  -18,    0
     6, 36152,18600119,  -70,    0
     6, 36152,18600120, -108,    0
     6, 36152,18600121,  -35,    0
     6, 36152,18600122,  -29,    0
     6, 36152,18600123,  -62,    0
     6, 36152,18600124,  -65,    0
     6, 36152,18600125,    9,    0
     6, 36152,18600126,   -7,    0
     6, 36152,18600127,  -82,    0
     6, 36152,18600128,  -32,    0
     6, 36152,18600129,  -71,    0
     6, 36152,18600130, -104,    0
     6, 36152,18600131, -106,    0
     6, 36152,18600201,  -60,    0
     6, 36152,18600202,  -42,    0
     6, 36152,18600203, -102,    0
     6, 36152,18600204,   -1,    0
     6, 36152,18600205,    2,    0
     6, 36152,18600206,  -19,    0
     6, 36152,18600207, -122,    0
     6, 36152,18600208, -156,    0
     6, 36152,18600209, -159,    0
     6, 36152,18600210, -221,    0
     6, 36152,18600211, -196,    0
     6, 36152,18600212, -168,    0
     6, 36152,18600213, -163,    0
     6, 36152,18600214,  -53,    0
     6, 36152,18600215,   -8,    0
     6, 36152,18600216,  -25,    0
     6, 36152,18600217,  -60,    0
     6, 36152,18600218,  -25,    0
     6, 36152,18600219,    8,    0
     6, 36152,18600220,-9999,    9
     6, 36152,18600221, -164,    0
     6, 36152,18600222, -227,    0
     6, 36152,18600223,  -17,    0
     6, 36152,18600224,   -9,    0
     6, 36152,18600225,  -38,    0
     6, 36152,18600226,  -40,    0
     6, 36152,18600227,  -22,    0
     6, 36152,18600228,    1,    0
     6, 36152,18600229,  -21,    0
     6, 36152,18600301,  -21,    0
     6, 36152,18600302,  -53,    0
     6, 36152,18600303,  -45,    0
     6, 36152,18600304,  -25,    0
     6, 36152,18600305,  -19,    0
     6, 36152,18600306,  -54,    0
     6, 36152,18600307,  -76,    0
     6, 36152,18600308,  -68,    0
     6, 36152,18600309,  -85,    0
     6, 36152,18600310, -110,    0
     6, 36152,18600311, -105,    0
     6, 36152,18600312, -118,    0
     6, 36152,18600313,  -72,    0
     6, 36152,18600314,  -44,    0
     6, 36152,18600315,  -13,    0
     6, 36152,18600316,   -7,    0
     6, 36152,18600317,-9999,    9
     6, 36152,18600318,   13,    0
     6, 36152,18600319,    7,    0
     6, 36152,18600320,   20,    0
     6, 36152,18600321,   16,    0
     6, 36152,18600322,   12,    0
     6, 36152,18600323,   14,    0
     6, 36152,18600324,    9,    0
     6, 36152,18600325,   10,    0
     6, 36152,18600326,   18,    0
     6, 36152,18600327,    9,    0
     6, 36152,18600328,   -5,    0
     6, 36152,18600329,  -32,    0
     6, 36152,18600330,  -49,    0
     6, 36152,18600331,  -15,    0
     6, 36152,18600401,    5,    0
     6, 36152,18600402,   23,    0
     6, 36152,18600403,   24,    0
     6, 36152,18600404,  -10,    0
     6, 36152,18600405,   14,    0
     6, 36152,18600406,   14,    0
     6, 36152,18600407,   33,    0
     6, 36152,18600408,   38,    0
     6, 36152,18600409,   40,    0
     6, 36152,18600410,   26,    0
     6, 36152,18600411,   21,    0
     6, 36152,18600412,   50,    0
     6, 36152,18600413,   11,    0
     6, 36152,18600414,   31,    0
     6, 36152,18600415,-9999,    9
     6, 36152,18600416,   23,    0
     6, 36152,18600417,   55,    0
     6, 36152,18600418,   -5,    0
     6, 36152,18600419,  -19,    0
     6, 36152,18600420,  -14,    0
     6, 36152,18600421,   29,    0
     6, 36152,18600422,   38,    0
