EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARLSTAD-AIRPORT, SWEDEN (STAID: 7)
Blended and updated with sources:36140 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     7, 36140,19420601,  102,    0
     7, 36140,19420602,   94,    0
     7, 36140,19420603,  138,    0
     7, 36140,19420604,  161,    0
     7, 36140,19420605,  164,    0
     7, 36140,19420606,  114,    0
     7, 36140,19420607,  116,    0
     7, 36140,19420608,  104,    0
     7, 36140,19420609,   90,    0
     7, 36140,19420610,  102,    0
     7, 36140,19420611,   95,    0
     7, 36140,19420612,   97,    0
     7, 36140,19420613,  136,    0
     7, 36140,19420614,  124,    0
     7, 36140,19420615,  130,    0
     7, 36140,19420616,  151,    0
     7, 36140,19420617,  165,    0
     7, 36140,19420618,  115,    0
     7, 36140,19420619,  117,    0
     7, 36140,19420620,   99,    0
     7, 36140,19420621,  106,    0
     7, 36140,19420622,  140,    0
     7, 36140,19420623,  142,    0
     7, 36140,19420624,  149,    0
     7, 36140,19420625,  119,    0
     7, 36140,19420626,  118,    0
     7, 36140,19420627,  125,    0
     7, 36140,19420628,  146,    0
     7, 36140,19420629,  141,    0
     7, 36140,19420630,  163,    0
     7, 36140,19420701,  141,    0
     7, 36140,19420702,  137,    0
     7, 36140,19420703,  147,    0
     7, 36140,19420704,  156,    0
     7, 36140,19420705,  182,    0
     7, 36140,19420706,  190,    0
     7, 36140,19420707,  180,    0
     7, 36140,19420708,  161,    0
