EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OESTERSUND, SWEDEN (STAID: 8)
Blended and updated with sources:8913 36779 36791 36794 36797 58035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     8, 58035,18600901,  117,    0
     8, 58035,18600902,  112,    0
     8, 58035,18600903,   96,    0
     8, 58035,18600904,  103,    0
     8, 58035,18600905,   89,    0
     8, 58035,18600906,  132,    0
     8, 58035,18600907,  122,    0
     8, 58035,18600908,   79,    0
     8, 58035,18600909,   56,    0
     8, 58035,18600910,   46,    0
     8, 58035,18600911,   61,    0
     8, 58035,18600912,   95,    0
     8, 58035,18600913,   73,    0
     8, 58035,18600914,   69,    0
     8, 58035,18600915,   77,    0
     8, 58035,18600916,  100,    0
     8, 58035,18600917,  107,    0
     8, 58035,18600918,   78,    0
     8, 58035,18600919,   70,    0
     8, 58035,18600920,   82,    0
     8, 58035,18600921,   94,    0
     8, 58035,18600922,   49,    0
     8, 58035,18600923,   58,    0
     8, 58035,18600924,   68,    0
     8, 58035,18600925,   76,    0
     8, 58035,18600926,   88,    0
     8, 58035,18600927,   48,    0
     8, 58035,18600928,   56,    0
     8, 58035,18600929,   26,    0
     8, 58035,18600930,   43,    0
     8, 58035,18601001,   58,    0
     8, 58035,18601002,   64,    0
     8, 58035,18601003,   50,    0
     8, 58035,18601004,   26,    0
     8, 58035,18601005,    9,    0
     8, 58035,18601006,    7,    0
     8, 58035,18601007,   -2,    0
     8, 58035,18601008,    0,    0
     8, 58035,18601009,    8,    0
     8, 58035,18601010,    8,    0
     8, 58035,18601011,  -19,    0
     8, 58035,18601012,   -4,    0
     8, 58035,18601013,  -17,    0
     8, 58035,18601014,   -7,    0
     8, 58035,18601015,   19,    0
     8, 58035,18601016,   29,    0
     8, 58035,18601017,   44,    0
     8, 58035,18601018,   49,    0
     8, 58035,18601019,   68,    0
     8, 58035,18601020,   27,    0
     8, 58035,18601021,   27,    0
     8, 58035,18601022,    8,    0
     8, 58035,18601023,    8,    0
     8, 58035,18601024,    7,    0
     8, 58035,18601025,   29,    0
     8, 58035,18601026,   81,    0
     8, 58035,18601027,   99,    0
     8, 58035,18601028,   90,    0
     8, 58035,18601029,   22,    0
     8, 58035,18601030,   -5,    0
     8, 58035,18601031,   12,    0
     8, 58035,18601101,   -6,    0
     8, 58035,18601102,   25,    0
     8, 58035,18601103,   19,    0
     8, 58035,18601104,   -4,    0
     8, 58035,18601105,  -40,    0
     8, 58035,18601106,  -37,    0
     8, 58035,18601107,   19,    0
     8, 58035,18601108,   32,    0
     8, 58035,18601109,   39,    0
     8, 58035,18601110,   45,    0
     8, 58035,18601111,   46,    0
     8, 58035,18601112,   -1,    0
     8, 58035,18601113,  -14,    0
     8, 58035,18601114,  -14,    0
     8, 58035,18601115,    8,    0
     8, 58035,18601116,   30,    0
     8, 58035,18601117,  -18,    0
     8, 58035,18601118,  -37,    0
     8, 58035,18601119,  -11,    0
     8, 58035,18601120,  -60,    0
     8, 58035,18601121,  -92,    0
     8, 58035,18601122, -125,    0
     8, 58035,18601123,  -68,    0
     8, 58035,18601124,  -46,    0
     8, 58035,18601125,  -57,    0
     8, 58035,18601126,  -81,    0
     8, 58035,18601127, -109,    0
     8, 58035,18601128, -146,    0
     8, 58035,18601129, -127,    0
     8, 58035,18601130,  -73,    0
     8, 58035,18601201,  -71,    0
     8, 58035,18601202,  -84,    0
     8, 58035,18601203, -107,    0
     8, 58035,18601204, -175,    0
     8, 58035,18601205, -129,    0
     8, 58035,18601206,  -86,    0
     8, 58035,18601207,  -60,    0
     8, 58035,18601208,  -62,    0
     8, 58035,18601209,  -90,    0
     8, 58035,18601210,  -80,    0
     8, 58035,18601211,  -96,    0
     8, 58035,18601212, -152,    0
     8, 58035,18601213,  -68,    0
     8, 58035,18601214,  -68,    0
     8, 58035,18601215,  -82,    0
