EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OESTERSUND-FROESOEN, SWEDEN (STAID: 9)
Blended and updated with sources:36779 36791 36794 36797 58035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     9, 58035,18600901,  117,    0
     9, 58035,18600902,  112,    0
     9, 58035,18600903,   96,    0
     9, 58035,18600904,  103,    0
     9, 58035,18600905,   89,    0
     9, 58035,18600906,  132,    0
     9, 58035,18600907,  122,    0
     9, 58035,18600908,   79,    0
     9, 58035,18600909,   56,    0
     9, 58035,18600910,   46,    0
     9, 58035,18600911,   61,    0
     9, 58035,18600912,   95,    0
     9, 58035,18600913,   73,    0
     9, 58035,18600914,   69,    0
     9, 58035,18600915,   77,    0
     9, 58035,18600916,  100,    0
     9, 58035,18600917,  107,    0
     9, 58035,18600918,   78,    0
     9, 58035,18600919,   70,    0
     9, 58035,18600920,   82,    0
     9, 58035,18600921,   94,    0
     9, 58035,18600922,   49,    0
     9, 58035,18600923,   58,    0
     9, 58035,18600924,   68,    0
     9, 58035,18600925,   76,    0
     9, 58035,18600926,   88,    0
     9, 58035,18600927,   48,    0
     9, 58035,18600928,   56,    0
     9, 58035,18600929,   26,    0
     9, 58035,18600930,   43,    0
     9, 58035,18601001,   58,    0
     9, 58035,18601002,   64,    0
     9, 58035,18601003,   50,    0
     9, 58035,18601004,   26,    0
