EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STOCKHOLM, SWEDEN (STAID: 10)
Blended and updated with sources:30 36122 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    10,    30,17560101,  -87,    0
    10,    30,17560102,  -92,    0
    10,    30,17560103,  -86,    0
    10,    30,17560104,  -77,    0
    10,    30,17560105,  -72,    0
    10,    30,17560106,  -16,    0
    10,    30,17560107,    7,    0
    10,    30,17560108,   13,    0
    10,    30,17560109,   24,    0
    10,    30,17560110,    8,    0
    10,    30,17560111,    6,    0
    10,    30,17560112,   43,    0
    10,    30,17560113,   -2,    0
    10,    30,17560114,   -7,    0
    10,    30,17560115,  -57,    0
    10,    30,17560116,  -62,    0
    10,    30,17560117, -100,    0
    10,    30,17560118, -115,    0
    10,    30,17560119,  -62,    0
    10,    30,17560120,    8,    0
    10,    30,17560121,   18,    0
    10,    30,17560122,  -47,    0
    10,    30,17560123,  -47,    0
    10,    30,17560124,    5,    0
    10,    30,17560125,   -4,    0
    10,    30,17560126,  -10,    0
    10,    30,17560127,  -68,    0
    10,    30,17560128,  -30,    0
    10,    30,17560129,   13,    0
    10,    30,17560130,   38,    0
    10,    30,17560131,   48,    0
    10,    30,17560201,    3,    0
    10,    30,17560202,  -42,    0
    10,    30,17560203,  -43,    0
    10,    30,17560204,  -33,    0
    10,    30,17560205,  -12,    0
    10,    30,17560206,    5,    0
    10,    30,17560207,   33,    0
    10,    30,17560208,    8,    0
    10,    30,17560209,  -10,    0
    10,    30,17560210,   -6,    0
    10,    30,17560211,    3,    0
    10,    30,17560212,   -8,    0
    10,    30,17560213,   23,    0
    10,    30,17560214,  -23,    0
    10,    30,17560215,   -2,    0
    10,    30,17560216,   -2,    0
    10,    30,17560217,   -3,    0
    10,    30,17560218,  -18,    0
    10,    30,17560219,  -22,    0
    10,    30,17560220,  -43,    0
    10,    30,17560221,   57,    0
    10,    30,17560222,   68,    0
    10,    30,17560223,   17,    0
    10,    30,17560224,  -28,    0
    10,    30,17560225,  -48,    0
    10,    30,17560226,  -38,    0
    10,    30,17560227,  -37,    0
    10,    30,17560228,  -34,    0
    10,    30,17560229,    7,    0
    10,    30,17560301,  -62,    0
    10,    30,17560302,  -52,    0
    10,    30,17560303,   -1,    0
    10,    30,17560304,    4,    0
    10,    30,17560305,  -10,    0
    10,    30,17560306,   38,    0
    10,    30,17560307,   28,    0
    10,    30,17560308,   39,    0
    10,    30,17560309,   44,    0
    10,    30,17560310,   -1,    0
    10,    30,17560311,  -36,    0
    10,    30,17560312,  -11,    0
    10,    30,17560313,  -16,    0
    10,    30,17560314,  -31,    0
    10,    30,17560315,  -21,    0
    10,    30,17560316,   17,    0
    10,    30,17560317,  -11,    0
    10,    30,17560318,   25,    0
    10,    30,17560319,   54,    0
    10,    30,17560320,   50,    0
    10,    30,17560321,   22,    0
    10,    30,17560322,   -1,    0
    10,    30,17560323,  -23,    0
    10,    30,17560324,  -45,    0
    10,    30,17560325,  -55,    0
    10,    30,17560326,  -13,    0
    10,    30,17560327,    0,    0
    10,    30,17560328,  -38,    0
    10,    30,17560329,  -35,    0
    10,    30,17560330,  -40,    0
    10,    30,17560331,  -15,    0
    10,    30,17560401,    2,    0
    10,    30,17560402,  -30,    0
    10,    30,17560403,  -13,    0
    10,    30,17560404,  -32,    0
    10,    30,17560405,  -35,    0
    10,    30,17560406,  -24,    0
    10,    30,17560407,   -2,    0
    10,    30,17560408,  -18,    0
    10,    30,17560409,   -2,    0
    10,    30,17560410,   -9,    0
    10,    30,17560411,   37,    0
    10,    30,17560412,   23,    0
    10,    30,17560413,   20,    0
    10,    30,17560414,   47,    0
    10,    30,17560415,   12,    0
    10,    30,17560416,    5,    0
    10,    30,17560417,    8,    0
    10,    30,17560418,   14,    0
    10,    30,17560419,   25,    0
    10,    30,17560420,   21,    0
    10,    30,17560421,   -9,    0
    10,    30,17560422,   21,    0
    10,    30,17560423,   -4,    0
    10,    30,17560424,   13,    0
    10,    30,17560425,   33,    0
    10,    30,17560426,   38,    0
    10,    30,17560427,   11,    0
    10,    30,17560428,   39,    0
    10,    30,17560429,    9,    0
    10,    30,17560430,    5,    0
    10,    30,17560501,    1,    0
    10,    30,17560502,   15,    0
    10,    30,17560503,   29,    0
    10,    30,17560504,   21,    0
    10,    30,17560505,   41,    0
    10,    30,17560506,   27,    0
    10,    30,17560507,   36,    0
    10,    30,17560508,   45,    0
    10,    30,17560509,   84,    0
    10,    30,17560510,   96,    0
    10,    30,17560511,   25,    0
    10,    30,17560512,   31,    0
    10,    30,17560513,   60,    0
    10,    30,17560514,   53,    0
    10,    30,17560515,   17,    0
    10,    30,17560516,   38,    0
    10,    30,17560517,   56,    0
    10,    30,17560518,   69,    0
    10,    30,17560519,   81,    0
    10,    30,17560520,  106,    0
    10,    30,17560521,  120,    0
    10,    30,17560522,   81,    0
    10,    30,17560523,   70,    0
    10,    30,17560524,   53,    0
    10,    30,17560525,   49,    0
    10,    30,17560526,   90,    0
    10,    30,17560527,   44,    0
    10,    30,17560528,   43,    0
    10,    30,17560529,   33,    0
    10,    30,17560530,   49,    0
    10,    30,17560531,   63,    0
    10,    30,17560601,  110,    0
    10,    30,17560602,  115,    0
    10,    30,17560603,  124,    0
    10,    30,17560604,  163,    0
    10,    30,17560605,  158,    0
    10,    30,17560606,  150,    0
    10,    30,17560607,  140,    0
    10,    30,17560608,  117,    0
    10,    30,17560609,  150,    0
    10,    30,17560610,  128,    0
    10,    30,17560611,  117,    0
    10,    30,17560612,  113,    0
    10,    30,17560613,  109,    0
    10,    30,17560614,  129,    0
    10,    30,17560615,  138,    0
    10,    30,17560616,  171,    0
    10,    30,17560617,  176,    0
    10,    30,17560618,  193,    0
    10,    30,17560619,  203,    0
    10,    30,17560620,  213,    0
    10,    30,17560621,  208,    0
    10,    30,17560622,  163,    0
    10,    30,17560623,  170,    0
    10,    30,17560624,  127,    0
    10,    30,17560625,  161,    0
    10,    30,17560626,  180,    0
    10,    30,17560627,  159,    0
    10,    30,17560628,  153,    0
    10,    30,17560629,  169,    0
    10,    30,17560630,  166,    0
    10,    30,17560701,  148,    0
    10,    30,17560702,   93,    0
    10,    30,17560703,   83,    0
    10,    30,17560704,   92,    0
    10,    30,17560705,  109,    0
    10,    30,17560706,  116,    0
    10,    30,17560707,  119,    0
    10,    30,17560708,  129,    0
    10,    30,17560709,  151,    0
    10,    30,17560710,  129,    0
    10,    30,17560711,  149,    0
    10,    30,17560712,  209,    0
    10,    30,17560713,  182,    0
    10,    30,17560714,  204,    0
    10,    30,17560715,  228,    0
    10,    30,17560716,  217,    0
    10,    30,17560717,  237,    0
    10,    30,17560718,  234,    0
    10,    30,17560719,  234,    0
    10,    30,17560720,  230,    0
    10,    30,17560721,  183,    0
    10,    30,17560722,  164,    0
    10,    30,17560723,  164,    0
    10,    30,17560724,  173,    0
    10,    30,17560725,  140,    0
    10,    30,17560726,  160,    0
