EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:34 119157 129067 911290 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    12,129067,18940101,  -60,    0
    12,129067,18940102,  -54,    0
    12,129067,18940103,  -93,    0
    12,129067,18940104, -136,    0
    12,129067,18940105, -111,    0
    12,129067,18940106, -106,    0
    12,129067,18940107,  -90,    0
    12,129067,18940108,  -44,    0
    12,129067,18940109,  -36,    0
    12,129067,18940110,  -41,    0
    12,129067,18940111,  -39,    0
    12,129067,18940112,  -83,    0
    12,129067,18940113, -123,    0
    12,129067,18940114, -115,    0
    12,129067,18940115, -132,    0
    12,129067,18940116,  -97,    0
    12,129067,18940117, -110,    0
    12,129067,18940118,  -80,    0
    12,129067,18940119,  -34,    0
    12,129067,18940120,    8,    0
    12,129067,18940121,    3,    0
    12,129067,18940122,  -20,    0
    12,129067,18940123,   -1,    0
    12,129067,18940124,   26,    0
    12,129067,18940125,    9,    0
    12,129067,18940126,   11,    0
    12,129067,18940127,   12,    0
    12,129067,18940128,  -11,    0
    12,129067,18940129,   -2,    0
    12,129067,18940130,    3,    0
    12,129067,18940131,    0,    0
    12,129067,18940201,   -2,    0
    12,129067,18940202,   14,    0
    12,129067,18940203,   31,    0
    12,129067,18940204,   39,    0
    12,129067,18940205,    8,    0
    12,129067,18940206,   26,    0
    12,129067,18940207,   -6,    0
    12,129067,18940208,   74,    0
    12,129067,18940209,   53,    0
    12,129067,18940210,   43,    0
    12,129067,18940211,   50,    0
    12,129067,18940212,   58,    0
    12,129067,18940213,   41,    0
    12,129067,18940214,    2,    0
    12,129067,18940215,  -11,    0
    12,129067,18940216,   -8,    0
    12,129067,18940217,  -31,    0
    12,129067,18940218,  -52,    0
    12,129067,18940219,  -33,    0
    12,129067,18940220,  -63,    0
    12,129067,18940221,  -42,    0
    12,129067,18940222,  -51,    0
    12,129067,18940223,  -38,    0
    12,129067,18940224,  -16,    0
    12,129067,18940225,   26,    0
    12,129067,18940226,   23,    0
    12,129067,18940227,   68,    0
    12,129067,18940228,   49,    0
    12,129067,18940301,   49,    0
    12,129067,18940302,   24,    0
    12,129067,18940303,   34,    0
    12,129067,18940304,   49,    0
    12,129067,18940305,   45,    0
    12,129067,18940306,   14,    0
    12,129067,18940307,   43,    0
    12,129067,18940308,   33,    0
    12,129067,18940309,   42,    0
    12,129067,18940310,   70,    0
    12,129067,18940311,   73,    0
    12,129067,18940312,   66,    0
    12,129067,18940313,   97,    0
    12,129067,18940314,   82,    0
    12,129067,18940315,   62,    0
    12,129067,18940316,   33,    0
    12,129067,18940317,   32,    0
    12,129067,18940318,   26,    0
    12,129067,18940319,   19,    0
    12,129067,18940320,   27,    0
    12,129067,18940321,   38,    0
    12,129067,18940322,   36,    0
    12,129067,18940323,   37,    0
    12,129067,18940324,   45,    0
    12,129067,18940325,   28,    0
    12,129067,18940326,   38,    0
    12,129067,18940327,   41,    0
    12,129067,18940328,   56,    0
    12,129067,18940329,   68,    0
    12,129067,18940330,   65,    0
    12,129067,18940331,   38,    0
    12,129067,18940401,   45,    0
    12,129067,18940402,   69,    0
    12,129067,18940403,   78,    0
    12,129067,18940404,   83,    0
    12,129067,18940405,   86,    0
    12,129067,18940406,  102,    0
    12,129067,18940407,  106,    0
    12,129067,18940408,  110,    0
    12,129067,18940409,  109,    0
    12,129067,18940410,   95,    0
    12,129067,18940411,   92,    0
    12,129067,18940412,   71,    0
    12,129067,18940413,  114,    0
    12,129067,18940414,  124,    0
    12,129067,18940415,  128,    0
    12,129067,18940416,  113,    0
    12,129067,18940417,  113,    0
    12,129067,18940418,  137,    0
    12,129067,18940419,  102,    0
    12,129067,18940420,  104,    0
    12,129067,18940421,  106,    0
    12,129067,18940422,  113,    0
    12,129067,18940423,  115,    0
    12,129067,18940424,  118,    0
    12,129067,18940425,  126,    0
    12,129067,18940426,  135,    0
    12,129067,18940427,  141,    0
    12,129067,18940428,  140,    0
    12,129067,18940429,  119,    0
    12,129067,18940430,  107,    0
    12,129067,18940501,  116,    0
    12,129067,18940502,  121,    0
    12,129067,18940503,  125,    0
    12,129067,18940504,  127,    0
    12,129067,18940505,   69,    0
    12,129067,18940506,   65,    0
    12,129067,18940507,   90,    0
    12,129067,18940508,  132,    0
    12,129067,18940509,  120,    0
    12,129067,18940510,  121,    0
    12,129067,18940511,  140,    0
    12,129067,18940512,  143,    0
    12,129067,18940513,  133,    0
    12,129067,18940514,  162,    0
    12,129067,18940515,  149,    0
    12,129067,18940516,  151,    0
    12,129067,18940517,  161,    0
    12,129067,18940518,  154,    0
    12,129067,18940519,  147,    0
    12,129067,18940520,  150,    0
    12,129067,18940521,  154,    0
    12,129067,18940522,  145,    0
    12,129067,18940523,  136,    0
    12,129067,18940524,  171,    0
    12,129067,18940525,  158,    0
    12,129067,18940526,  154,    0
    12,129067,18940527,  138,    0
    12,129067,18940528,  122,    0
    12,129067,18940529,  133,    0
    12,129067,18940530,  129,    0
    12,129067,18940531,  137,    0
    12,129067,18940601,  138,    0
    12,129067,18940602,  138,    0
    12,129067,18940603,  169,    0
    12,129067,18940604,  179,    0
    12,129067,18940605,  207,    0
    12,129067,18940606,  198,    0
    12,129067,18940607,  184,    0
    12,129067,18940608,  159,    0
    12,129067,18940609,  136,    0
    12,129067,18940610,  136,    0
    12,129067,18940611,  158,    0
    12,129067,18940612,  128,    0
    12,129067,18940613,  115,    0
    12,129067,18940614,  134,    0
    12,129067,18940615,  120,    0
    12,129067,18940616,  142,    0
    12,129067,18940617,  150,    0
    12,129067,18940618,  180,    0
    12,129067,18940619,  153,    0
    12,129067,18940620,  163,    0
    12,129067,18940621,  136,    0
    12,129067,18940622,  171,    0
    12,129067,18940623,  147,    0
    12,129067,18940624,  178,    0
    12,129067,18940625,  191,    0
    12,129067,18940626,  192,    0
    12,129067,18940627,  162,    0
    12,129067,18940628,  136,    0
    12,129067,18940629,  162,    0
    12,129067,18940630,  167,    0
    12,129067,18940701,  177,    0
    12,129067,18940702,  191,    0
    12,129067,18940703,  196,    0
    12,129067,18940704,  196,    0
    12,129067,18940705,  194,    0
    12,129067,18940706,  199,    0
    12,129067,18940707,  198,    0
    12,129067,18940708,  187,    0
    12,129067,18940709,  191,    0
    12,129067,18940710,  206,    0
    12,129067,18940711,  201,    0
    12,129067,18940712,  185,    0
    12,129067,18940713,  179,    0
    12,129067,18940714,  211,    0
    12,129067,18940715,  183,    0
    12,129067,18940716,  173,    0
    12,129067,18940717,  174,    0
    12,129067,18940718,  187,    0
