EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INNSBRUCK-UNIV, AUSTRIA (STAID: 13)
Blended and updated with sources:36 119156 127858 911121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    13,127858,18770101,   40,    0
    13,127858,18770102,   35,    0
    13,127858,18770103,   45,    0
    13,127858,18770104,   65,    0
    13,127858,18770105,   70,    0
    13,127858,18770106,   65,    0
    13,127858,18770107,   55,    0
    13,127858,18770108,   35,    0
    13,127858,18770109,   60,    0
    13,127858,18770110,   55,    0
    13,127858,18770111,   40,    0
    13,127858,18770112,   35,    0
    13,127858,18770113,   28,    0
    13,127858,18770114,   23,    0
    13,127858,18770115,   -9,    0
    13,127858,18770116,    8,    0
    13,127858,18770117,   -5,    0
    13,127858,18770118,  -30,    0
    13,127858,18770119,  -30,    0
    13,127858,18770120,   15,    0
    13,127858,18770121,   18,    0
    13,127858,18770122,   -2,    0
    13,127858,18770123,  -15,    0
    13,127858,18770124,  -40,    0
    13,127858,18770125,  -40,    0
    13,127858,18770126,    0,    0
    13,127858,18770127,  -15,    0
    13,127858,18770128,  -48,    0
    13,127858,18770129,  -30,    0
    13,127858,18770130,  -10,    0
    13,127858,18770131,  -10,    0
    13,127858,18770201,  -26,    0
    13,127858,18770202,  -25,    0
    13,127858,18770203,  -58,    0
    13,127858,18770204,    5,    0
    13,127858,18770205,   15,    0
    13,127858,18770206,  -43,    0
    13,127858,18770207,  -25,    0
    13,127858,18770208,   38,    0
    13,127858,18770209,   30,    0
    13,127858,18770210,   50,    0
    13,127858,18770211,   65,    0
    13,127858,18770212,   85,    0
    13,127858,18770213,   63,    0
    13,127858,18770214,   25,    0
    13,127858,18770215,   28,    0
    13,127858,18770216,   45,    0
    13,127858,18770217,   30,    0
    13,127858,18770218,   18,    0
    13,127858,18770219,  -10,    0
    13,127858,18770220,   23,    0
    13,127858,18770221,   17,    0
    13,127858,18770222,   13,    0
    13,127858,18770223,   -3,    0
    13,127858,18770224,    0,    0
    13,127858,18770225,   43,    0
    13,127858,18770226,   86,    0
    13,127858,18770227,   38,    0
    13,127858,18770228,   13,    0
    13,127858,18770301,  -35,    0
    13,127858,18770302,  -50,    0
    13,127858,18770303,  -63,    0
    13,127858,18770304,    5,    0
    13,127858,18770305,   30,    0
    13,127858,18770306,   30,    0
    13,127858,18770307,   13,    0
    13,127858,18770308,   -5,    0
    13,127858,18770309,  -15,    0
    13,127858,18770310,  -40,    0
    13,127858,18770311,  -60,    0
    13,127858,18770312,  -56,    0
    13,127858,18770313,  -35,    0
    13,127858,18770314,    5,    0
    13,127858,18770315,   13,    0
    13,127858,18770316,   24,    0
    13,127858,18770317,   10,    0
    13,127858,18770318,   38,    0
    13,127858,18770319,   78,    0
    13,127858,18770320,  138,    0
    13,127858,18770321,   75,    0
    13,127858,18770322,   55,    0
    13,127858,18770323,   48,    0
    13,127858,18770324,   43,    0
    13,127858,18770325,   60,    0
    13,127858,18770326,   75,    0
    13,127858,18770327,   75,    0
    13,127858,18770328,   98,    0
    13,127858,18770329,  120,    0
    13,127858,18770330,   95,    0
    13,127858,18770331,   90,    0
    13,127858,18770401,   80,    0
    13,127858,18770402,   55,    0
    13,127858,18770403,   90,    0
    13,127858,18770404,  145,    0
    13,127858,18770405,  115,    0
    13,127858,18770406,   90,    0
    13,127858,18770407,   95,    0
    13,127858,18770408,   90,    0
    13,127858,18770409,  145,    0
    13,127858,18770410,  138,    0
    13,127858,18770411,  125,    0
    13,127858,18770412,  105,    0
    13,127858,18770413,   90,    0
    13,127858,18770414,   95,    0
    13,127858,18770415,   70,    0
    13,127858,18770416,   55,    0
    13,127858,18770417,   43,    0
    13,127858,18770418,   70,    0
    13,127858,18770419,   60,    0
    13,127858,18770420,   45,    0
    13,127858,18770421,   35,    0
    13,127858,18770422,   23,    0
    13,127858,18770423,   65,    0
    13,127858,18770424,   70,    0
    13,127858,18770425,   75,    0
    13,127858,18770426,   83,    0
    13,127858,18770427,   95,    0
    13,127858,18770428,  110,    0
    13,127858,18770429,  120,    0
    13,127858,18770430,  100,    0
    13,127858,18770501,   85,    0
    13,127858,18770502,   60,    0
    13,127858,18770503,   54,    0
    13,127858,18770504,   55,    0
    13,127858,18770505,  120,    0
    13,127858,18770506,  108,    0
    13,127858,18770507,  120,    0
    13,127858,18770508,  145,    0
    13,127858,18770509,  113,    0
    13,127858,18770510,   80,    0
    13,127858,18770511,  120,    0
    13,127858,18770512,  120,    0
    13,127858,18770513,  120,    0
    13,127858,18770514,  102,    0
    13,127858,18770515,  140,    0
    13,127858,18770516,  110,    0
    13,127858,18770517,  125,    0
    13,127858,18770518,  120,    0
    13,127858,18770519,  131,    0
    13,127858,18770520,  103,    0
    13,127858,18770521,  100,    0
    13,127858,18770522,  123,    0
    13,127858,18770523,  120,    0
    13,127858,18770524,  128,    0
    13,127858,18770525,  123,    0
    13,127858,18770526,  103,    0
    13,127858,18770527,  135,    0
    13,127858,18770528,  143,    0
    13,127858,18770529,  155,    0
    13,127858,18770530,  163,    0
    13,127858,18770531,  173,    0
    13,127858,18770601,  175,    0
    13,127858,18770602,  175,    0
    13,127858,18770603,  198,    0
    13,127858,18770604,  230,    0
    13,127858,18770605,  222,    0
    13,127858,18770606,  195,    0
    13,127858,18770607,  170,    0
    13,127858,18770608,  210,    0
    13,127858,18770609,  200,    0
    13,127858,18770610,  220,    0
    13,127858,18770611,  228,    0
    13,127858,18770612,  240,    0
    13,127858,18770613,  215,    0
    13,127858,18770614,  185,    0
    13,127858,18770615,  165,    0
    13,127858,18770616,  180,    0
    13,127858,18770617,  190,    0
    13,127858,18770618,  195,    0
    13,127858,18770619,  200,    0
    13,127858,18770620,  200,    0
    13,127858,18770621,  210,    0
    13,127858,18770622,  190,    0
    13,127858,18770623,  195,    0
    13,127858,18770624,  148,    0
    13,127858,18770625,  160,    0
    13,127858,18770626,  153,    0
    13,127858,18770627,  170,    0
    13,127858,18770628,  186,    0
    13,127858,18770629,  173,    0
    13,127858,18770630,  193,    0
    13,127858,18770701,  205,    0
    13,127858,18770702,  208,    0
    13,127858,18770703,  160,    0
    13,127858,18770704,  156,    0
    13,127858,18770705,  180,    0
    13,127858,18770706,  165,    0
    13,127858,18770707,  155,    0
    13,127858,18770708,  125,    0
    13,127858,18770709,  125,    0
    13,127858,18770710,  135,    0
    13,127858,18770711,  183,    0
    13,127858,18770712,  195,    0
    13,127858,18770713,  190,    0
