EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALZBURG-FLUGHAFEN, AUSTRIA (STAID: 14)
Blended and updated with sources:38 119159 135723 911150 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    14,135723,18740101,  -77,    0
    14,135723,18740102,   -9,    0
    14,135723,18740103,   -9,    0
    14,135723,18740104,   13,    0
    14,135723,18740105,   11,    0
    14,135723,18740106,  -18,    0
    14,135723,18740107,  -49,    0
    14,135723,18740108,  -83,    0
    14,135723,18740109,  -99,    0
    14,135723,18740110, -112,    0
    14,135723,18740111, -116,    0
    14,135723,18740112,  -84,    0
    14,135723,18740113,   -1,    0
    14,135723,18740114,  -21,    0
    14,135723,18740115,  -24,    0
    14,135723,18740116,  -31,    0
    14,135723,18740117,  -29,    0
    14,135723,18740118,    7,    0
    14,135723,18740119,   11,    0
    14,135723,18740120,   39,    0
    14,135723,18740121,   40,    0
    14,135723,18740122,   32,    0
    14,135723,18740123,  -10,    0
    14,135723,18740124,   30,    0
    14,135723,18740125,   14,    0
    14,135723,18740126,  -29,    0
    14,135723,18740127,    6,    0
    14,135723,18740128,   -8,    0
    14,135723,18740129,  -13,    0
    14,135723,18740130,    5,    0
    14,135723,18740131,    5,    0
    14,135723,18740201,   20,    0
