EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WIEN-HOHE WARTE, AUSTRIA (STAID: 16)
Blended and updated with sources:42 119155 126090 130874 135424 911035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    16,126090,17750401,-9999,    9
    16,126090,17750402,-9999,    9
    16,126090,17750403,-9999,    9
    16,126090,17750404,-9999,    9
    16,126090,17750405,-9999,    9
    16,126090,17750406,-9999,    9
    16,126090,17750407,-9999,    9
    16,126090,17750408,-9999,    9
    16,126090,17750409,-9999,    9
    16,126090,17750410,-9999,    9
    16,126090,17750411,-9999,    9
    16,126090,17750412,-9999,    9
    16,126090,17750413,-9999,    9
    16,126090,17750414,-9999,    9
    16,126090,17750415,-9999,    9
    16,126090,17750416,-9999,    9
    16,126090,17750417,-9999,    9
    16,126090,17750418,-9999,    9
    16,126090,17750419,-9999,    9
    16,126090,17750420,-9999,    9
    16,126090,17750421,-9999,    9
    16,126090,17750422,-9999,    9
    16,126090,17750423,-9999,    9
    16,126090,17750424,-9999,    9
    16,126090,17750425,-9999,    9
    16,126090,17750426,-9999,    9
    16,126090,17750427,-9999,    9
    16,126090,17750428,-9999,    9
    16,126090,17750429,-9999,    9
    16,126090,17750430,-9999,    9
    16,126090,17750501,-9999,    9
    16,126090,17750502,-9999,    9
    16,126090,17750503,-9999,    9
    16,126090,17750504,-9999,    9
    16,126090,17750505,-9999,    9
    16,126090,17750506,-9999,    9
    16,126090,17750507,-9999,    9
    16,126090,17750508,-9999,    9
    16,126090,17750509,-9999,    9
    16,126090,17750510,-9999,    9
    16,126090,17750511,-9999,    9
    16,126090,17750512,-9999,    9
    16,126090,17750513,-9999,    9
    16,126090,17750514,-9999,    9
    16,126090,17750515,-9999,    9
    16,126090,17750516,-9999,    9
    16,126090,17750517,-9999,    9
