EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AMIANDOS, CYPRUS (STAID: 22)
Blended and updated with sources:15577 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    22, 15577,19801001,  128,    0
    22, 15577,19801002,  112,    0
    22, 15577,19801003,   89,    0
    22, 15577,19801004,  113,    0
    22, 15577,19801005,  123,    0
    22, 15577,19801006,  135,    0
    22, 15577,19801007,  163,    0
    22, 15577,19801008,  167,    0
    22, 15577,19801009,  166,    0
    22, 15577,19801010,  168,    0
    22, 15577,19801011,  186,    0
    22, 15577,19801012,  164,    0
    22, 15577,19801013,  179,    0
    22, 15577,19801014,  206,    0
    22, 15577,19801015,  217,    0
    22, 15577,19801016,  190,    0
    22, 15577,19801017,  172,    0
    22, 15577,19801018,  179,    0
    22, 15577,19801019,  186,    0
    22, 15577,19801020,  183,    0
    22, 15577,19801021,  179,    0
    22, 15577,19801022,  180,    0
    22, 15577,19801023,  126,    0
    22, 15577,19801024,  114,    0
    22, 15577,19801025,  117,    0
    22, 15577,19801026,  121,    0
    22, 15577,19801027,  148,    0
    22, 15577,19801028,  165,    0
    22, 15577,19801029,  176,    0
    22, 15577,19801030,  131,    0
    22, 15577,19801031,  100,    0
    22, 15577,19801101,  104,    0
    22, 15577,19801102,  101,    0
    22, 15577,19801103,  125,    0
    22, 15577,19801104,  123,    0
    22, 15577,19801105,  121,    0
    22, 15577,19801106,  117,    0
    22, 15577,19801107,  108,    0
    22, 15577,19801108,  117,    0
    22, 15577,19801109,  107,    0
    22, 15577,19801110,   94,    0
    22, 15577,19801111,  100,    0
    22, 15577,19801112,  103,    0
    22, 15577,19801113,  113,    0
    22, 15577,19801114,  142,    0
    22, 15577,19801115,  155,    0
    22, 15577,19801116,  140,    0
    22, 15577,19801117,  133,    0
    22, 15577,19801118,  114,    0
    22, 15577,19801119,  110,    0
    22, 15577,19801120,   97,    0
    22, 15577,19801121,   22,    0
    22, 15577,19801122,    9,    0
    22, 15577,19801123,   34,    0
    22, 15577,19801124,   79,    0
    22, 15577,19801125,   97,    0
    22, 15577,19801126,  100,    0
    22, 15577,19801127,   89,    0
    22, 15577,19801128,   83,    0
    22, 15577,19801129,   73,    0
    22, 15577,19801130,   75,    0
    22, 15577,19801201,   78,    0
    22, 15577,19801202,   97,    0
    22, 15577,19801203,  107,    0
    22, 15577,19801204,   99,    0
    22, 15577,19801205,   77,    0
    22, 15577,19801206,   43,    0
    22, 15577,19801207,   43,    0
    22, 15577,19801208,   60,    0
    22, 15577,19801209,   56,    0
    22, 15577,19801210,    8,    0
    22, 15577,19801211,    4,    0
    22, 15577,19801212,   25,    0
    22, 15577,19801213,   19,    0
    22, 15577,19801214,   10,    0
    22, 15577,19801215,   19,    0
    22, 15577,19801216,   19,    0
