EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LARNACA, CYPRUS (STAID: 23)
Blended and updated with sources:15579 917609 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    23, 15579,19760401,-9999,    9
    23, 15579,19760402,-9999,    9
    23, 15579,19760403,-9999,    9
    23, 15579,19760404,-9999,    9
    23, 15579,19760405,-9999,    9
    23, 15579,19760406,  149,    0
    23, 15579,19760407,  153,    0
    23, 15579,19760408,  155,    0
    23, 15579,19760409,  178,    0
    23, 15579,19760410,  172,    0
    23, 15579,19760411,  159,    0
    23, 15579,19760412,  158,    0
    23, 15579,19760413,  157,    0
    23, 15579,19760414,  155,    0
    23, 15579,19760415,  177,    0
    23, 15579,19760416,  170,    0
    23, 15579,19760417,  174,    0
    23, 15579,19760418,  163,    0
    23, 15579,19760419,  161,    0
    23, 15579,19760420,  152,    0
    23, 15579,19760421,  147,    0
    23, 15579,19760422,  161,    0
    23, 15579,19760423,  146,    0
    23, 15579,19760424,  154,    0
    23, 15579,19760425,  163,    0
    23, 15579,19760426,  197,    0
    23, 15579,19760427,  223,    0
    23, 15579,19760428,  197,    0
    23, 15579,19760429,  170,    0
    23, 15579,19760430,  171,    0
    23, 15579,19760501,  174,    0
    23, 15579,19760502,  231,    0
    23, 15579,19760503,  232,    0
    23, 15579,19760504,  223,    0
    23, 15579,19760505,  205,    0
    23, 15579,19760506,  198,    0
    23, 15579,19760507,  213,    0
