EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIMASSOL, CYPRUS (STAID: 24)
Blended and updated with sources:15580 917601 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    24, 15580,19760101,  123,    0
    24, 15580,19760102,  125,    0
    24, 15580,19760103,  120,    0
    24, 15580,19760104,  145,    0
    24, 15580,19760105,  140,    0
    24, 15580,19760106,   81,    0
    24, 15580,19760107,  106,    0
    24, 15580,19760108,  132,    0
    24, 15580,19760109,  124,    0
    24, 15580,19760110,  110,    0
    24, 15580,19760111,  125,    0
    24, 15580,19760112,  119,    0
    24, 15580,19760113,  105,    0
    24, 15580,19760114,  118,    0
    24, 15580,19760115,  134,    0
    24, 15580,19760116,  157,    0
    24, 15580,19760117,  150,    0
    24, 15580,19760118,  115,    0
    24, 15580,19760119,-9999,    9
    24, 15580,19760120,-9999,    9
    24, 15580,19760121,  110,    0
    24, 15580,19760122,  110,    0
    24, 15580,19760123,  124,    0
    24, 15580,19760124,  119,    0
    24, 15580,19760125,-9999,    9
    24, 15580,19760126,  121,    0
    24, 15580,19760127,  139,    0
    24, 15580,19760128,  158,    0
    24, 15580,19760129,-9999,    9
    24, 15580,19760130,  133,    0
    24, 15580,19760131,  120,    0
