EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NICOSIA, CYPRUS (STAID: 25)
Blended and updated with sources:15578 15581 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    25, 15581,19720101,   97,    0
    25, 15581,19720102,   86,    0
    25, 15581,19720103,   91,    0
    25, 15581,19720104,   87,    0
    25, 15581,19720105,   84,    0
    25, 15581,19720106,   80,    0
    25, 15581,19720107,   90,    0
    25, 15581,19720108,   91,    0
    25, 15581,19720109,   79,    0
    25, 15581,19720110,   75,    0
    25, 15581,19720111,   79,    0
    25, 15581,19720112,   90,    0
    25, 15581,19720113,   98,    0
    25, 15581,19720114,   71,    0
    25, 15581,19720115,   62,    0
    25, 15581,19720116,   76,    0
    25, 15581,19720117,   80,    0
    25, 15581,19720118,   60,    0
    25, 15581,19720119,   68,    0
    25, 15581,19720120,   73,    0
    25, 15581,19720121,   76,    0
    25, 15581,19720122,   95,    0
    25, 15581,19720123,   95,    0
    25, 15581,19720124,   89,    0
    25, 15581,19720125,   91,    0
    25, 15581,19720126,   82,    0
    25, 15581,19720127,   79,    0
    25, 15581,19720128,   80,    0
    25, 15581,19720129,   73,    0
    25, 15581,19720130,   79,    0
    25, 15581,19720131,   81,    0
    25, 15581,19720201,   75,    0
    25, 15581,19720202,   76,    0
    25, 15581,19720203,   80,    0
    25, 15581,19720204,   58,    0
    25, 15581,19720205,   46,    0
    25, 15581,19720206,   46,    0
    25, 15581,19720207,   59,    0
    25, 15581,19720208,   50,    0
    25, 15581,19720209,   67,    0
    25, 15581,19720210,   83,    0
    25, 15581,19720211,   78,    0
    25, 15581,19720212,   95,    0
    25, 15581,19720213,  115,    0
    25, 15581,19720214,  127,    0
    25, 15581,19720215,  126,    0
    25, 15581,19720216,  113,    0
    25, 15581,19720217,  108,    0
    25, 15581,19720218,   95,    0
    25, 15581,19720219,   93,    0
    25, 15581,19720220,   95,    0
