EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLIS, CYPRUS (STAID: 26)
Blended and updated with sources:15583 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    26, 15583,19731101,-9999,    9
    26, 15583,19731102,-9999,    9
    26, 15583,19731103,  140,    1
    26, 15583,19731104,  136,    1
    26, 15583,19731105,  113,    1
    26, 15583,19731106,  126,    1
    26, 15583,19731107,  124,    1
    26, 15583,19731108,  125,    1
    26, 15583,19731109,  140,    1
    26, 15583,19731110,  152,    1
    26, 15583,19731111,  175,    1
    26, 15583,19731112,-9999,    9
    26, 15583,19731113,-9999,    9
    26, 15583,19731114,  167,    1
    26, 15583,19731115,  173,    0
    26, 15583,19731116,  169,    0
    26, 15583,19731117,  160,    0
    26, 15583,19731118,  155,    0
    26, 15583,19731119,  156,    0
    26, 15583,19731120,  146,    0
    26, 15583,19731121,  145,    0
    26, 15583,19731122,  127,    0
    26, 15583,19731123,  113,    0
    26, 15583,19731124,  122,    0
    26, 15583,19731125,  133,    0
    26, 15583,19731126,  134,    0
    26, 15583,19731127,  143,    0
    26, 15583,19731128,  152,    0
    26, 15583,19731129,  158,    0
    26, 15583,19731130,  150,    0
    26, 15583,19731201,  157,    0
    26, 15583,19731202,  153,    0
    26, 15583,19731203,  155,    0
    26, 15583,19731204,  141,    0
    26, 15583,19731205,  139,    0
    26, 15583,19731206,  146,    0
    26, 15583,19731207,  156,    0
    26, 15583,19731208,  144,    0
    26, 15583,19731209,  150,    0
    26, 15583,19731210,  166,    0
    26, 15583,19731211,  168,    0
    26, 15583,19731212,  163,    0
    26, 15583,19731213,  150,    0
    26, 15583,19731214,  140,    0
    26, 15583,19731215,  165,    0
    26, 15583,19731216,  158,    0
    26, 15583,19731217,  106,    0
