EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JYVASKYLA LENTOASEMA, FINLAND (STAID: 29)
Blended and updated with sources:88 902935 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    29,    88,19510101, -265,    0
    29,    88,19510102, -156,    0
    29,    88,19510103, -133,    0
    29,    88,19510104,  -60,    0
    29,    88,19510105,  -61,    0
    29,    88,19510106,  -81,    0
    29,    88,19510107,  -88,    0
    29,    88,19510108, -163,    0
    29,    88,19510109, -193,    0
    29,    88,19510110, -167,    0
    29,    88,19510111, -163,    0
    29,    88,19510112, -123,    0
    29,    88,19510113, -115,    0
    29,    88,19510114,  -67,    0
    29,    88,19510115,  -13,    0
    29,    88,19510116,  -29,    0
    29,    88,19510117,  -83,    0
    29,    88,19510118,  -96,    0
    29,    88,19510119,  -36,    0
    29,    88,19510120,  -33,    0
    29,    88,19510121, -105,    0
    29,    88,19510122, -167,    0
    29,    88,19510123, -226,    0
    29,    88,19510124, -226,    0
    29,    88,19510125,  -70,    0
    29,    88,19510126,  -44,    0
    29,    88,19510127, -120,    0
    29,    88,19510128, -154,    0
    29,    88,19510129,  -90,    0
    29,    88,19510130,  -63,    0
    29,    88,19510131,  -71,    0
    29,    88,19510201,  -89,    0
    29,    88,19510202,  -93,    0
    29,    88,19510203,  -81,    0
    29,    88,19510204, -119,    0
    29,    88,19510205, -125,    0
    29,    88,19510206, -129,    0
    29,    88,19510207,  -72,    0
    29,    88,19510208,  -29,    0
    29,    88,19510209,   -2,    0
    29,    88,19510210,   -3,    0
    29,    88,19510211,  -14,    0
    29,    88,19510212,  -45,    0
    29,    88,19510213,  -79,    0
    29,    88,19510214, -201,    0
    29,    88,19510215, -238,    0
    29,    88,19510216, -232,    0
    29,    88,19510217, -197,    0
    29,    88,19510218, -122,    0
    29,    88,19510219, -106,    0
    29,    88,19510220,  -86,    0
    29,    88,19510221,  -34,    0
    29,    88,19510222,  -61,    0
    29,    88,19510223,  -93,    0
    29,    88,19510224,  -83,    0
    29,    88,19510225,  -91,    0
    29,    88,19510226,  -58,    0
    29,    88,19510227,  -58,    0
    29,    88,19510228, -116,    0
    29,    88,19510301, -104,    0
    29,    88,19510302,  -64,    0
    29,    88,19510303,  -55,    0
    29,    88,19510304,  -20,    0
    29,    88,19510305,  -48,    0
    29,    88,19510306,  -80,    0
    29,    88,19510307,  -52,    0
    29,    88,19510308,  -52,    0
    29,    88,19510309,  -57,    0
    29,    88,19510310, -118,    0
    29,    88,19510311, -125,    0
    29,    88,19510312, -134,    0
    29,    88,19510313, -105,    0
    29,    88,19510314,  -85,    0
    29,    88,19510315, -103,    0
    29,    88,19510316, -134,    0
    29,    88,19510317, -147,    0
    29,    88,19510318, -172,    0
    29,    88,19510319, -154,    0
    29,    88,19510320,  -77,    0
    29,    88,19510321,  -82,    0
    29,    88,19510322, -104,    0
    29,    88,19510323,  -74,    0
    29,    88,19510324,  -43,    0
    29,    88,19510325,  -46,    0
    29,    88,19510326,  -59,    0
    29,    88,19510327,  -57,    0
    29,    88,19510328,   -2,    0
    29,    88,19510329,   -1,    0
    29,    88,19510330,  -16,    0
    29,    88,19510331,  -51,    0
    29,    88,19510401,  -45,    0
    29,    88,19510402,    0,    0
    29,    88,19510403,  -11,    0
    29,    88,19510404,  -31,    0
    29,    88,19510405,  -10,    0
    29,    88,19510406,    9,    0
    29,    88,19510407,    6,    0
    29,    88,19510408,   22,    0
    29,    88,19510409,   28,    0
    29,    88,19510410,   33,    0
    29,    88,19510411,   18,    0
    29,    88,19510412,    9,    0
    29,    88,19510413,    6,    0
    29,    88,19510414,   45,    0
    29,    88,19510415,   21,    0
    29,    88,19510416,   17,    0
    29,    88,19510417,    5,    0
    29,    88,19510418,   19,    0
    29,    88,19510419,   -4,    0
    29,    88,19510420,    3,    0
    29,    88,19510421,   -5,    0
    29,    88,19510422,   24,    0
    29,    88,19510423,   41,    0
    29,    88,19510424,   36,    0
    29,    88,19510425,   64,    0
    29,    88,19510426,   67,    0
    29,    88,19510427,   69,    0
    29,    88,19510428,  123,    0
    29,    88,19510429,   93,    0
    29,    88,19510430,   79,    0
    29,    88,19510501,   62,    0
    29,    88,19510502,   45,    0
    29,    88,19510503,   54,    0
    29,    88,19510504,   30,    0
    29,    88,19510505,   21,    0
    29,    88,19510506,   19,    0
    29,    88,19510507,   18,    0
    29,    88,19510508,   30,    0
    29,    88,19510509,   34,    0
    29,    88,19510510,   18,    0
    29,    88,19510511,   46,    0
    29,    88,19510512,   51,    0
    29,    88,19510513,   46,    0
    29,    88,19510514,   36,    0
    29,    88,19510515,   50,    0
    29,    88,19510516,   53,    0
    29,    88,19510517,   66,    0
    29,    88,19510518,   98,    0
    29,    88,19510519,   89,    0
    29,    88,19510520,   79,    0
    29,    88,19510521,   53,    0
    29,    88,19510522,   22,    0
    29,    88,19510523,   18,    0
    29,    88,19510524,   28,    0
    29,    88,19510525,   30,    0
    29,    88,19510526,   56,    0
    29,    88,19510527,   51,    0
    29,    88,19510528,   41,    0
    29,    88,19510529,   58,    0
    29,    88,19510530,   33,    0
    29,    88,19510531,   92,    0
    29,    88,19510601,   88,    0
    29,    88,19510602,   95,    0
    29,    88,19510603,  108,    0
    29,    88,19510604,  110,    0
    29,    88,19510605,  117,    0
    29,    88,19510606,   86,    0
    29,    88,19510607,   94,    0
    29,    88,19510608,   97,    0
    29,    88,19510609,  100,    0
    29,    88,19510610,  128,    0
    29,    88,19510611,  148,    0
    29,    88,19510612,  101,    0
    29,    88,19510613,  106,    0
    29,    88,19510614,  119,    0
    29,    88,19510615,  133,    0
    29,    88,19510616,  133,    0
    29,    88,19510617,  140,    0
    29,    88,19510618,  144,    0
    29,    88,19510619,  153,    0
    29,    88,19510620,  129,    0
    29,    88,19510621,  101,    0
    29,    88,19510622,  128,    0
    29,    88,19510623,  157,    0
    29,    88,19510624,  168,    0
    29,    88,19510625,  203,    0
    29,    88,19510626,  200,    0
    29,    88,19510627,  181,    0
    29,    88,19510628,  154,    0
    29,    88,19510629,  126,    0
    29,    88,19510630,  129,    0
    29,    88,19510701,  142,    0
    29,    88,19510702,  129,    0
    29,    88,19510703,  153,    0
    29,    88,19510704,  126,    0
    29,    88,19510705,  110,    0
    29,    88,19510706,   98,    0
    29,    88,19510707,  107,    0
    29,    88,19510708,  117,    0
    29,    88,19510709,  144,    0
    29,    88,19510710,  134,    0
    29,    88,19510711,  146,    0
    29,    88,19510712,  186,    0
    29,    88,19510713,  204,    0
    29,    88,19510714,  178,    0
    29,    88,19510715,  182,    0
    29,    88,19510716,  166,    0
    29,    88,19510717,  164,    0
    29,    88,19510718,  110,    0
    29,    88,19510719,  105,    0
    29,    88,19510720,  122,    0
    29,    88,19510721,   97,    0
    29,    88,19510722,   93,    0
    29,    88,19510723,  108,    0
    29,    88,19510724,  137,    0
    29,    88,19510725,  160,    0
    29,    88,19510726,  164,    0
    29,    88,19510727,  177,    0
    29,    88,19510728,  175,    0
    29,    88,19510729,  143,    0
    29,    88,19510730,  127,    0
    29,    88,19510731,  139,    0
    29,    88,19510801,  150,    0
    29,    88,19510802,  171,    0
    29,    88,19510803,  174,    0
    29,    88,19510804,  186,    0
    29,    88,19510805,  177,    0
    29,    88,19510806,  184,    0
    29,    88,19510807,  166,    0
    29,    88,19510808,  187,    0
    29,    88,19510809,  206,    0
    29,    88,19510810,  185,    0
    29,    88,19510811,  150,    0
    29,    88,19510812,  124,    0
    29,    88,19510813,  128,    0
    29,    88,19510814,  167,    0
    29,    88,19510815,  159,    0
    29,    88,19510816,  139,    0
    29,    88,19510817,  147,    0
    29,    88,19510818,  139,    0
    29,    88,19510819,  128,    0
    29,    88,19510820,  146,    0
    29,    88,19510821,  169,    0
    29,    88,19510822,  182,    0
    29,    88,19510823,  181,    0
    29,    88,19510824,  166,    0
    29,    88,19510825,  179,    0
    29,    88,19510826,  168,    0
    29,    88,19510827,  177,    0
    29,    88,19510828,  180,    0
    29,    88,19510829,  166,    0
    29,    88,19510830,  141,    0
    29,    88,19510831,  168,    0
    29,    88,19510901,  184,    0
    29,    88,19510902,  164,    0
    29,    88,19510903,  129,    0
    29,    88,19510904,  122,    0
    29,    88,19510905,  133,    0
    29,    88,19510906,  149,    0
    29,    88,19510907,  103,    0
    29,    88,19510908,   94,    0
    29,    88,19510909,   81,    0
    29,    88,19510910,   68,    0
    29,    88,19510911,   91,    0
    29,    88,19510912,  127,    0
    29,    88,19510913,  126,    0
    29,    88,19510914,  153,    0
    29,    88,19510915,  148,    0
    29,    88,19510916,  124,    0
    29,    88,19510917,   89,    0
    29,    88,19510918,   90,    0
    29,    88,19510919,   74,    0
    29,    88,19510920,   61,    0
    29,    88,19510921,   48,    0
    29,    88,19510922,   47,    0
    29,    88,19510923,   32,    0
    29,    88,19510924,   61,    0
    29,    88,19510925,  106,    0
    29,    88,19510926,   97,    0
    29,    88,19510927,   98,    0
    29,    88,19510928,   90,    0
    29,    88,19510929,   93,    0
    29,    88,19510930,   99,    0
    29,    88,19511001,  102,    0
    29,    88,19511002,   67,    0
    29,    88,19511003,   69,    0
    29,    88,19511004,   69,    0
    29,    88,19511005,   33,    0
    29,    88,19511006,   59,    0
    29,    88,19511007,   67,    0
    29,    88,19511008,   76,    0
    29,    88,19511009,   60,    0
    29,    88,19511010,   53,    0
    29,    88,19511011,   19,    0
    29,    88,19511012,   25,    0
    29,    88,19511013,   59,    0
    29,    88,19511014,   78,    0
    29,    88,19511015,   85,    0
    29,    88,19511016,   67,    0
    29,    88,19511017,   89,    0
    29,    88,19511018,   72,    0
    29,    88,19511019,   14,    0
    29,    88,19511020,   40,    0
    29,    88,19511021,   47,    0
    29,    88,19511022,   67,    0
    29,    88,19511023,   69,    0
    29,    88,19511024,   23,    0
    29,    88,19511025,   29,    0
    29,    88,19511026,  -16,    0
    29,    88,19511027,  -40,    0
    29,    88,19511028,   12,    0
    29,    88,19511029,   21,    0
    29,    88,19511030,   56,    0
    29,    88,19511031,   65,    0
    29,    88,19511101,   60,    0
    29,    88,19511102,   48,    0
    29,    88,19511103,   15,    0
    29,    88,19511104,  -40,    0
    29,    88,19511105,  -77,    0
    29,    88,19511106, -102,    0
    29,    88,19511107,  -30,    0
    29,    88,19511108,   -2,    0
    29,    88,19511109,  -25,    0
    29,    88,19511110,  -91,    0
    29,    88,19511111, -129,    0
    29,    88,19511112,  -60,    0
    29,    88,19511113,  -38,    0
    29,    88,19511114,  -38,    0
    29,    88,19511115, -131,    0
    29,    88,19511116, -182,    0
    29,    88,19511117,  -69,    0
    29,    88,19511118,   -1,    0
    29,    88,19511119,   14,    0
    29,    88,19511120,   18,    0
    29,    88,19511121,   32,    0
    29,    88,19511122,   36,    0
    29,    88,19511123,   47,    0
    29,    88,19511124,   31,    0
    29,    88,19511125,   11,    0
    29,    88,19511126,   -2,    0
    29,    88,19511127,  -11,    0
    29,    88,19511128,   -2,    0
    29,    88,19511129,  -38,    0
    29,    88,19511130, -118,    0
    29,    88,19511201,  -13,    0
    29,    88,19511202,  -87,    0
    29,    88,19511203, -122,    0
    29,    88,19511204,  -89,    0
