EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS, FINLAND (STAID: 30)
Blended and updated with sources:92 6038 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    30,  6038,19080101, -274,    0
    30,  6038,19080102, -234,    0
    30,  6038,19080103, -232,    0
    30,  6038,19080104, -260,    0
    30,  6038,19080105, -268,    0
    30,  6038,19080106, -160,    0
    30,  6038,19080107, -164,    0
    30,  6038,19080108, -194,    0
    30,  6038,19080109, -243,    0
    30,  6038,19080110, -294,    0
    30,  6038,19080111, -208,    0
    30,  6038,19080112, -182,    0
    30,  6038,19080113,-9999,    9
    30,  6038,19080114,-9999,    9
    30,  6038,19080115,  -83,    0
    30,  6038,19080116,  -44,    0
    30,  6038,19080117,  -77,    0
    30,  6038,19080118,  -63,    0
    30,  6038,19080119,  -89,    0
    30,  6038,19080120, -164,    0
    30,  6038,19080121, -126,    0
    30,  6038,19080122, -140,    0
    30,  6038,19080123,  -76,    0
    30,  6038,19080124,  -18,    0
    30,  6038,19080125,  -44,    0
    30,  6038,19080126,  -66,    0
    30,  6038,19080127,  -33,    0
    30,  6038,19080128,  -56,    0
    30,  6038,19080129,  -96,    0
    30,  6038,19080130, -198,    0
    30,  6038,19080131, -166,    0
    30,  6038,19080201, -254,    0
    30,  6038,19080202, -226,    0
    30,  6038,19080203,  -92,    0
    30,  6038,19080204,  -82,    0
    30,  6038,19080205,  -83,    0
    30,  6038,19080206,-9999,    9
    30,  6038,19080207, -122,    0
    30,  6038,19080208, -249,    0
    30,  6038,19080209, -269,    0
    30,  6038,19080210, -288,    0
    30,  6038,19080211, -144,    0
    30,  6038,19080212, -248,    0
    30,  6038,19080213, -232,    0
    30,  6038,19080214, -197,    0
    30,  6038,19080215, -190,    0
    30,  6038,19080216,-9999,    9
    30,  6038,19080217, -160,    0
    30,  6038,19080218, -128,    0
    30,  6038,19080219,  -56,    0
    30,  6038,19080220,  -66,    0
    30,  6038,19080221,  -38,    0
    30,  6038,19080222,  -74,    0
    30,  6038,19080223,  -93,    0
    30,  6038,19080224,  -98,    0
    30,  6038,19080225, -126,    0
    30,  6038,19080226, -159,    0
    30,  6038,19080227, -169,    0
    30,  6038,19080228, -100,    0
