EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOURGES, FRANCE (STAID: 32)
Blended and updated with sources:839 907255 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    32,   839,19450301,   75,    0
    32,   839,19450302,   58,    0
    32,   839,19450303,   21,    0
    32,   839,19450304,   29,    0
    32,   839,19450305,   48,    0
    32,   839,19450306,   52,    0
    32,   839,19450307,   54,    0
    32,   839,19450308,   92,    0
    32,   839,19450309,   68,    0
    32,   839,19450310,   54,    0
    32,   839,19450311,   60,    0
    32,   839,19450312,   80,    0
    32,   839,19450313,   92,    0
    32,   839,19450314,  107,    0
    32,   839,19450315,  101,    0
    32,   839,19450316,   80,    0
    32,   839,19450317,   78,    0
    32,   839,19450318,   68,    0
    32,   839,19450319,   92,    0
    32,   839,19450320,   99,    0
    32,   839,19450321,  101,    0
    32,   839,19450322,  110,    0
    32,   839,19450323,  147,    0
    32,   839,19450324,  158,    0
    32,   839,19450325,  141,    0
    32,   839,19450326,  100,    0
    32,   839,19450327,   81,    0
    32,   839,19450328,   84,    0
    32,   839,19450329,  120,    0
    32,   839,19450330,  118,    0
    32,   839,19450331,   78,    0
    32,   839,19450401,  110,    0
    32,   839,19450402,  114,    0
    32,   839,19450403,  108,    0
    32,   839,19450404,   96,    0
    32,   839,19450405,   94,    0
    32,   839,19450406,  118,    0
    32,   839,19450407,  111,    0
    32,   839,19450408,   94,    0
    32,   839,19450409,  102,    0
    32,   839,19450410,  134,    0
    32,   839,19450411,  164,    0
    32,   839,19450412,  149,    0
    32,   839,19450413,  161,    0
    32,   839,19450414,  156,    0
    32,   839,19450415,  160,    0
    32,   839,19450416,  185,    0
    32,   839,19450417,  195,    0
    32,   839,19450418,  190,    0
    32,   839,19450419,  187,    0
    32,   839,19450420,  171,    0
    32,   839,19450421,  163,    0
    32,   839,19450422,  119,    0
    32,   839,19450423,   94,    0
    32,   839,19450424,  111,    0
    32,   839,19450425,  137,    0
    32,   839,19450426,  122,    0
