EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PERPIGNAN, FRANCE (STAID: 36)
Blended and updated with sources:843 907747 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    36,   843,19241101,-9999,    9
    36,   843,19241102,-9999,    9
    36,   843,19241103,-9999,    9
    36,   843,19241104,-9999,    9
    36,   843,19241105,-9999,    9
    36,   843,19241106,-9999,    9
    36,   843,19241107,-9999,    9
    36,   843,19241108,-9999,    9
    36,   843,19241109,-9999,    9
    36,   843,19241110,-9999,    9
    36,   843,19241111,-9999,    9
    36,   843,19241112,-9999,    9
    36,   843,19241113,-9999,    9
    36,   843,19241114,-9999,    9
    36,   843,19241115,-9999,    9
    36,   843,19241116,-9999,    9
    36,   843,19241117,   96,    0
    36,   843,19241118,   50,    0
    36,   843,19241119,   69,    0
    36,   843,19241120,   87,    0
    36,   843,19241121,  110,    0
    36,   843,19241122,   92,    0
    36,   843,19241123,   76,    0
    36,   843,19241124,  118,    0
    36,   843,19241125,  142,    0
    36,   843,19241126,  142,    0
    36,   843,19241127,  138,    0
    36,   843,19241128,  122,    0
    36,   843,19241129,  108,    0
    36,   843,19241130,   90,    0
    36,   843,19241201,  136,    0
    36,   843,19241202,  143,    0
    36,   843,19241203,  102,    0
    36,   843,19241204,  117,    0
    36,   843,19241205,  150,    0
    36,   843,19241206,  150,    0
    36,   843,19241207,  136,    0
    36,   843,19241208,   90,    0
    36,   843,19241209,   72,    0
    36,   843,19241210,   66,    0
    36,   843,19241211,   69,    0
    36,   843,19241212,   44,    0
    36,   843,19241213,   84,    0
    36,   843,19241214,   72,    0
    36,   843,19241215,  110,    0
    36,   843,19241216,   70,    0
    36,   843,19241217,  106,    0
    36,   843,19241218,  120,    0
    36,   843,19241219,  100,    0
    36,   843,19241220,  124,    0
    36,   843,19241221,   69,    0
    36,   843,19241222,   76,    0
    36,   843,19241223,   50,    0
    36,   843,19241224,   86,    0
    36,   843,19241225,   89,    0
    36,   843,19241226,   93,    0
    36,   843,19241227,  124,    0
    36,   843,19241228,   82,    0
    36,   843,19241229,   98,    0
    36,   843,19241230,   82,    0
    36,   843,19241231,   83,    0
    36,   843,19250101,  116,    0
    36,   843,19250102,   82,    0
    36,   843,19250103,   74,    0
    36,   843,19250104,   87,    0
    36,   843,19250105,   96,    0
    36,   843,19250106,   86,    0
    36,   843,19250107,   80,    0
    36,   843,19250108,   65,    0
    36,   843,19250109,   67,    0
    36,   843,19250110,  102,    0
    36,   843,19250111,   42,    0
    36,   843,19250112,   76,    0
    36,   843,19250113,   76,    0
    36,   843,19250114,   80,    0
    36,   843,19250115,   62,    0
    36,   843,19250116,  101,    0
    36,   843,19250117,  128,    0
    36,   843,19250118,   90,    0
    36,   843,19250119,   92,    0
    36,   843,19250120,   82,    0
    36,   843,19250121,   66,    0
    36,   843,19250122,   90,    0
    36,   843,19250123,   83,    0
    36,   843,19250124,  103,    0
    36,   843,19250125,   62,    0
    36,   843,19250126,   92,    0
    36,   843,19250127,   74,    0
    36,   843,19250128,   78,    0
    36,   843,19250129,  100,    0
    36,   843,19250130,  118,    0
    36,   843,19250131,  131,    0
    36,   843,19250201,  115,    0
    36,   843,19250202,   98,    0
    36,   843,19250203,   98,    0
    36,   843,19250204,  116,    0
    36,   843,19250205,  107,    0
    36,   843,19250206,   73,    0
    36,   843,19250207,   85,    0
    36,   843,19250208,   92,    0
    36,   843,19250209,  142,    0
    36,   843,19250210,  110,    0
    36,   843,19250211,  109,    0
    36,   843,19250212,  112,    0
    36,   843,19250213,   66,    0
    36,   843,19250214,  120,    0
    36,   843,19250215,  112,    0
    36,   843,19250216,   97,    0
    36,   843,19250217,   88,    0
    36,   843,19250218,   68,    0
    36,   843,19250219,   98,    0
    36,   843,19250220,   96,    0
    36,   843,19250221,   75,    0
    36,   843,19250222,   69,    0
    36,   843,19250223,   70,    0
    36,   843,19250224,   98,    0
    36,   843,19250225,   85,    0
    36,   843,19250226,  109,    0
    36,   843,19250227,  111,    0
    36,   843,19250228,  100,    0
    36,   843,19250301,   61,    0
    36,   843,19250302,   54,    0
    36,   843,19250303,   48,    0
    36,   843,19250304,   92,    0
    36,   843,19250305,  108,    0
    36,   843,19250306,   79,    0
    36,   843,19250307,  104,    0
    36,   843,19250308,   84,    0
    36,   843,19250309,   80,    0
    36,   843,19250310,   68,    0
    36,   843,19250311,   55,    0
    36,   843,19250312,   63,    0
    36,   843,19250313,   42,    0
    36,   843,19250314,   44,    0
    36,   843,19250315,   73,    0
    36,   843,19250316,  113,    0
    36,   843,19250317,  108,    0
    36,   843,19250318,   95,    0
    36,   843,19250319,   77,    0
    36,   843,19250320,  101,    0
    36,   843,19250321,  121,    0
    36,   843,19250322,   83,    0
    36,   843,19250323,   65,    0
    36,   843,19250324,   76,    0
    36,   843,19250325,   64,    0
    36,   843,19250326,   61,    0
    36,   843,19250327,   80,    0
    36,   843,19250328,   86,    0
