EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MARIGNANE, FRANCE (STAID: 39)
Blended and updated with sources:6702 907650 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    39,  6702,19210101,   66,    0
    39,  6702,19210102,  108,    0
    39,  6702,19210103,   78,    0
    39,  6702,19210104,   84,    0
    39,  6702,19210105,   85,    0
    39,  6702,19210106,   84,    0
    39,  6702,19210107,   86,    0
    39,  6702,19210108,   80,    0
    39,  6702,19210109,   65,    0
    39,  6702,19210110,   78,    0
    39,  6702,19210111,   74,    0
    39,  6702,19210112,   98,    0
    39,  6702,19210113,  122,    0
    39,  6702,19210114,   69,    0
    39,  6702,19210115,   64,    0
    39,  6702,19210116,   36,    0
    39,  6702,19210117,   18,    0
    39,  6702,19210118,   42,    0
    39,  6702,19210119,   71,    0
    39,  6702,19210120,   79,    0
    39,  6702,19210121,   70,    0
    39,  6702,19210122,   64,    0
    39,  6702,19210123,   65,    0
    39,  6702,19210124,  122,    0
    39,  6702,19210125,  121,    0
    39,  6702,19210126,   60,    0
    39,  6702,19210127,  100,    0
    39,  6702,19210128,  118,    0
    39,  6702,19210129,   78,    0
    39,  6702,19210130,   66,    0
    39,  6702,19210131,   74,    0
    39,  6702,19210201,   53,    0
    39,  6702,19210202,   50,    0
    39,  6702,19210203,  103,    0
    39,  6702,19210204,   40,    0
    39,  6702,19210205,   54,    0
    39,  6702,19210206,   56,    0
    39,  6702,19210207,   67,    0
    39,  6702,19210208,   49,    0
    39,  6702,19210209,   45,    0
    39,  6702,19210210,   32,    0
    39,  6702,19210211,   50,    0
    39,  6702,19210212,   42,    0
    39,  6702,19210213,   52,    0
    39,  6702,19210214,   40,    0
    39,  6702,19210215,   76,    0
    39,  6702,19210216,   64,    0
    39,  6702,19210217,   70,    0
    39,  6702,19210218,   68,    0
    39,  6702,19210219,   86,    0
    39,  6702,19210220,   87,    0
    39,  6702,19210221,  108,    0
    39,  6702,19210222,  118,    0
    39,  6702,19210223,   86,    0
    39,  6702,19210224,  116,    0
    39,  6702,19210225,   96,    0
    39,  6702,19210226,   85,    0
    39,  6702,19210227,   90,    0
    39,  6702,19210228,   66,    0
    39,  6702,19210301,   70,    0
    39,  6702,19210302,   77,    0
    39,  6702,19210303,   84,    0
    39,  6702,19210304,   80,    0
    39,  6702,19210305,   83,    0
    39,  6702,19210306,   73,    0
    39,  6702,19210307,   90,    0
    39,  6702,19210308,   87,    0
    39,  6702,19210309,   77,    0
    39,  6702,19210310,   78,    0
    39,  6702,19210311,   84,    0
    39,  6702,19210312,   94,    0
    39,  6702,19210313,   86,    0
    39,  6702,19210314,  104,    0
    39,  6702,19210315,  104,    0
    39,  6702,19210316,  109,    0
    39,  6702,19210317,  108,    0
    39,  6702,19210318,  106,    0
    39,  6702,19210319,  104,    0
    39,  6702,19210320,   86,    0
    39,  6702,19210321,   99,    0
    39,  6702,19210322,   90,    0
    39,  6702,19210323,  110,    0
    39,  6702,19210324,  118,    0
    39,  6702,19210325,  104,    0
    39,  6702,19210326,  116,    0
    39,  6702,19210327,  124,    0
    39,  6702,19210328,  120,    0
    39,  6702,19210329,   95,    0
    39,  6702,19210330,  110,    0
    39,  6702,19210331,  118,    0
    39,  6702,19210401,  128,    0
    39,  6702,19210402,  147,    0
    39,  6702,19210403,  146,    0
    39,  6702,19210404,  140,    0
    39,  6702,19210405,  140,    0
    39,  6702,19210406,  136,    0
    39,  6702,19210407,   87,    0
    39,  6702,19210408,   79,    0
    39,  6702,19210409,  115,    0
    39,  6702,19210410,  120,    0
    39,  6702,19210411,  156,    0
    39,  6702,19210412,  131,    0
    39,  6702,19210413,  132,    0
    39,  6702,19210414,  144,    0
    39,  6702,19210415,  128,    0
    39,  6702,19210416,   76,    0
    39,  6702,19210417,   79,    0
    39,  6702,19210418,   98,    0
    39,  6702,19210419,   98,    0
    39,  6702,19210420,  105,    0
    39,  6702,19210421,   86,    0
    39,  6702,19210422,   93,    0
    39,  6702,19210423,  102,    0
    39,  6702,19210424,  110,    0
    39,  6702,19210425,  112,    0
    39,  6702,19210426,  121,    0
    39,  6702,19210427,  146,    0
    39,  6702,19210428,  132,    0
    39,  6702,19210429,  146,    0
    39,  6702,19210430,  138,    0
    39,  6702,19210501,  128,    0
    39,  6702,19210502,  138,    0
    39,  6702,19210503,  155,    0
    39,  6702,19210504,  138,    0
    39,  6702,19210505,  146,    0
    39,  6702,19210506,  143,    0
    39,  6702,19210507,  136,    0
    39,  6702,19210508,  121,    0
    39,  6702,19210509,  164,    0
    39,  6702,19210510,  160,    0
    39,  6702,19210511,  139,    0
    39,  6702,19210512,  154,    0
    39,  6702,19210513,  196,    0
