EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAMBERG, GERMANY (STAID: 40)
Blended and updated with sources:128 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    40,   128,19490101,   38,    0
    40,   128,19490102,   27,    0
    40,   128,19490103,   27,    0
    40,   128,19490104,   18,    0
    40,   128,19490105,   26,    0
    40,   128,19490106,   12,    0
    40,   128,19490107,  -15,    0
    40,   128,19490108,  -12,    0
    40,   128,19490109,    6,    0
    40,   128,19490110,  -45,    0
    40,   128,19490111,  -32,    0
    40,   128,19490112,    8,    0
    40,   128,19490113,    2,    0
    40,   128,19490114,   12,    0
    40,   128,19490115,   20,    0
    40,   128,19490116,   31,    0
    40,   128,19490117,   46,    0
    40,   128,19490118,   61,    0
    40,   128,19490119,   79,    0
    40,   128,19490120,   65,    0
    40,   128,19490121,   35,    0
    40,   128,19490122,   11,    0
    40,   128,19490123,  -23,    0
    40,   128,19490124,  -24,    0
    40,   128,19490125,  -10,    0
    40,   128,19490126,  -18,    0
    40,   128,19490127,  -24,    0
    40,   128,19490128,  -22,    0
    40,   128,19490129,  -15,    0
    40,   128,19490130,  -26,    0
    40,   128,19490131,   18,    0
    40,   128,19490201,  -36,    0
    40,   128,19490202,  -76,    0
    40,   128,19490203,  -58,    0
    40,   128,19490204,  -62,    0
    40,   128,19490205,  -47,    0
    40,   128,19490206,  -20,    0
    40,   128,19490207,  -50,    0
    40,   128,19490208,   22,    0
    40,   128,19490209,   72,    0
    40,   128,19490210,   28,    0
    40,   128,19490211,    6,    0
    40,   128,19490212,   -1,    0
    40,   128,19490213,   -5,    0
    40,   128,19490214,    3,    0
    40,   128,19490215,   13,    0
    40,   128,19490216,   33,    0
    40,   128,19490217,   36,    0
    40,   128,19490218,    0,    0
    40,   128,19490219,    0,    0
    40,   128,19490220,   -6,    0
    40,   128,19490221,   10,    0
    40,   128,19490222,   24,    0
    40,   128,19490223,   69,    0
    40,   128,19490224,   74,    0
    40,   128,19490225,   41,    0
    40,   128,19490226,   42,    0
    40,   128,19490227,   34,    0
    40,   128,19490228,   19,    0
    40,   128,19490301,    6,    0
    40,   128,19490302,  -33,    0
    40,   128,19490303,  -51,    0
    40,   128,19490304,  -66,    0
    40,   128,19490305,  -58,    0
    40,   128,19490306,  -52,    0
    40,   128,19490307,  -53,    0
    40,   128,19490308,  -41,    0
    40,   128,19490309,   10,    0
    40,   128,19490310,   36,    0
    40,   128,19490311,   40,    0
    40,   128,19490312,   36,    0
    40,   128,19490313,   74,    0
    40,   128,19490314,   71,    0
    40,   128,19490315,   19,    0
    40,   128,19490316,   24,    0
    40,   128,19490317,   24,    0
    40,   128,19490318,   26,    0
    40,   128,19490319,   -9,    0
    40,   128,19490320,   -4,    0
    40,   128,19490321,   -6,    0
    40,   128,19490322,   20,    0
    40,   128,19490323,   53,    0
    40,   128,19490324,   86,    0
    40,   128,19490325,   90,    0
    40,   128,19490326,   87,    0
    40,   128,19490327,  109,    0
    40,   128,19490328,  123,    0
    40,   128,19490329,  127,    0
    40,   128,19490330,  104,    0
    40,   128,19490331,  109,    0
    40,   128,19490401,  109,    0
    40,   128,19490402,  108,    0
    40,   128,19490403,  106,    0
    40,   128,19490404,  156,    0
    40,   128,19490405,  122,    0
    40,   128,19490406,  139,    0
    40,   128,19490407,   69,    0
    40,   128,19490408,   39,    0
    40,   128,19490409,   24,    0
    40,   128,19490410,   52,    0
    40,   128,19490411,  109,    0
    40,   128,19490412,  122,    0
    40,   128,19490413,  154,    0
    40,   128,19490414,  119,    0
    40,   128,19490415,  134,    0
    40,   128,19490416,  156,    0
    40,   128,19490417,  142,    0
    40,   128,19490418,  194,    0
    40,   128,19490419,  158,    0
    40,   128,19490420,  118,    0
    40,   128,19490421,  135,    0
    40,   128,19490422,   92,    0
    40,   128,19490423,   91,    0
    40,   128,19490424,  151,    0
    40,   128,19490425,  180,    0
    40,   128,19490426,   78,    0
    40,   128,19490427,  105,    0
    40,   128,19490428,  117,    0
    40,   128,19490429,  135,    0
    40,   128,19490430,   61,    0
    40,   128,19490501,   93,    0
    40,   128,19490502,  137,    0
    40,   128,19490503,  184,    0
    40,   128,19490504,  199,    0
    40,   128,19490505,  168,    0
    40,   128,19490506,  122,    0
    40,   128,19490507,  101,    0
    40,   128,19490508,   75,    0
    40,   128,19490509,   56,    0
    40,   128,19490510,   46,    0
    40,   128,19490511,   86,    0
    40,   128,19490512,  113,    0
    40,   128,19490513,  113,    0
    40,   128,19490514,  137,    0
    40,   128,19490515,  103,    0
    40,   128,19490516,  143,    0
    40,   128,19490517,  184,    0
    40,   128,19490518,  168,    0
    40,   128,19490519,  162,    0
