EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERLIN-DAHLEM, GERMANY (STAID: 41)
Blended and updated with sources:133 27488 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    41, 27488,18760101,   22,    0
    41, 27488,18760102,   25,    0
    41, 27488,18760103,    3,    0
    41, 27488,18760104,  -58,    0
    41, 27488,18760105,  -98,    0
    41, 27488,18760106,  -77,    0
    41, 27488,18760107,  -66,    0
    41, 27488,18760108,  -89,    0
    41, 27488,18760109, -127,    0
    41, 27488,18760110,  -89,    0
    41, 27488,18760111,  -62,    0
    41, 27488,18760112,  -46,    0
    41, 27488,18760113,  -35,    0
    41, 27488,18760114,  -36,    0
    41, 27488,18760115,  -31,    0
    41, 27488,18760116,  -23,    0
    41, 27488,18760117,  -12,    0
    41, 27488,18760118,    8,    0
    41, 27488,18760119,   38,    0
    41, 27488,18760120,   33,    0
    41, 27488,18760121,   39,    0
    41, 27488,18760122,   10,    0
    41, 27488,18760123,    6,    0
    41, 27488,18760124,   25,    0
    41, 27488,18760125,   28,    0
    41, 27488,18760126,    3,    0
    41, 27488,18760127,   -8,    0
    41, 27488,18760128,  -22,    0
    41, 27488,18760129,  -13,    0
    41, 27488,18760130,    7,    0
    41, 27488,18760131,    3,    0
    41, 27488,18760201,  -12,    0
    41, 27488,18760202,    2,    0
    41, 27488,18760203,    8,    0
    41, 27488,18760204,   19,    0
    41, 27488,18760205,    6,    0
    41, 27488,18760206,   -8,    0
    41, 27488,18760207,    0,    0
    41, 27488,18760208,  -31,    0
    41, 27488,18760209,   -6,    0
    41, 27488,18760210,  -21,    0
    41, 27488,18760211,  -46,    0
    41, 27488,18760212,  -12,    0
    41, 27488,18760213,  -54,    0
    41, 27488,18760214,   -5,    0
    41, 27488,18760215,   34,    0
    41, 27488,18760216,   54,    0
    41, 27488,18760217,   56,    0
    41, 27488,18760218,   66,    0
    41, 27488,18760219,   81,    0
    41, 27488,18760220,   52,    0
    41, 27488,18760221,   39,    0
    41, 27488,18760222,  101,    0
    41, 27488,18760223,   84,    0
    41, 27488,18760224,   49,    0
    41, 27488,18760225,   29,    0
    41, 27488,18760226,   40,    0
    41, 27488,18760227,   72,    0
    41, 27488,18760228,   75,    0
    41, 27488,18760229,   21,    0
