EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALLE, GERMANY (STAID: 45)
Blended and updated with sources:153 910466 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    45,   153,19510101,  -10,    0
    45,   153,19510102,  -32,    0
    45,   153,19510103,    2,    0
    45,   153,19510104,    7,    0
    45,   153,19510105,   30,    0
    45,   153,19510106,   32,    0
    45,   153,19510107,   50,    0
    45,   153,19510108,   50,    0
    45,   153,19510109,   36,    0
    45,   153,19510110,   17,    0
    45,   153,19510111,   57,    0
    45,   153,19510112,   62,    0
    45,   153,19510113,   33,    0
    45,   153,19510114,   45,    0
    45,   153,19510115,   40,    0
    45,   153,19510116,   26,    0
    45,   153,19510117,   22,    0
    45,   153,19510118,   52,    0
    45,   153,19510119,   40,    0
    45,   153,19510120,   34,    0
    45,   153,19510121,  -15,    0
    45,   153,19510122,    6,    0
    45,   153,19510123,   24,    0
    45,   153,19510124,   10,    0
    45,   153,19510125,  -22,    0
    45,   153,19510126,  -20,    0
    45,   153,19510127,   13,    0
    45,   153,19510128,    0,    0
    45,   153,19510129,   -2,    0
    45,   153,19510130,  -19,    0
    45,   153,19510131,  -27,    0
    45,   153,19510201,   -4,    0
    45,   153,19510202,  -23,    0
    45,   153,19510203,  -65,    0
    45,   153,19510204,    3,    0
    45,   153,19510205,   16,    0
    45,   153,19510206,   19,    0
    45,   153,19510207,   26,    0
    45,   153,19510208,   37,    0
    45,   153,19510209,   59,    0
    45,   153,19510210,   40,    0
    45,   153,19510211,   29,    0
    45,   153,19510212,   33,    0
    45,   153,19510213,   22,    0
    45,   153,19510214,   12,    0
    45,   153,19510215,   42,    0
    45,   153,19510216,    4,    0
    45,   153,19510217,   55,    0
    45,   153,19510218,   36,    0
    45,   153,19510219,   42,    0
    45,   153,19510220,   46,    0
    45,   153,19510221,   41,    0
    45,   153,19510222,   21,    0
    45,   153,19510223,   34,    0
    45,   153,19510224,   26,    0
    45,   153,19510225,   18,    0
    45,   153,19510226,   15,    0
    45,   153,19510227,    8,    0
    45,   153,19510228,   -4,    0
    45,   153,19510301,   -1,    0
    45,   153,19510302,  -19,    0
    45,   153,19510303,  -31,    0
    45,   153,19510304,  -28,    0
    45,   153,19510305,  -30,    0
    45,   153,19510306,  -14,    0
    45,   153,19510307,    0,    0
    45,   153,19510308,   -9,    0
    45,   153,19510309,  -22,    0
    45,   153,19510310,  -22,    0
    45,   153,19510311,    5,    0
    45,   153,19510312,   38,    0
    45,   153,19510313,   70,    0
    45,   153,19510314,   85,    0
    45,   153,19510315,   70,    0
    45,   153,19510316,   63,    0
    45,   153,19510317,  112,    0
    45,   153,19510318,  108,    0
    45,   153,19510319,   60,    0
    45,   153,19510320,   12,    0
    45,   153,19510321,    5,    0
    45,   153,19510322,   30,    0
    45,   153,19510323,  102,    0
    45,   153,19510324,   44,    0
    45,   153,19510325,   -3,    0
    45,   153,19510326,   14,    0
    45,   153,19510327,   52,    0
    45,   153,19510328,   14,    0
    45,   153,19510329,   21,    0
    45,   153,19510330,   48,    0
    45,   153,19510331,   38,    0
    45,   153,19510401,   74,    0
    45,   153,19510402,   81,    0
    45,   153,19510403,   46,    0
    45,   153,19510404,   59,    0
    45,   153,19510405,   82,    0
    45,   153,19510406,   98,    0
    45,   153,19510407,  129,    0
    45,   153,19510408,   82,    0
    45,   153,19510409,   98,    0
    45,   153,19510410,   82,    0
    45,   153,19510411,   55,    0
    45,   153,19510412,   40,    0
    45,   153,19510413,  103,    0
    45,   153,19510414,   38,    0
    45,   153,19510415,   30,    0
    45,   153,19510416,   96,    0
    45,   153,19510417,   63,    0
    45,   153,19510418,   85,    0
    45,   153,19510419,   84,    0
    45,   153,19510420,   61,    0
    45,   153,19510421,   59,    0
