EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAMBURG BERGEDORF, GERMANY (STAID: 46)
Blended and updated with sources:158 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    46,   158,19120101,   51,    0
    46,   158,19120102,   69,    0
    46,   158,19120103,   59,    0
    46,   158,19120104,   38,    0
    46,   158,19120105,   43,    0
    46,   158,19120106,    2,    0
    46,   158,19120107,  -41,    0
    46,   158,19120108,  -22,    0
    46,   158,19120109,  -26,    0
    46,   158,19120110,  -48,    0
    46,   158,19120111,  -72,    0
    46,   158,19120112,  -65,    0
    46,   158,19120113,  -94,    0
    46,   158,19120114, -114,    0
    46,   158,19120115, -107,    0
    46,   158,19120116,  -94,    0
    46,   158,19120117,  -83,    0
    46,   158,19120118,  -70,    0
    46,   158,19120119,  -52,    0
    46,   158,19120120,  -60,    0
    46,   158,19120121,  -44,    0
    46,   158,19120122,   13,    0
    46,   158,19120123,    2,    0
    46,   158,19120124,    8,    0
    46,   158,19120125,   28,    0
    46,   158,19120126,   -6,    0
    46,   158,19120127,  -60,    0
    46,   158,19120128,  -16,    0
    46,   158,19120129,    3,    0
    46,   158,19120130,  -43,    0
    46,   158,19120131,  -10,    0
    46,   158,19120201,  -56,    0
    46,   158,19120202, -125,    0
    46,   158,19120203, -135,    0
    46,   158,19120204, -153,    0
    46,   158,19120205, -146,    0
    46,   158,19120206,  -32,    0
    46,   158,19120207,   40,    0
    46,   158,19120208,   47,    0
    46,   158,19120209,   32,    0
    46,   158,19120210,   49,    0
    46,   158,19120211,   11,    0
    46,   158,19120212,   13,    0
    46,   158,19120213,   13,    0
    46,   158,19120214,    7,    0
    46,   158,19120215,   -2,    0
    46,   158,19120216,   -4,    0
    46,   158,19120217,   45,    0
    46,   158,19120218,   68,    0
    46,   158,19120219,   67,    0
    46,   158,19120220,   65,    0
    46,   158,19120221,   37,    0
    46,   158,19120222,   22,    0
    46,   158,19120223,   94,    0
    46,   158,19120224,   46,    0
    46,   158,19120225,   10,    0
    46,   158,19120226,   55,    0
