EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAMBURG FUHLSBUETTEL, GERMANY (STAID: 47)
Blended and updated with sources:11417 81383 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    47, 81383,18910101, -107,    0
    47, 81383,18910102,  -76,    0
    47, 81383,18910103, -103,    0
    47, 81383,18910104,  -13,    0
    47, 81383,18910105,  -41,    0
    47, 81383,18910106,  -53,    0
    47, 81383,18910107,  -56,    0
    47, 81383,18910108, -112,    0
    47, 81383,18910109, -109,    0
    47, 81383,18910110, -126,    0
    47, 81383,18910111,  -87,    0
    47, 81383,18910112,   15,    0
    47, 81383,18910113,    5,    0
    47, 81383,18910114,    6,    0
    47, 81383,18910115,  -51,    0
    47, 81383,18910116,  -97,    0
    47, 81383,18910117,  -82,    0
    47, 81383,18910118,  -56,    0
    47, 81383,18910119,  -72,    0
    47, 81383,18910120,  -37,    0
    47, 81383,18910121,  -24,    0
    47, 81383,18910122,  -55,    0
    47, 81383,18910123,  -28,    0
    47, 81383,18910124,   24,    0
    47, 81383,18910125,   23,    0
    47, 81383,18910126,   16,    0
    47, 81383,18910127,   17,    0
    47, 81383,18910128,   30,    0
    47, 81383,18910129,   43,    0
    47, 81383,18910130,   34,    0
    47, 81383,18910131,   36,    0
    47, 81383,18910201,   41,    0
    47, 81383,18910202,   11,    0
    47, 81383,18910203,   31,    0
    47, 81383,18910204,    4,    0
    47, 81383,18910205,    1,    0
    47, 81383,18910206,    6,    0
    47, 81383,18910207,   10,    0
    47, 81383,18910208,  -11,    0
    47, 81383,18910209,  -12,    0
    47, 81383,18910210,  -37,    0
    47, 81383,18910211,    1,    0
    47, 81383,18910212,   16,    0
    47, 81383,18910213,  -30,    0
    47, 81383,18910214,  -37,    0
    47, 81383,18910215,   24,    0
    47, 81383,18910216,   25,    0
    47, 81383,18910217,   32,    0
    47, 81383,18910218,   22,    0
    47, 81383,18910219,    5,    0
    47, 81383,18910220,   -6,    0
    47, 81383,18910221,   -6,    0
    47, 81383,18910222,  -12,    0
    47, 81383,18910223,  -11,    0
    47, 81383,18910224,    2,    0
    47, 81383,18910225,   29,    0
    47, 81383,18910226,   39,    0
    47, 81383,18910227,   29,    0
    47, 81383,18910228,   25,    0
    47, 81383,18910301,   49,    0
    47, 81383,18910302,   68,    0
    47, 81383,18910303,   26,    0
    47, 81383,18910304,   30,    0
    47, 81383,18910305,   56,    0
    47, 81383,18910306,   55,    0
    47, 81383,18910307,   11,    0
    47, 81383,18910308,   21,    0
    47, 81383,18910309,    4,    0
    47, 81383,18910310,    5,    0
    47, 81383,18910311,   28,    0
    47, 81383,18910312,   18,    0
    47, 81383,18910313,   23,    0
    47, 81383,18910314,   18,    0
    47, 81383,18910315,   18,    0
    47, 81383,18910316,   57,    0
    47, 81383,18910317,   61,    0
    47, 81383,18910318,   17,    0
    47, 81383,18910319,    6,    0
    47, 81383,18910320,    3,    0
    47, 81383,18910321,  -15,    0
    47, 81383,18910322,  -20,    0
    47, 81383,18910323,  -13,    0
    47, 81383,18910324,   -1,    0
