EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JENA STERNWARTE, GERMANY (STAID: 49)
Blended and updated with sources:172 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    49,   172,18240101,   45,    0
    49,   172,18240102,   50,    0
    49,   172,18240103,   35,    0
    49,   172,18240104,   12,    0
    49,   172,18240105,   -8,    0
    49,   172,18240106,  -37,    0
    49,   172,18240107,  -44,    0
    49,   172,18240108,   -8,    0
    49,   172,18240109,  -58,    0
    49,   172,18240110,  -22,    0
    49,   172,18240111,  -37,    0
    49,   172,18240112,  -10,    0
    49,   172,18240113,   11,    0
    49,   172,18240114,   -1,    0
    49,   172,18240115,   -2,    0
    49,   172,18240116,  -26,    0
    49,   172,18240117,   -1,    0
    49,   172,18240118,   28,    0
    49,   172,18240119,   35,    0
    49,   172,18240120,   20,    0
    49,   172,18240121,   13,    0
    49,   172,18240122,    6,    0
    49,   172,18240123,   17,    0
    49,   172,18240124,   26,    0
    49,   172,18240125,   52,    0
    49,   172,18240126,   60,    0
    49,   172,18240127,   56,    0
    49,   172,18240128,   47,    0
    49,   172,18240129,   22,    0
    49,   172,18240130,   21,    0
    49,   172,18240131,  -20,    0
    49,   172,18240201,  -37,    0
    49,   172,18240202,  -39,    0
    49,   172,18240203,  -13,    0
    49,   172,18240204,    1,    0
    49,   172,18240205,   24,    0
    49,   172,18240206,    2,    0
    49,   172,18240207,    2,    0
    49,   172,18240208,   35,    0
    49,   172,18240209,   41,    0
    49,   172,18240210,   34,    0
    49,   172,18240211,   23,    0
    49,   172,18240212,   25,    0
    49,   172,18240213,   41,    0
    49,   172,18240214,   53,    0
    49,   172,18240215,   48,    0
    49,   172,18240216,   27,    0
    49,   172,18240217,   16,    0
    49,   172,18240218,   31,    0
    49,   172,18240219,    2,    0
    49,   172,18240220,   32,    0
    49,   172,18240221,   41,    0
    49,   172,18240222,   47,    0
    49,   172,18240223,   14,    0
    49,   172,18240224,  -11,    0
    49,   172,18240225,   16,    0
    49,   172,18240226,   35,    0
    49,   172,18240227,   23,    0
    49,   172,18240228,    4,    0
    49,   172,18240229,   -6,    0
    49,   172,18240301,   19,    0
    49,   172,18240302,  -20,    0
    49,   172,18240303,  -21,    0
    49,   172,18240304,    8,    0
    49,   172,18240305,   23,    0
    49,   172,18240306,   47,    0
    49,   172,18240307,   53,    0
    49,   172,18240308,   99,    0
    49,   172,18240309,   88,    0
    49,   172,18240310,   95,    0
    49,   172,18240311,   40,    0
    49,   172,18240312,   30,    0
    49,   172,18240313,   19,    0
    49,   172,18240314,   28,    0
    49,   172,18240315,   24,    0
    49,   172,18240316,   33,    0
    49,   172,18240317,   60,    0
    49,   172,18240318,   57,    0
    49,   172,18240319,   33,    0
    49,   172,18240320,   23,    0
    49,   172,18240321,   36,    0
    49,   172,18240322,   52,    0
    49,   172,18240323,  100,    0
    49,   172,18240324,   44,    0
    49,   172,18240325,   10,    0
    49,   172,18240326,   20,    0
    49,   172,18240327,   21,    0
    49,   172,18240328,   21,    0
    49,   172,18240329,   14,    0
    49,   172,18240330,   30,    0
    49,   172,18240331,   22,    0
    49,   172,18240401,   31,    0
    49,   172,18240402,   33,    0
    49,   172,18240403,   19,    0
    49,   172,18240404,   30,    0
    49,   172,18240405,   36,    0
    49,   172,18240406,   43,    0
    49,   172,18240407,   42,    0
    49,   172,18240408,   76,    0
    49,   172,18240409,   72,    0
    49,   172,18240410,   46,    0
    49,   172,18240411,   45,    0
    49,   172,18240412,   42,    0
    49,   172,18240413,   49,    0
    49,   172,18240414,   69,    0
    49,   172,18240415,   52,    0
    49,   172,18240416,   81,    0
    49,   172,18240417,   67,    0
    49,   172,18240418,   55,    0
    49,   172,18240419,   63,    0
    49,   172,18240420,   65,    0
    49,   172,18240421,  104,    0
    49,   172,18240422,  134,    0
    49,   172,18240423,  144,    0
    49,   172,18240424,  116,    0
    49,   172,18240425,  112,    0
    49,   172,18240426,  133,    0
    49,   172,18240427,  159,    0
    49,   172,18240428,  142,    0
    49,   172,18240429,  173,    0
    49,   172,18240430,  194,    0
    49,   172,18240501,  200,    0
    49,   172,18240502,  194,    0
    49,   172,18240503,  149,    0
    49,   172,18240504,  143,    0
    49,   172,18240505,  128,    0
    49,   172,18240506,  165,    0
    49,   172,18240507,  145,    0
    49,   172,18240508,  137,    0
    49,   172,18240509,  117,    0
    49,   172,18240510,  145,    0
    49,   172,18240511,  110,    0
    49,   172,18240512,  103,    0
    49,   172,18240513,  110,    0
    49,   172,18240514,  137,    0
    49,   172,18240515,  136,    0
    49,   172,18240516,  103,    0
    49,   172,18240517,   98,    0
    49,   172,18240518,  103,    0
    49,   172,18240519,   91,    0
    49,   172,18240520,  103,    0
    49,   172,18240521,   88,    0
    49,   172,18240522,  100,    0
    49,   172,18240523,   98,    0
    49,   172,18240524,  112,    0
    49,   172,18240525,  110,    0
    49,   172,18240526,  131,    0
    49,   172,18240527,  127,    0
    49,   172,18240528,  135,    0
    49,   172,18240529,  135,    0
    49,   172,18240530,  175,    0
    49,   172,18240531,  181,    0
    49,   172,18240601,  136,    0
    49,   172,18240602,  140,    0
    49,   172,18240603,  155,    0
    49,   172,18240604,  147,    0
    49,   172,18240605,  180,    0
    49,   172,18240606,  179,    0
    49,   172,18240607,  197,    0
    49,   172,18240608,  221,    0
    49,   172,18240609,  206,    0
    49,   172,18240610,  204,    0
    49,   172,18240611,  203,    0
    49,   172,18240612,  138,    0
    49,   172,18240613,   72,    0
    49,   172,18240614,  116,    0
    49,   172,18240615,  156,    0
    49,   172,18240616,  194,    0
    49,   172,18240617,  132,    0
    49,   172,18240618,  120,    0
    49,   172,18240619,  134,    0
    49,   172,18240620,  160,    0
    49,   172,18240621,  208,    0
    49,   172,18240622,  158,    0
    49,   172,18240623,  184,    0
    49,   172,18240624,  173,    0
    49,   172,18240625,  139,    0
    49,   172,18240626,  145,    0
    49,   172,18240627,  153,    0
    49,   172,18240628,  197,    0
    49,   172,18240629,  198,    0
    49,   172,18240630,  179,    0
    49,   172,18240701,  173,    0
    49,   172,18240702,  184,    0
    49,   172,18240703,  193,    0
    49,   172,18240704,  167,    0
    49,   172,18240705,  156,    0
    49,   172,18240706,  189,    0
    49,   172,18240707,  189,    0
    49,   172,18240708,  201,    0
    49,   172,18240709,  210,    0
    49,   172,18240710,  225,    0
    49,   172,18240711,  178,    0
    49,   172,18240712,  194,    0
    49,   172,18240713,  225,    0
    49,   172,18240714,  224,    0
    49,   172,18240715,  216,    0
    49,   172,18240716,  191,    0
    49,   172,18240717,  200,    0
    49,   172,18240718,  154,    0
    49,   172,18240719,  135,    0
    49,   172,18240720,  146,    0
    49,   172,18240721,  158,    0
    49,   172,18240722,  156,    0
    49,   172,18240723,  165,    0
    49,   172,18240724,  186,    0
    49,   172,18240725,  210,    0
    49,   172,18240726,  189,    0
    49,   172,18240727,  184,    0
    49,   172,18240728,  145,    0
    49,   172,18240729,  173,    0
    49,   172,18240730,  205,    0
    49,   172,18240731,  208,    0
    49,   172,18240801,  216,    0
    49,   172,18240802,  199,    0
    49,   172,18240803,  184,    0
    49,   172,18240804,  187,    0
    49,   172,18240805,  175,    0
    49,   172,18240806,  179,    0
    49,   172,18240807,  187,    0
    49,   172,18240808,  164,    0
    49,   172,18240809,  173,    0
    49,   172,18240810,  178,    0
    49,   172,18240811,  196,    0
    49,   172,18240812,  239,    1
    49,   172,18240813,  228,    0
    49,   172,18240814,  181,    0
    49,   172,18240815,  150,    0
    49,   172,18240816,  159,    0
    49,   172,18240817,  159,    0
    49,   172,18240818,  192,    0
    49,   172,18240819,  150,    0
    49,   172,18240820,  157,    0
    49,   172,18240821,  175,    0
    49,   172,18240822,  161,    0
    49,   172,18240823,  160,    0
    49,   172,18240824,  159,    0
    49,   172,18240825,  156,    0
    49,   172,18240826,  167,    0
    49,   172,18240827,  161,    0
    49,   172,18240828,  176,    0
    49,   172,18240829,  177,    0
    49,   172,18240830,  195,    0
    49,   172,18240831,  182,    0
    49,   172,18240901,  195,    0
    49,   172,18240902,  200,    0
    49,   172,18240903,  221,    0
    49,   172,18240904,  214,    0
    49,   172,18240905,  197,    0
    49,   172,18240906,  159,    0
    49,   172,18240907,  191,    0
    49,   172,18240908,  210,    0
    49,   172,18240909,  173,    0
    49,   172,18240910,  140,    0
    49,   172,18240911,  150,    0
    49,   172,18240912,  163,    0
    49,   172,18240913,  154,    0
    49,   172,18240914,  159,    0
    49,   172,18240915,  149,    0
    49,   172,18240916,  157,    0
    49,   172,18240917,  172,    0
    49,   172,18240918,  156,    0
    49,   172,18240919,  144,    0
    49,   172,18240920,  164,    0
    49,   172,18240921,  155,    0
    49,   172,18240922,  137,    0
    49,   172,18240923,  154,    0
    49,   172,18240924,  150,    0
    49,   172,18240925,  126,    0
    49,   172,18240926,   94,    0
    49,   172,18240927,   90,    0
    49,   172,18240928,   80,    0
    49,   172,18240929,   68,    0
    49,   172,18240930,  114,    0
    49,   172,18241001,  141,    0
    49,   172,18241002,  152,    0
    49,   172,18241003,  136,    0
    49,   172,18241004,  131,    0
    49,   172,18241005,  146,    0
    49,   172,18241006,  144,    0
    49,   172,18241007,  161,    0
    49,   172,18241008,  142,    0
    49,   172,18241009,  146,    0
    49,   172,18241010,  143,    0
    49,   172,18241011,  110,    0
    49,   172,18241012,  120,    0
    49,   172,18241013,  113,    0
    49,   172,18241014,   77,    0
    49,   172,18241015,   77,    0
    49,   172,18241016,   56,    0
    49,   172,18241017,   52,    0
    49,   172,18241018,   63,    0
    49,   172,18241019,   72,    0
    49,   172,18241020,  101,    0
    49,   172,18241021,   76,    0
    49,   172,18241022,   51,    0
    49,   172,18241023,  113,    0
    49,   172,18241024,  115,    0
    49,   172,18241025,  128,    0
    49,   172,18241026,  136,    0
    49,   172,18241027,   90,    0
    49,   172,18241028,   98,    0
    49,   172,18241029,   91,    0
    49,   172,18241030,   57,    0
    49,   172,18241031,   52,    0
    49,   172,18241101,   53,    0
    49,   172,18241102,   68,    0
    49,   172,18241103,   79,    0
    49,   172,18241104,   33,    0
    49,   172,18241105,   30,    0
    49,   172,18241106,   41,    0
    49,   172,18241107,   44,    0
    49,   172,18241108,   58,    0
    49,   172,18241109,   93,    0
    49,   172,18241110,   79,    0
    49,   172,18241111,  102,    0
    49,   172,18241112,   82,    0
    49,   172,18241113,   65,    0
    49,   172,18241114,  103,    0
    49,   172,18241115,   41,    0
    49,   172,18241116,   37,    0
    49,   172,18241117,   58,    0
    49,   172,18241118,  111,    0
    49,   172,18241119,   85,    0
    49,   172,18241120,  116,    0
    49,   172,18241121,  109,    0
    49,   172,18241122,  102,    0
    49,   172,18241123,   88,    0
    49,   172,18241124,   66,    0
    49,   172,18241125,   61,    0
    49,   172,18241126,   43,    0
    49,   172,18241127,   33,    0
    49,   172,18241128,   34,    0
    49,   172,18241129,   96,    0
    49,   172,18241130,   94,    0
    49,   172,18241201,   91,    0
    49,   172,18241202,   30,    0
    49,   172,18241203,   37,    0
    49,   172,18241204,   61,    0
    49,   172,18241205,  109,    0
    49,   172,18241206,   96,    0
    49,   172,18241207,   66,    0
    49,   172,18241208,   42,    0
    49,   172,18241209,   52,    0
    49,   172,18241210,   28,    0
    49,   172,18241211,   24,    0
    49,   172,18241212,   68,    0
    49,   172,18241213,   89,    0
    49,   172,18241214,   84,    0
    49,   172,18241215,   62,    0
    49,   172,18241216,   64,    0
    49,   172,18241217,   18,    0
    49,   172,18241218,   14,    0
    49,   172,18241219,  101,    0
    49,   172,18241220,  114,    0
    49,   172,18241221,   51,    0
    49,   172,18241222,   98,    0
    49,   172,18241223,   40,    0
    49,   172,18241224,   11,    0
    49,   172,18241225,   49,    0
    49,   172,18241226,   65,    0
    49,   172,18241227,   50,    0
    49,   172,18241228,   85,    0
    49,   172,18241229,   37,    0
    49,   172,18241230,   24,    0
    49,   172,18241231,   66,    0
    49,   172,18250101,   82,    0
    49,   172,18250102,   69,    0
    49,   172,18250103,   45,    0
    49,   172,18250104,   49,    0
    49,   172,18250105,  -29,    0
    49,   172,18250106,  -59,    0
    49,   172,18250107,   14,    0
    49,   172,18250108,   38,    0
