EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAISERSLAUTERN, GERMANY (STAID: 50)
Blended and updated with sources:177 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    50,   177,19010101,  -28,    0
    50,   177,19010102,  -61,    0
    50,   177,19010103,  -80,    0
    50,   177,19010104,  -99,    0
    50,   177,19010105, -116,    0
    50,   177,19010106,  -96,    0
    50,   177,19010107,  -82,    0
    50,   177,19010108,  -54,    0
    50,   177,19010109,  -14,    0
    50,   177,19010110,  -47,    0
    50,   177,19010111,   -8,    0
    50,   177,19010112,    2,    0
    50,   177,19010113,  -62,    0
    50,   177,19010114,  -76,    0
    50,   177,19010115,  -58,    0
    50,   177,19010116,  -71,    0
    50,   177,19010117,  -70,    0
    50,   177,19010118,  -65,    0
    50,   177,19010119,  -26,    0
    50,   177,19010120,   43,    0
    50,   177,19010121,   50,    0
    50,   177,19010122,   58,    0
    50,   177,19010123,   52,    0
    50,   177,19010124,   50,    0
    50,   177,19010125,   44,    0
    50,   177,19010126,   29,    0
    50,   177,19010127,   76,    0
    50,   177,19010128,   27,    0
    50,   177,19010129,    2,    0
    50,   177,19010130,    1,    0
    50,   177,19010131,    2,    0
    50,   177,19010201,    4,    0
    50,   177,19010202,   -8,    0
    50,   177,19010203,    4,    0
    50,   177,19010204,   20,    0
    50,   177,19010205,   18,    0
    50,   177,19010206,    7,    0
    50,   177,19010207,   -9,    0
    50,   177,19010208,  -38,    0
    50,   177,19010209,  -13,    0
    50,   177,19010210,   -3,    0
    50,   177,19010211,  -38,    0
    50,   177,19010212,  -42,    0
    50,   177,19010213,  -61,    0
    50,   177,19010214,  -96,    0
    50,   177,19010215, -102,    0
    50,   177,19010216,  -66,    0
    50,   177,19010217,  -36,    0
    50,   177,19010218,  -66,    0
    50,   177,19010219,  -60,    0
    50,   177,19010220, -106,    0
    50,   177,19010221, -124,    0
    50,   177,19010222, -103,    0
    50,   177,19010223,  -44,    0
    50,   177,19010224,    2,    0
    50,   177,19010225,   18,    0
    50,   177,19010226,   18,    0
    50,   177,19010227,   58,    0
    50,   177,19010228,   54,    0
    50,   177,19010301,   75,    0
    50,   177,19010302,   73,    0
    50,   177,19010303,   66,    0
    50,   177,19010304,   45,    0
    50,   177,19010305,   64,    0
    50,   177,19010306,   46,    0
    50,   177,19010307,   38,    0
    50,   177,19010308,   23,    0
    50,   177,19010309,   20,    0
    50,   177,19010310,   24,    0
    50,   177,19010311,   14,    0
    50,   177,19010312,   12,    0
    50,   177,19010313,   24,    0
    50,   177,19010314,   36,    0
    50,   177,19010315,   67,    0
    50,   177,19010316,   67,    0
    50,   177,19010317,   74,    0
    50,   177,19010318,   69,    0
    50,   177,19010319,   76,    0
    50,   177,19010320,   60,    0
    50,   177,19010321,    4,    0
    50,   177,19010322,   -2,    0
    50,   177,19010323,    5,    0
    50,   177,19010324,    1,    0
    50,   177,19010325,    8,    0
    50,   177,19010326,  -20,    0
    50,   177,19010327,  -32,    0
    50,   177,19010328,  -24,    0
    50,   177,19010329,  -14,    0
    50,   177,19010330,   55,    0
    50,   177,19010331,  116,    0
    50,   177,19010401,   86,    0
    50,   177,19010402,   68,    0
    50,   177,19010403,  136,    0
    50,   177,19010404,   98,    0
    50,   177,19010405,   61,    0
    50,   177,19010406,   85,    0
    50,   177,19010407,  135,    0
    50,   177,19010408,  129,    0
    50,   177,19010409,  110,    0
    50,   177,19010410,   83,    0
    50,   177,19010411,   82,    0
    50,   177,19010412,   72,    0
    50,   177,19010413,   60,    0
    50,   177,19010414,   82,    0
    50,   177,19010415,   64,    0
    50,   177,19010416,   50,    0
    50,   177,19010417,   43,    0
    50,   177,19010418,   54,    0
    50,   177,19010419,   62,    0
    50,   177,19010420,   95,    0
    50,   177,19010421,  133,    0
    50,   177,19010422,  134,    0
    50,   177,19010423,  126,    0
    50,   177,19010424,  115,    0
    50,   177,19010425,  123,    0
    50,   177,19010426,   86,    0
    50,   177,19010427,  106,    0
    50,   177,19010428,   89,    0
    50,   177,19010429,   94,    0
    50,   177,19010430,   85,    0
    50,   177,19010501,   93,    0
    50,   177,19010502,  112,    0
    50,   177,19010503,  125,    0
    50,   177,19010504,  130,    0
    50,   177,19010505,  112,    0
    50,   177,19010506,  110,    0
    50,   177,19010507,   95,    0
    50,   177,19010508,   89,    0
    50,   177,19010509,   91,    0
    50,   177,19010510,  110,    0
    50,   177,19010511,  111,    0
    50,   177,19010512,  163,    0
    50,   177,19010513,  174,    0
    50,   177,19010514,  166,    0
    50,   177,19010515,  158,    0
    50,   177,19010516,   84,    0
    50,   177,19010517,  108,    0
    50,   177,19010518,   94,    0
    50,   177,19010519,  112,    0
    50,   177,19010520,  136,    0
    50,   177,19010521,  151,    0
    50,   177,19010522,  150,    0
    50,   177,19010523,  150,    0
    50,   177,19010524,  148,    0
    50,   177,19010525,  171,    0
    50,   177,19010526,  170,    0
    50,   177,19010527,  150,    0
    50,   177,19010528,  179,    0
    50,   177,19010529,  195,    0
    50,   177,19010530,  206,    0
    50,   177,19010531,  217,    0
    50,   177,19010601,  230,    0
    50,   177,19010602,  219,    0
    50,   177,19010603,  179,    0
    50,   177,19010604,  174,    0
    50,   177,19010605,  190,    0
    50,   177,19010606,  206,    0
    50,   177,19010607,  179,    0
    50,   177,19010608,  168,    0
    50,   177,19010609,  203,    0
    50,   177,19010610,  180,    0
    50,   177,19010611,  156,    0
    50,   177,19010612,  163,    0
    50,   177,19010613,  117,    0
    50,   177,19010614,  156,    0
    50,   177,19010615,  132,    0
    50,   177,19010616,  124,    0
    50,   177,19010617,  119,    0
    50,   177,19010618,   88,    0
    50,   177,19010619,  127,    0
    50,   177,19010620,  152,    0
    50,   177,19010621,  178,    0
    50,   177,19010622,  197,    0
    50,   177,19010623,  223,    0
    50,   177,19010624,  179,    0
    50,   177,19010625,  154,    0
    50,   177,19010626,  157,    0
    50,   177,19010627,  157,    0
    50,   177,19010628,  190,    0
    50,   177,19010629,  219,    0
    50,   177,19010630,  212,    0
    50,   177,19010701,  183,    0
    50,   177,19010702,  150,    0
    50,   177,19010703,  158,    0
    50,   177,19010704,  178,    0
    50,   177,19010705,  177,    0
    50,   177,19010706,  172,    0
    50,   177,19010707,  187,    0
    50,   177,19010708,  202,    0
    50,   177,19010709,  216,    0
    50,   177,19010710,  209,    0
    50,   177,19010711,  206,    0
    50,   177,19010712,  220,    0
    50,   177,19010713,  227,    0
    50,   177,19010714,  199,    0
    50,   177,19010715,  180,    0
    50,   177,19010716,  182,    0
    50,   177,19010717,  202,    0
    50,   177,19010718,  207,    0
    50,   177,19010719,  197,    0
    50,   177,19010720,  179,    0
    50,   177,19010721,  195,    0
    50,   177,19010722,  188,    0
    50,   177,19010723,  174,    0
    50,   177,19010724,  172,    0
    50,   177,19010725,  179,    0
    50,   177,19010726,  176,    0
    50,   177,19010727,  168,    0
    50,   177,19010728,  190,    0
    50,   177,19010729,  200,    0
    50,   177,19010730,  196,    0
    50,   177,19010731,  182,    0
    50,   177,19010801,  187,    0
    50,   177,19010802,  173,    0
    50,   177,19010803,  158,    0
    50,   177,19010804,  172,    0
    50,   177,19010805,  168,    0
    50,   177,19010806,  146,    0
    50,   177,19010807,  154,    0
    50,   177,19010808,  179,    0
    50,   177,19010809,  196,    0
    50,   177,19010810,  223,    0
    50,   177,19010811,  195,    0
    50,   177,19010812,  178,    0
    50,   177,19010813,  172,    0
    50,   177,19010814,  170,    0
    50,   177,19010815,  157,    0
    50,   177,19010816,  164,    0
    50,   177,19010817,  155,    0
    50,   177,19010818,  178,    0
    50,   177,19010819,  193,    0
    50,   177,19010820,  167,    0
    50,   177,19010821,  148,    0
    50,   177,19010822,  158,    0
    50,   177,19010823,  166,    0
    50,   177,19010824,  174,    0
    50,   177,19010825,  191,    0
    50,   177,19010826,  162,    0
    50,   177,19010827,  126,    0
    50,   177,19010828,  120,    0
    50,   177,19010829,  121,    0
    50,   177,19010830,  128,    0
    50,   177,19010831,  157,    0
    50,   177,19010901,  122,    0
    50,   177,19010902,  102,    0
    50,   177,19010903,  124,    0
    50,   177,19010904,  104,    0
    50,   177,19010905,   96,    0
    50,   177,19010906,  112,    0
    50,   177,19010907,  124,    0
    50,   177,19010908,  145,    0
    50,   177,19010909,  172,    0
    50,   177,19010910,  172,    0
    50,   177,19010911,  142,    0
    50,   177,19010912,  138,    0
    50,   177,19010913,  116,    0
    50,   177,19010914,  118,    0
    50,   177,19010915,  118,    0
    50,   177,19010916,  112,    0
    50,   177,19010917,  128,    0
    50,   177,19010918,  130,    0
    50,   177,19010919,  113,    0
    50,   177,19010920,  154,    0
    50,   177,19010921,  168,    0
    50,   177,19010922,  164,    0
    50,   177,19010923,  170,    0
    50,   177,19010924,  167,    0
    50,   177,19010925,  164,    0
    50,   177,19010926,  165,    0
    50,   177,19010927,  156,    0
    50,   177,19010928,  134,    0
    50,   177,19010929,  129,    0
    50,   177,19010930,  140,    0
    50,   177,19011001,  140,    0
    50,   177,19011002,  152,    0
    50,   177,19011003,  144,    0
    50,   177,19011004,  140,    0
    50,   177,19011005,  122,    0
    50,   177,19011006,   94,    0
    50,   177,19011007,   67,    0
    50,   177,19011008,   79,    0
    50,   177,19011009,  110,    0
    50,   177,19011010,   70,    0
    50,   177,19011011,   51,    0
    50,   177,19011012,   58,    0
    50,   177,19011013,   48,    0
    50,   177,19011014,   48,    0
    50,   177,19011015,   69,    0
    50,   177,19011016,   79,    0
    50,   177,19011017,  100,    0
    50,   177,19011018,  125,    0
    50,   177,19011019,  102,    0
    50,   177,19011020,  112,    0
    50,   177,19011021,  104,    0
    50,   177,19011022,   92,    0
    50,   177,19011023,   94,    0
    50,   177,19011024,   64,    0
    50,   177,19011025,   76,    0
    50,   177,19011026,   80,    0
    50,   177,19011027,   95,    0
    50,   177,19011028,   63,    0
    50,   177,19011029,   36,    0
    50,   177,19011030,   72,    0
    50,   177,19011031,   60,    0
    50,   177,19011101,   59,    0
    50,   177,19011102,   26,    0
    50,   177,19011103,   10,    0
    50,   177,19011104,   12,    0
    50,   177,19011105,   10,    0
    50,   177,19011106,   12,    0
    50,   177,19011107,   20,    0
    50,   177,19011108,   48,    0
    50,   177,19011109,   58,    0
    50,   177,19011110,   62,    0
    50,   177,19011111,   68,    0
    50,   177,19011112,   55,    0
    50,   177,19011113,  104,    0
    50,   177,19011114,   57,    0
    50,   177,19011115,   42,    0
    50,   177,19011116,    8,    0
    50,   177,19011117,  -22,    0
    50,   177,19011118,   -4,    0
    50,   177,19011119,   40,    0
    50,   177,19011120,   62,    0
    50,   177,19011121,   75,    0
    50,   177,19011122,   69,    0
    50,   177,19011123,    6,    0
    50,   177,19011124,  -12,    0
    50,   177,19011125,  -26,    0
    50,   177,19011126,  -16,    0
    50,   177,19011127,   -6,    0
    50,   177,19011128,   -2,    0
    50,   177,19011129,   22,    0
    50,   177,19011130,   29,    0
    50,   177,19011201,   46,    0
    50,   177,19011202,   51,    0
    50,   177,19011203,   55,    0
    50,   177,19011204,   33,    0
    50,   177,19011205,  -14,    0
    50,   177,19011206,  -26,    0
    50,   177,19011207,    8,    0
    50,   177,19011208,   54,    0
    50,   177,19011209,   58,    0
    50,   177,19011210,   23,    0
    50,   177,19011211,   19,    0
    50,   177,19011212,   15,    0
    50,   177,19011213,   27,    0
    50,   177,19011214,   27,    0
    50,   177,19011215,    2,    0
    50,   177,19011216,  -20,    0
    50,   177,19011217,  -40,    0
    50,   177,19011218,  -14,    0
    50,   177,19011219,    8,    0
    50,   177,19011220,   10,    0
    50,   177,19011221,   12,    0
    50,   177,19011222,    3,    0
    50,   177,19011223,    6,    0
    50,   177,19011224,   36,    0
    50,   177,19011225,   58,    0
    50,   177,19011226,   45,    0
    50,   177,19011227,   30,    0
    50,   177,19011228,   10,    0
    50,   177,19011229,   47,    0
    50,   177,19011230,   80,    0
    50,   177,19011231,   77,    0
    50,   177,19020101,   73,    0
    50,   177,19020102,   76,    0
    50,   177,19020103,   68,    0
    50,   177,19020104,   83,    0
    50,   177,19020105,   52,    0
    50,   177,19020106,   41,    0
    50,   177,19020107,   61,    0
    50,   177,19020108,   20,    0
    50,   177,19020109,   -2,    0
    50,   177,19020110,    9,    0
    50,   177,19020111,   45,    0
    50,   177,19020112,   38,    0
    50,   177,19020113,   11,    0
    50,   177,19020114,  -12,    0
    50,   177,19020115,  -19,    0
    50,   177,19020116,   30,    0
    50,   177,19020117,   39,    0
    50,   177,19020118,   43,    0
    50,   177,19020119,   36,    0
    50,   177,19020120,   34,    0
    50,   177,19020121,   44,    0
    50,   177,19020122,   54,    0
    50,   177,19020123,   50,    0
    50,   177,19020124,   66,    0
    50,   177,19020125,   27,    0
    50,   177,19020126,  -12,    0
    50,   177,19020127,   18,    0
    50,   177,19020128,   42,    0
    50,   177,19020129,   17,    0
    50,   177,19020130,   -9,    0
    50,   177,19020131,    0,    0
    50,   177,19020201,  -27,    0
    50,   177,19020202,    9,    0
    50,   177,19020203,    9,    0
    50,   177,19020204,    0,    0
    50,   177,19020205,  -17,    0
    50,   177,19020206,   40,    0
    50,   177,19020207,   93,    0
    50,   177,19020208,   50,    0
    50,   177,19020209,   23,    0
    50,   177,19020210,   10,    0
    50,   177,19020211,  -10,    0
    50,   177,19020212,  -24,    0
    50,   177,19020213,  -13,    0
    50,   177,19020214,  -25,    0
    50,   177,19020215,  -32,    0
    50,   177,19020216,  -37,    0
    50,   177,19020217,   -4,    0
    50,   177,19020218,    5,    0
    50,   177,19020219,    8,    0
    50,   177,19020220,   23,    0
    50,   177,19020221,   16,    0
    50,   177,19020222,    6,    0
    50,   177,19020223,   14,    0
    50,   177,19020224,   25,    0
    50,   177,19020225,    2,    0
    50,   177,19020226,   10,    0
    50,   177,19020227,   44,    0
    50,   177,19020228,   72,    0
    50,   177,19020301,   60,    0
    50,   177,19020302,   53,    0
    50,   177,19020303,   40,    0
    50,   177,19020304,   23,    0
    50,   177,19020305,   27,    0
    50,   177,19020306,   27,    0
    50,   177,19020307,   44,    0
    50,   177,19020308,   48,    0
    50,   177,19020309,   64,    0
    50,   177,19020310,   10,    0
    50,   177,19020311,   10,    0
    50,   177,19020312,   21,    0
    50,   177,19020313,   33,    0
    50,   177,19020314,   43,    0
    50,   177,19020315,   64,    0
    50,   177,19020316,   52,    0
    50,   177,19020317,   44,    0
    50,   177,19020318,   72,    0
    50,   177,19020319,   76,    0
    50,   177,19020320,  114,    0
    50,   177,19020321,   89,    0
    50,   177,19020322,   64,    0
    50,   177,19020323,   48,    0
    50,   177,19020324,   48,    0
    50,   177,19020325,   47,    0
    50,   177,19020326,   16,    0
    50,   177,19020327,   66,    0
    50,   177,19020328,   85,    0
    50,   177,19020329,   88,    0
    50,   177,19020330,   44,    0
    50,   177,19020331,   64,    0
    50,   177,19020401,  110,    0
    50,   177,19020402,   87,    0
    50,   177,19020403,   78,    0
    50,   177,19020404,   62,    0
    50,   177,19020405,   52,    0
    50,   177,19020406,   55,    0
    50,   177,19020407,   42,    0
    50,   177,19020408,   15,    0
    50,   177,19020409,   81,    0
    50,   177,19020410,  104,    0
    50,   177,19020411,  113,    0
    50,   177,19020412,  106,    0
    50,   177,19020413,  122,    0
    50,   177,19020414,  117,    0
    50,   177,19020415,  136,    0
    50,   177,19020416,  102,    0
    50,   177,19020417,   96,    0
    50,   177,19020418,  103,    0
    50,   177,19020419,  119,    0
    50,   177,19020420,  155,    0
    50,   177,19020421,  131,    0
    50,   177,19020422,  151,    0
    50,   177,19020423,  122,    0
    50,   177,19020424,  136,    0
    50,   177,19020425,  114,    0
    50,   177,19020426,  110,    0
    50,   177,19020427,   91,    0
    50,   177,19020428,   68,    0
    50,   177,19020429,   72,    0
    50,   177,19020430,   78,    0
    50,   177,19020501,   66,    0
    50,   177,19020502,   82,    0
    50,   177,19020503,   92,    0
    50,   177,19020504,   92,    0
    50,   177,19020505,   68,    0
    50,   177,19020506,   44,    0
    50,   177,19020507,   34,    0
    50,   177,19020508,   58,    0
    50,   177,19020509,   74,    0
    50,   177,19020510,   76,    0
    50,   177,19020511,   72,    0
    50,   177,19020512,   75,    0
    50,   177,19020513,   76,    0
    50,   177,19020514,   46,    0
    50,   177,19020515,   67,    0
    50,   177,19020516,  100,    0
    50,   177,19020517,   98,    0
    50,   177,19020518,   68,    0
    50,   177,19020519,   69,    0
    50,   177,19020520,   74,    0
    50,   177,19020521,   76,    0
    50,   177,19020522,   73,    0
    50,   177,19020523,   88,    0
    50,   177,19020524,   88,    0
    50,   177,19020525,  140,    0
    50,   177,19020526,  115,    0
    50,   177,19020527,  138,    0
    50,   177,19020528,  184,    0
    50,   177,19020529,  202,    0
    50,   177,19020530,  195,    0
    50,   177,19020531,  203,    0
    50,   177,19020601,  218,    0
    50,   177,19020602,  227,    0
    50,   177,19020603,  234,    0
    50,   177,19020604,  202,    0
    50,   177,19020605,  163,    0
    50,   177,19020606,  162,    0
    50,   177,19020607,  125,    0
    50,   177,19020608,  105,    0
    50,   177,19020609,  112,    0
    50,   177,19020610,  109,    0
    50,   177,19020611,  120,    0
    50,   177,19020612,  162,    0
    50,   177,19020613,  138,    0
    50,   177,19020614,  117,    0
    50,   177,19020615,  102,    0
    50,   177,19020616,  114,    0
    50,   177,19020617,  117,    0
    50,   177,19020618,  119,    0
    50,   177,19020619,  140,    0
    50,   177,19020620,  155,    0
    50,   177,19020621,  143,    0
    50,   177,19020622,  164,    0
    50,   177,19020623,  166,    0
    50,   177,19020624,  173,    0
    50,   177,19020625,  164,    0
    50,   177,19020626,  184,    0
    50,   177,19020627,  211,    0
    50,   177,19020628,  221,    0
    50,   177,19020629,  216,    0
    50,   177,19020630,  235,    0
    50,   177,19020701,  207,    0
    50,   177,19020702,  157,    0
    50,   177,19020703,  141,    0
    50,   177,19020704,  182,    0
    50,   177,19020705,  206,    0
    50,   177,19020706,  190,    0
    50,   177,19020707,  220,    0
    50,   177,19020708,  224,    0
    50,   177,19020709,  238,    0
    50,   177,19020710,  187,    0
    50,   177,19020711,  136,    0
    50,   177,19020712,  126,    0
    50,   177,19020713,  159,    0
    50,   177,19020714,  211,    0
    50,   177,19020715,  245,    0
