EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MUENSTER, GERMANY (STAID: 53)
Blended and updated with sources:26336 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    53, 26336,18910101,  -94,    0
    53, 26336,18910102,  -74,    0
    53, 26336,18910103,  -73,    0
    53, 26336,18910104,    6,    0
    53, 26336,18910105,  -40,    0
    53, 26336,18910106,  -65,    0
    53, 26336,18910107,  -60,    0
    53, 26336,18910108,  -68,    0
    53, 26336,18910109,  -90,    0
    53, 26336,18910110, -148,    0
    53, 26336,18910111, -104,    0
    53, 26336,18910112,    2,    0
    53, 26336,18910113,   -6,    0
    53, 26336,18910114,    2,    0
    53, 26336,18910115,  -67,    0
    53, 26336,18910116, -119,    0
    53, 26336,18910117,  -92,    0
    53, 26336,18910118,  -54,    0
    53, 26336,18910119,  -52,    0
    53, 26336,18910120,  -37,    0
    53, 26336,18910121,  -21,    0
    53, 26336,18910122,  -26,    0
    53, 26336,18910123,   12,    0
    53, 26336,18910124,   44,    0
    53, 26336,18910125,   16,    0
    53, 26336,18910126,   15,    0
    53, 26336,18910127,   22,    0
    53, 26336,18910128,   49,    0
    53, 26336,18910129,   40,    0
    53, 26336,18910130,   36,    0
    53, 26336,18910131,   44,    0
    53, 26336,18910201,   34,    0
    53, 26336,18910202,    8,    0
    53, 26336,18910203,   26,    0
    53, 26336,18910204,   11,    0
    53, 26336,18910205,  -13,    0
    53, 26336,18910206,    6,    0
    53, 26336,18910207,   -6,    0
    53, 26336,18910208,  -22,    0
    53, 26336,18910209,    0,    0
    53, 26336,18910210,  -30,    0
    53, 26336,18910211,    6,    0
    53, 26336,18910212,    8,    0
    53, 26336,18910213,  -10,    0
    53, 26336,18910214,  -12,    0
    53, 26336,18910215,    8,    0
    53, 26336,18910216,    8,    0
    53, 26336,18910217,    6,    0
