EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POTSDAM, GERMANY (STAID: 54)
Blended and updated with sources:197 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    54,   197,18930101, -106,    0
    54,   197,18930102, -129,    0
    54,   197,18930103, -120,    0
    54,   197,18930104,  -55,    0
    54,   197,18930105,  -62,    0
    54,   197,18930106, -139,    0
    54,   197,18930107, -152,    0
    54,   197,18930108, -112,    0
    54,   197,18930109,  -55,    0
    54,   197,18930110,  -46,    0
    54,   197,18930111, -115,    0
    54,   197,18930112, -126,    0
    54,   197,18930113,  -81,    0
    54,   197,18930114, -110,    0
    54,   197,18930115, -146,    0
    54,   197,18930116, -111,    0
    54,   197,18930117, -175,    0
    54,   197,18930118, -192,    0
    54,   197,18930119, -184,    0
    54,   197,18930120,  -78,    0
    54,   197,18930121,  -40,    0
    54,   197,18930122,  -72,    0
    54,   197,18930123, -104,    0
    54,   197,18930124,  -34,    0
    54,   197,18930125,   21,    0
    54,   197,18930126,   -6,    0
    54,   197,18930127,    0,    0
    54,   197,18930128,  -27,    0
    54,   197,18930129,  -36,    0
    54,   197,18930130,   10,    0
    54,   197,18930131,   42,    0
    54,   197,18930201,   28,    0
    54,   197,18930202,   14,    0
    54,   197,18930203,  -30,    0
    54,   197,18930204,  -84,    0
    54,   197,18930205,  -59,    0
    54,   197,18930206,  -33,    0
    54,   197,18930207,    0,    0
    54,   197,18930208,   32,    0
    54,   197,18930209,   10,    0
    54,   197,18930210,   20,    0
    54,   197,18930211,   37,    0
    54,   197,18930212,   18,    0
    54,   197,18930213,    1,    0
    54,   197,18930214,   44,    0
    54,   197,18930215,   68,    0
    54,   197,18930216,   73,    0
    54,   197,18930217,   42,    0
    54,   197,18930218,   32,    0
    54,   197,18930219,   70,    0
    54,   197,18930220,   70,    0
    54,   197,18930221,   54,    0
    54,   197,18930222,    8,    0
    54,   197,18930223,  -60,    0
    54,   197,18930224,  -42,    0
    54,   197,18930225,   22,    0
    54,   197,18930226,   31,    0
    54,   197,18930227,   65,    0
    54,   197,18930228,   77,    0
    54,   197,18930301,   45,    0
    54,   197,18930302,   72,    0
    54,   197,18930303,    9,    0
    54,   197,18930304,   -1,    0
    54,   197,18930305,   55,    0
    54,   197,18930306,   30,    0
    54,   197,18930307,   40,    0
    54,   197,18930308,   46,    0
    54,   197,18930309,   36,    0
    54,   197,18930310,   39,    0
    54,   197,18930311,   21,    0
