EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHWERIN, GERMANY (STAID: 55)
Blended and updated with sources:202 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    55,   202,18900101,  -46,    0
    55,   202,18900102,  -50,    0
    55,   202,18900103,  -22,    0
    55,   202,18900104,   21,    0
    55,   202,18900105,   36,    0
    55,   202,18900106,   66,    0
    55,   202,18900107,   65,    0
    55,   202,18900108,   35,    0
    55,   202,18900109,   16,    0
    55,   202,18900110,   51,    0
    55,   202,18900111,   17,    0
    55,   202,18900112,   28,    0
    55,   202,18900113,   26,    0
    55,   202,18900114,   29,    0
    55,   202,18900115,   42,    0
    55,   202,18900116,   32,    0
    55,   202,18900117,   44,    0
    55,   202,18900118,   25,    0
    55,   202,18900119,   56,    0
    55,   202,18900120,   30,    0
    55,   202,18900121,   17,    0
    55,   202,18900122,   22,    0
    55,   202,18900123,   18,    0
    55,   202,18900124,   11,    0
    55,   202,18900125,   53,    0
    55,   202,18900126,   60,    0
    55,   202,18900127,   54,    0
    55,   202,18900128,   26,    0
    55,   202,18900129,    0,    0
    55,   202,18900130,   -2,    0
    55,   202,18900131,  -28,    0
    55,   202,18900201,  -19,    0
    55,   202,18900202,   -8,    0
    55,   202,18900203,   10,    0
    55,   202,18900204,  -12,    0
    55,   202,18900205,  -24,    0
    55,   202,18900206,    2,    0
    55,   202,18900207,  -16,    0
    55,   202,18900208,   -4,    0
    55,   202,18900209,  -25,    0
    55,   202,18900210,  -28,    0
    55,   202,18900211,  -11,    0
    55,   202,18900212,  -14,    0
    55,   202,18900213,  -25,    0
    55,   202,18900214,  -15,    0
    55,   202,18900215,  -28,    0
    55,   202,18900216,  -22,    0
    55,   202,18900217,   -1,    0
    55,   202,18900218,  -14,    0
    55,   202,18900219,  -11,    0
    55,   202,18900220,  -40,    0
    55,   202,18900221,   -9,    0
    55,   202,18900222,    1,    0
    55,   202,18900223,  -10,    0
    55,   202,18900224,    4,    0
    55,   202,18900225,    0,    0
    55,   202,18900226,  -12,    0
    55,   202,18900227,  -35,    0
    55,   202,18900228,  -73,    0
    55,   202,18900301,  -82,    0
    55,   202,18900302,  -84,    0
    55,   202,18900303,  -64,    0
    55,   202,18900304,  -73,    0
    55,   202,18900305,  -24,    0
    55,   202,18900306,    3,    0
    55,   202,18900307,   24,    0
    55,   202,18900308,   43,    0
    55,   202,18900309,   24,    0
    55,   202,18900310,   10,    0
    55,   202,18900311,   64,    0
    55,   202,18900312,   90,    0
    55,   202,18900313,   81,    0
    55,   202,18900314,   67,    0
    55,   202,18900315,   74,    0
    55,   202,18900316,   76,    0
    55,   202,18900317,   90,    0
    55,   202,18900318,   52,    0
    55,   202,18900319,  117,    0
    55,   202,18900320,   94,    0
    55,   202,18900321,   65,    0
    55,   202,18900322,   59,    0
    55,   202,18900323,   59,    0
