EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZUGSPITZE, GERMANY (STAID: 58)
Blended and updated with sources:217 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    58,   217,19000801,   36,    0
    58,   217,19000802,   52,    0
    58,   217,19000803,   37,    0
    58,   217,19000804,   -3,    0
    58,   217,19000805,  -40,    0
    58,   217,19000806,  -10,    0
    58,   217,19000807,   41,    0
    58,   217,19000808,   -8,    0
    58,   217,19000809,   14,    0
    58,   217,19000810,    6,    0
    58,   217,19000811,  -39,    0
    58,   217,19000812,  -34,    0
    58,   217,19000813,   -8,    0
    58,   217,19000814,    9,    0
    58,   217,19000815,   -4,    0
    58,   217,19000816,   26,    0
    58,   217,19000817,   47,    0
    58,   217,19000818,   43,    0
    58,   217,19000819,   44,    0
    58,   217,19000820,   36,    0
    58,   217,19000821,   46,    0
    58,   217,19000822,   44,    0
    58,   217,19000823,   54,    0
    58,   217,19000824,   50,    0
    58,   217,19000825,   23,    0
    58,   217,19000826,   49,    0
    58,   217,19000827,   41,    0
    58,   217,19000828,    8,    0
    58,   217,19000829,  -11,    0
    58,   217,19000830,    4,    0
    58,   217,19000831,    3,    0
    58,   217,19000901,   25,    0
    58,   217,19000902,   28,    0
    58,   217,19000903,  -30,    0
    58,   217,19000904,    1,    0
    58,   217,19000905,   -4,    0
    58,   217,19000906,   -2,    0
    58,   217,19000907,   25,    0
    58,   217,19000908,   25,    0
    58,   217,19000909,   -1,    0
    58,   217,19000910,   -1,    0
    58,   217,19000911,  -24,    0
    58,   217,19000912,  -42,    0
    58,   217,19000913,    7,    0
    58,   217,19000914,   45,    0
    58,   217,19000915,   40,    0
    58,   217,19000916,   33,    0
    58,   217,19000917,   53,    0
    58,   217,19000918,   28,    0
    58,   217,19000919,   42,    0
    58,   217,19000920,   41,    0
    58,   217,19000921,   42,    0
    58,   217,19000922,   33,    0
    58,   217,19000923,   38,    0
    58,   217,19000924,   28,    0
    58,   217,19000925,   45,    0
    58,   217,19000926,   27,    0
    58,   217,19000927,   37,    0
    58,   217,19000928,   36,    0
    58,   217,19000929,   37,    0
    58,   217,19000930,   29,    0
    58,   217,19001001,   26,    0
    58,   217,19001002,   36,    0
    58,   217,19001003,    8,    0
    58,   217,19001004,    1,    0
    58,   217,19001005,   12,    0
    58,   217,19001006,    6,    0
    58,   217,19001007,   10,    0
    58,   217,19001008,   34,    0
    58,   217,19001009,   56,    0
    58,   217,19001010,   30,    0
    58,   217,19001011,  -50,    0
    58,   217,19001012,  -12,    0
    58,   217,19001013,  -12,    0
    58,   217,19001014,  -29,    0
    58,   217,19001015, -114,    0
    58,   217,19001016, -117,    0
    58,   217,19001017,  -46,    0
    58,   217,19001018,  -54,    0
    58,   217,19001019,  -62,    0
    58,   217,19001020,  -50,    0
    58,   217,19001021,  -67,    0
    58,   217,19001022,  -55,    0
    58,   217,19001023,  -44,    0
    58,   217,19001024,  -58,    0
    58,   217,19001025,  -31,    0
    58,   217,19001026,  -36,    0
    58,   217,19001027,  -95,    0
    58,   217,19001028, -108,    0
    58,   217,19001029,  -44,    0
    58,   217,19001030,  -47,    0
    58,   217,19001031,  -26,    0
    58,   217,19001101,   -5,    0
    58,   217,19001102,  -38,    0
    58,   217,19001103,  -20,    0
    58,   217,19001104,  -87,    0
    58,   217,19001105,  -69,    0
    58,   217,19001106,   -2,    0
    58,   217,19001107,  -15,    0
    58,   217,19001108,  -15,    0
