EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORFU, GREECE (STAID: 59)
Blended and updated with sources:222 916641 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    59,   222,19550101,   77,    0
    59,   222,19550102,  106,    0
    59,   222,19550103,  143,    0
    59,   222,19550104,  144,    0
    59,   222,19550105,  131,    0
    59,   222,19550106,  121,    0
    59,   222,19550107,  137,    0
    59,   222,19550108,  141,    0
    59,   222,19550109,  103,    0
    59,   222,19550110,   98,    0
    59,   222,19550111,   89,    0
    59,   222,19550112,  127,    0
    59,   222,19550113,  148,    0
    59,   222,19550114,  151,    0
    59,   222,19550115,  145,    0
    59,   222,19550116,  141,    0
    59,   222,19550117,  146,    0
    59,   222,19550118,  148,    0
    59,   222,19550119,  143,    0
    59,   222,19550120,  131,    0
    59,   222,19550121,  132,    0
    59,   222,19550122,  119,    0
    59,   222,19550123,  121,    0
    59,   222,19550124,  130,    0
    59,   222,19550125,  118,    0
    59,   222,19550126,  124,    0
    59,   222,19550127,  104,    0
    59,   222,19550128,  123,    0
    59,   222,19550129,  127,    0
    59,   222,19550130,  111,    0
    59,   222,19550131,  117,    0
    59,   222,19550201,  151,    0
    59,   222,19550202,  134,    0
    59,   222,19550203,  105,    0
    59,   222,19550204,  121,    0
    59,   222,19550205,  129,    0
    59,   222,19550206,  123,    0
    59,   222,19550207,  145,    0
    59,   222,19550208,  141,    0
    59,   222,19550209,  113,    0
    59,   222,19550210,  112,    0
    59,   222,19550211,  125,    0
    59,   222,19550212,   99,    0
    59,   222,19550213,  123,    0
    59,   222,19550214,  153,    0
    59,   222,19550215,   64,    0
    59,   222,19550216,  101,    0
    59,   222,19550217,  164,    0
    59,   222,19550218,  165,    0
    59,   222,19550219,  157,    0
    59,   222,19550220,  140,    0
    59,   222,19550221,   81,    0
    59,   222,19550222,   90,    0
    59,   222,19550223,  129,    0
    59,   222,19550224,  156,    0
    59,   222,19550225,  169,    0
    59,   222,19550226,  141,    0
    59,   222,19550227,  115,    0
    59,   222,19550228,  129,    0
    59,   222,19550301,  121,    0
    59,   222,19550302,  119,    0
    59,   222,19550303,   97,    0
    59,   222,19550304,   49,    0
    59,   222,19550305,   50,    0
    59,   222,19550306,  101,    0
    59,   222,19550307,  118,    0
    59,   222,19550308,  135,    0
    59,   222,19550309,  132,    0
    59,   222,19550310,  106,    0
    59,   222,19550311,  101,    0
    59,   222,19550312,  108,    0
    59,   222,19550313,  119,    0
    59,   222,19550314,  103,    0
    59,   222,19550315,  101,    0
    59,   222,19550316,   99,    0
    59,   222,19550317,   78,    0
    59,   222,19550318,  118,    0
    59,   222,19550319,  121,    0
    59,   222,19550320,  133,    0
    59,   222,19550321,  124,    0
    59,   222,19550322,  136,    0
    59,   222,19550323,  148,    0
    59,   222,19550324,  150,    0
    59,   222,19550325,  146,    0
    59,   222,19550326,  141,    0
    59,   222,19550327,  144,    0
    59,   222,19550328,  165,    0
    59,   222,19550329,  165,    0
    59,   222,19550330,  188,    0
    59,   222,19550331,  190,    0
    59,   222,19550401,  167,    0
    59,   222,19550402,  160,    0
    59,   222,19550403,  137,    0
    59,   222,19550404,  119,    0
    59,   222,19550405,  136,    0
    59,   222,19550406,  125,    0
    59,   222,19550407,  118,    0
    59,   222,19550408,  119,    0
    59,   222,19550409,  129,    0
    59,   222,19550410,  139,    0
    59,   222,19550411,  148,    0
    59,   222,19550412,  142,    0
    59,   222,19550413,  156,    0
    59,   222,19550414,  129,    0
    59,   222,19550415,  119,    0
    59,   222,19550416,  104,    0
    59,   222,19550417,  116,    0
    59,   222,19550418,  124,    0
    59,   222,19550419,  106,    0
    59,   222,19550420,  101,    0
    59,   222,19550421,  111,    0
    59,   222,19550422,  128,    0
    59,   222,19550423,  149,    0
    59,   222,19550424,  151,    0
    59,   222,19550425,  149,    0
    59,   222,19550426,  153,    0
    59,   222,19550427,  156,    0
    59,   222,19550428,  175,    0
    59,   222,19550429,  180,    0
    59,   222,19550430,  173,    0
    59,   222,19550501,  170,    0
    59,   222,19550502,  178,    0
    59,   222,19550503,  186,    0
    59,   222,19550504,  191,    0
    59,   222,19550505,  194,    0
    59,   222,19550506,  205,    0
    59,   222,19550507,  194,    0
    59,   222,19550508,  185,    0
    59,   222,19550509,  198,    0
    59,   222,19550510,  207,    0
    59,   222,19550511,  202,    0
    59,   222,19550512,  206,    0
    59,   222,19550513,  202,    0
    59,   222,19550514,  197,    0
    59,   222,19550515,  194,    0
    59,   222,19550516,  208,    0
    59,   222,19550517,  220,    0
    59,   222,19550518,  226,    0
    59,   222,19550519,  221,    0
    59,   222,19550520,  223,    0
    59,   222,19550521,  225,    0
    59,   222,19550522,  229,    0
    59,   222,19550523,  185,    0
    59,   222,19550524,  195,    0
    59,   222,19550525,  203,    0
    59,   222,19550526,  230,    0
    59,   222,19550527,  243,    0
    59,   222,19550528,  227,    0
    59,   222,19550529,  224,    0
    59,   222,19550530,  221,    0
    59,   222,19550531,  218,    0
    59,   222,19550601,  210,    0
    59,   222,19550602,  216,    0
    59,   222,19550603,  233,    0
    59,   222,19550604,  243,    0
    59,   222,19550605,  243,    0
    59,   222,19550606,  249,    0
    59,   222,19550607,  254,    0
    59,   222,19550608,  251,    0
    59,   222,19550609,  249,    0
    59,   222,19550610,  261,    0
    59,   222,19550611,  255,    0
    59,   222,19550612,  215,    0
    59,   222,19550613,  218,    0
    59,   222,19550614,  224,    0
    59,   222,19550615,  210,    0
    59,   222,19550616,  226,    0
    59,   222,19550617,  235,    0
    59,   222,19550618,  238,    0
    59,   222,19550619,  245,    0
    59,   222,19550620,  270,    0
    59,   222,19550621,  278,    0
    59,   222,19550622,  279,    0
    59,   222,19550623,  255,    0
    59,   222,19550624,  244,    0
    59,   222,19550625,  251,    0
    59,   222,19550626,  246,    0
    59,   222,19550627,  252,    0
    59,   222,19550628,  249,    0
    59,   222,19550629,  245,    0
    59,   222,19550630,  244,    0
    59,   222,19550701,  258,    0
    59,   222,19550702,  270,    0
    59,   222,19550703,  270,    0
    59,   222,19550704,  260,    0
    59,   222,19550705,  271,    0
    59,   222,19550706,  267,    0
    59,   222,19550707,  226,    0
    59,   222,19550708,  225,    0
    59,   222,19550709,  240,    0
    59,   222,19550710,  239,    0
    59,   222,19550711,  255,    0
    59,   222,19550712,  258,    0
    59,   222,19550713,  269,    0
    59,   222,19550714,  275,    0
    59,   222,19550715,  262,    0
    59,   222,19550716,  261,    0
    59,   222,19550717,  267,    0
    59,   222,19550718,  280,    0
    59,   222,19550719,  283,    0
    59,   222,19550720,  278,    0
    59,   222,19550721,  284,    0
    59,   222,19550722,  319,    0
    59,   222,19550723,  301,    0
    59,   222,19550724,  274,    0
    59,   222,19550725,  273,    0
    59,   222,19550726,  261,    0
    59,   222,19550727,  269,    0
    59,   222,19550728,  285,    0
    59,   222,19550729,  277,    0
    59,   222,19550730,  248,    0
    59,   222,19550731,  251,    0
    59,   222,19550801,  261,    0
    59,   222,19550802,  259,    0
    59,   222,19550803,  260,    0
    59,   222,19550804,  243,    0
    59,   222,19550805,  253,    0
    59,   222,19550806,  257,    0
    59,   222,19550807,  246,    0
    59,   222,19550808,  226,    0
    59,   222,19550809,  240,    0
    59,   222,19550810,  235,    0
    59,   222,19550811,  232,    0
    59,   222,19550812,  237,    0
    59,   222,19550813,  244,    0
    59,   222,19550814,  256,    0
    59,   222,19550815,  271,    0
    59,   222,19550816,  228,    0
    59,   222,19550817,  228,    0
    59,   222,19550818,  230,    0
    59,   222,19550819,  244,    0
    59,   222,19550820,  242,    0
    59,   222,19550821,  245,    0
    59,   222,19550822,  246,    0
    59,   222,19550823,  255,    0
    59,   222,19550824,  256,    0
    59,   222,19550825,  251,    0
    59,   222,19550826,  248,    0
    59,   222,19550827,  247,    0
    59,   222,19550828,  264,    0
    59,   222,19550829,  264,    0
    59,   222,19550830,  280,    0
    59,   222,19550831,  258,    0
    59,   222,19550901,  244,    0
    59,   222,19550902,  234,    0
    59,   222,19550903,  242,    0
    59,   222,19550904,  248,    0
    59,   222,19550905,  236,    0
    59,   222,19550906,  234,    0
    59,   222,19550907,  239,    0
    59,   222,19550908,  238,    0
    59,   222,19550909,  234,    0
    59,   222,19550910,  235,    0
    59,   222,19550911,  203,    0
    59,   222,19550912,  242,    0
    59,   222,19550913,  219,    0
    59,   222,19550914,  226,    0
    59,   222,19550915,  229,    0
    59,   222,19550916,  215,    0
    59,   222,19550917,  192,    0
    59,   222,19550918,  214,    0
    59,   222,19550919,  194,    0
    59,   222,19550920,  204,    0
    59,   222,19550921,  202,    0
    59,   222,19550922,  214,    0
    59,   222,19550923,  196,    0
    59,   222,19550924,  216,    0
    59,   222,19550925,  229,    0
    59,   222,19550926,  218,    0
    59,   222,19550927,  211,    0
    59,   222,19550928,  201,    0
    59,   222,19550929,  195,    0
    59,   222,19550930,  205,    0
    59,   222,19551001,  190,    0
    59,   222,19551002,  193,    0
    59,   222,19551003,  183,    0
    59,   222,19551004,  179,    0
    59,   222,19551005,  186,    0
    59,   222,19551006,  191,    0
    59,   222,19551007,  191,    0
    59,   222,19551008,  189,    0
    59,   222,19551009,  199,    0
    59,   222,19551010,  210,    0
    59,   222,19551011,  173,    0
    59,   222,19551012,  179,    0
    59,   222,19551013,  172,    0
    59,   222,19551014,  190,    0
    59,   222,19551015,  178,    0
    59,   222,19551016,  162,    0
    59,   222,19551017,  203,    0
    59,   222,19551018,  225,    0
    59,   222,19551019,  228,    0
    59,   222,19551020,  210,    0
    59,   222,19551021,  221,    0
    59,   222,19551022,  228,    0
    59,   222,19551023,  200,    0
    59,   222,19551024,  228,    0
    59,   222,19551025,  182,    0
    59,   222,19551026,  150,    0
    59,   222,19551027,  142,    0
    59,   222,19551028,  143,    0
    59,   222,19551029,  173,    0
    59,   222,19551030,  173,    0
    59,   222,19551031,  195,    0
    59,   222,19551101,  213,    0
    59,   222,19551102,  199,    0
    59,   222,19551103,  182,    0
    59,   222,19551104,  161,    0
    59,   222,19551105,  153,    0
    59,   222,19551106,  161,    0
    59,   222,19551107,  159,    0
    59,   222,19551108,  163,    0
    59,   222,19551109,  161,    0
    59,   222,19551110,  149,    0
    59,   222,19551111,  165,    0
    59,   222,19551112,  166,    0
    59,   222,19551113,  177,    0
    59,   222,19551114,  161,    0
    59,   222,19551115,  149,    0
    59,   222,19551116,  131,    0
    59,   222,19551117,  165,    0
    59,   222,19551118,  134,    0
    59,   222,19551119,  126,    0
    59,   222,19551120,  149,    0
    59,   222,19551121,  115,    0
    59,   222,19551122,  114,    0
    59,   222,19551123,   78,    0
    59,   222,19551124,  130,    0
    59,   222,19551125,  153,    0
    59,   222,19551126,   95,    0
    59,   222,19551127,   80,    0
    59,   222,19551128,   67,    0
    59,   222,19551129,   64,    0
    59,   222,19551130,  110,    0
    59,   222,19551201,  137,    0
