EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HERAKLION, GREECE (STAID: 61)
Blended and updated with sources:232 916754 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    61,   232,19550101,  131,    0
    61,   232,19550102,  126,    0
    61,   232,19550103,  118,    0
    61,   232,19550104,  136,    0
    61,   232,19550105,  139,    0
    61,   232,19550106,  146,    0
    61,   232,19550107,  149,    0
    61,   232,19550108,  157,    0
    61,   232,19550109,  148,    0
    61,   232,19550110,  125,    0
    61,   232,19550111,  129,    0
    61,   232,19550112,  131,    0
    61,   232,19550113,  145,    0
    61,   232,19550114,  154,    0
    61,   232,19550115,  165,    0
    61,   232,19550116,  138,    0
    61,   232,19550117,  149,    0
    61,   232,19550118,  156,    0
    61,   232,19550119,  153,    0
    61,   232,19550120,  149,    0
    61,   232,19550121,  133,    0
    61,   232,19550122,  120,    0
    61,   232,19550123,  137,    0
    61,   232,19550124,  135,    0
    61,   232,19550125,  127,    0
    61,   232,19550126,  125,    0
    61,   232,19550127,  124,    0
    61,   232,19550128,  136,    0
    61,   232,19550129,  139,    0
    61,   232,19550130,  126,    0
    61,   232,19550131,  136,    0
    61,   232,19550201,  136,    0
    61,   232,19550202,  152,    0
    61,   232,19550203,  137,    0
    61,   232,19550204,  124,    0
    61,   232,19550205,  136,    0
    61,   232,19550206,  132,    0
    61,   232,19550207,  143,    0
    61,   232,19550208,  141,    0
    61,   232,19550209,  136,    0
    61,   232,19550210,  161,    0
    61,   232,19550211,  146,    0
    61,   232,19550212,  128,    0
    61,   232,19550213,  157,    0
    61,   232,19550214,  165,    0
    61,   232,19550215,  133,    0
    61,   232,19550216,   98,    0
    61,   232,19550217,  177,    0
    61,   232,19550218,  205,    0
    61,   232,19550219,  183,    0
    61,   232,19550220,  189,    0
    61,   232,19550221,  136,    0
