EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LARISSA, GREECE (STAID: 62)
Blended and updated with sources:237 916648 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    62,   237,19550101,   61,    0
    62,   237,19550102,   62,    0
    62,   237,19550103,   78,    0
    62,   237,19550104,   95,    0
    62,   237,19550105,   98,    0
    62,   237,19550106,   93,    0
    62,   237,19550107,  108,    0
    62,   237,19550108,  121,    0
    62,   237,19550109,  106,    0
    62,   237,19550110,  100,    0
    62,   237,19550111,   83,    0
    62,   237,19550112,   79,    0
    62,   237,19550113,  113,    0
    62,   237,19550114,  104,    0
    62,   237,19550115,  155,    0
    62,   237,19550116,   99,    0
    62,   237,19550117,  111,    0
    62,   237,19550118,  132,    0
    62,   237,19550119,  130,    0
    62,   237,19550120,   88,    0
    62,   237,19550121,   79,    0
    62,   237,19550122,   78,    0
    62,   237,19550123,   80,    0
    62,   237,19550124,   81,    0
    62,   237,19550125,   74,    0
    62,   237,19550126,   80,    0
    62,   237,19550127,   79,    0
    62,   237,19550128,   89,    0
    62,   237,19550129,  101,    0
    62,   237,19550130,   93,    0
    62,   237,19550131,  109,    0
    62,   237,19550201,  116,    0
    62,   237,19550202,  113,    0
    62,   237,19550203,  106,    0
    62,   237,19550204,   82,    0
    62,   237,19550205,  104,    0
    62,   237,19550206,   96,    0
    62,   237,19550207,  122,    0
    62,   237,19550208,  111,    0
    62,   237,19550209,  111,    0
    62,   237,19550210,  104,    0
    62,   237,19550211,  106,    0
    62,   237,19550212,   73,    0
    62,   237,19550213,   94,    0
    62,   237,19550214,  125,    0
    62,   237,19550215,   55,    0
    62,   237,19550216,   56,    0
    62,   237,19550217,  128,    0
    62,   237,19550218,  165,    0
    62,   237,19550219,  134,    0
    62,   237,19550220,  108,    0
    62,   237,19550221,   76,    0
    62,   237,19550222,   85,    0
    62,   237,19550223,   64,    0
    62,   237,19550224,  119,    0
    62,   237,19550225,  121,    0
    62,   237,19550226,  161,    0
    62,   237,19550227,  106,    0
    62,   237,19550228,  108,    0
    62,   237,19550301,   96,    0
    62,   237,19550302,   71,    0
    62,   237,19550303,   31,    0
    62,   237,19550304,    3,    0
    62,   237,19550305,   -8,    0
    62,   237,19550306,   12,    0
    62,   237,19550307,   49,    0
    62,   237,19550308,   74,    0
    62,   237,19550309,  102,    0
    62,   237,19550310,  112,    0
    62,   237,19550311,  111,    0
    62,   237,19550312,   80,    0
    62,   237,19550313,   69,    0
    62,   237,19550314,   69,    0
    62,   237,19550315,   70,    0
    62,   237,19550316,   51,    0
    62,   237,19550317,   53,    0
    62,   237,19550318,   84,    0
    62,   237,19550319,  102,    0
    62,   237,19550320,  108,    0
    62,   237,19550321,  112,    0
    62,   237,19550322,  129,    0
    62,   237,19550323,  143,    0
    62,   237,19550324,  131,    0
    62,   237,19550325,  144,    0
    62,   237,19550326,  163,    0
    62,   237,19550327,  169,    0
    62,   237,19550328,  184,    0
    62,   237,19550329,  198,    0
    62,   237,19550330,  186,    0
    62,   237,19550331,  141,    0
    62,   237,19550401,  158,    0
    62,   237,19550402,  125,    0
    62,   237,19550403,   92,    0
    62,   237,19550404,   93,    0
    62,   237,19550405,   93,    0
    62,   237,19550406,  101,    0
    62,   237,19550407,   88,    0
    62,   237,19550408,   88,    0
    62,   237,19550409,  136,    0
    62,   237,19550410,  137,    0
    62,   237,19550411,  137,    0
    62,   237,19550412,  127,    0
    62,   237,19550413,  111,    0
    62,   237,19550414,   93,    0
    62,   237,19550415,  106,    0
    62,   237,19550416,  115,    0
    62,   237,19550417,  116,    0
    62,   237,19550418,  112,    0
    62,   237,19550419,   71,    0
    62,   237,19550420,   81,    0
    62,   237,19550421,   93,    0
    62,   237,19550422,  116,    0
    62,   237,19550423,  115,    0
    62,   237,19550424,  129,    0
    62,   237,19550425,  108,    0
    62,   237,19550426,  121,    0
    62,   237,19550427,  116,    0
    62,   237,19550428,  125,    0
    62,   237,19550429,  125,    0
    62,   237,19550430,  144,    0
    62,   237,19550501,  160,    0
    62,   237,19550502,  168,    0
    62,   237,19550503,  189,    0
    62,   237,19550504,  195,    0
    62,   237,19550505,  197,    0
    62,   237,19550506,  203,    0
    62,   237,19550507,  214,    0
    62,   237,19550508,  210,    0
    62,   237,19550509,  183,    0
    62,   237,19550510,  183,    0
    62,   237,19550511,  201,    0
    62,   237,19550512,  211,    0
    62,   237,19550513,  205,    0
    62,   237,19550514,  185,    0
    62,   237,19550515,  200,    0
    62,   237,19550516,  227,    0
    62,   237,19550517,  211,    0
    62,   237,19550518,  216,    0
    62,   237,19550519,  252,    0
    62,   237,19550520,  221,    0
    62,   237,19550521,  212,    0
    62,   237,19550522,  263,    0
    62,   237,19550523,  172,    0
    62,   237,19550524,  165,    0
    62,   237,19550525,  178,    0
    62,   237,19550526,  211,    0
    62,   237,19550527,  245,    0
    62,   237,19550528,  283,    0
    62,   237,19550529,  286,    0
    62,   237,19550530,  249,    0
    62,   237,19550531,  202,    0
    62,   237,19550601,  184,    0
    62,   237,19550602,  201,    0
    62,   237,19550603,  229,    0
    62,   237,19550604,  251,    0
    62,   237,19550605,  240,    0
    62,   237,19550606,  224,    0
    62,   237,19550607,  233,    0
    62,   237,19550608,  249,    0
    62,   237,19550609,  312,    0
    62,   237,19550610,  309,    0
    62,   237,19550611,  291,    0
    62,   237,19550612,  257,    0
    62,   237,19550613,  221,    0
    62,   237,19550614,  236,    0
    62,   237,19550615,  213,    0
    62,   237,19550616,  216,    0
    62,   237,19550617,  244,    0
    62,   237,19550618,  266,    0
    62,   237,19550619,  277,    0
    62,   237,19550620,  270,    0
    62,   237,19550621,  280,    0
    62,   237,19550622,  306,    0
    62,   237,19550623,  290,    0
    62,   237,19550624,  236,    0
    62,   237,19550625,  213,    0
    62,   237,19550626,  258,    0
    62,   237,19550627,  280,    0
    62,   237,19550628,  293,    0
    62,   237,19550629,  276,    0
    62,   237,19550630,  240,    0
    62,   237,19550701,  265,    0
    62,   237,19550702,  279,    0
    62,   237,19550703,  276,    0
    62,   237,19550704,  282,    0
    62,   237,19550705,  300,    0
    62,   237,19550706,  309,    0
    62,   237,19550707,  280,    0
    62,   237,19550708,  262,    0
    62,   237,19550709,  227,    0
    62,   237,19550710,  257,    0
    62,   237,19550711,  284,    0
    62,   237,19550712,  301,    0
    62,   237,19550713,  295,    0
    62,   237,19550714,  250,    0
    62,   237,19550715,  229,    0
    62,   237,19550716,  249,    0
    62,   237,19550717,  261,    0
    62,   237,19550718,  275,    0
    62,   237,19550719,  281,    0
    62,   237,19550720,  290,    0
    62,   237,19550721,  320,    0
    62,   237,19550722,  320,    0
    62,   237,19550723,  300,    0
    62,   237,19550724,  259,    0
    62,   237,19550725,  269,    0
    62,   237,19550726,  286,    0
    62,   237,19550727,  347,    0
    62,   237,19550728,  323,    0
    62,   237,19550729,  343,    0
    62,   237,19550730,  277,    0
    62,   237,19550731,  265,    0
    62,   237,19550801,  270,    0
    62,   237,19550802,  284,    0
    62,   237,19550803,  318,    0
    62,   237,19550804,  283,    0
    62,   237,19550805,  284,    0
    62,   237,19550806,  274,    0
    62,   237,19550807,  265,    0
    62,   237,19550808,  255,    0
    62,   237,19550809,  279,    0
    62,   237,19550810,  256,    0
    62,   237,19550811,  244,    0
    62,   237,19550812,  263,    0
    62,   237,19550813,  272,    0
    62,   237,19550814,  289,    0
    62,   237,19550815,  273,    0
    62,   237,19550816,  213,    0
    62,   237,19550817,  208,    0
    62,   237,19550818,  206,    0
    62,   237,19550819,  230,    0
    62,   237,19550820,  233,    0
    62,   237,19550821,  233,    0
    62,   237,19550822,  246,    0
    62,   237,19550823,  254,    0
    62,   237,19550824,  251,    0
    62,   237,19550825,  228,    0
    62,   237,19550826,  253,    0
    62,   237,19550827,  253,    0
    62,   237,19550828,  250,    0
    62,   237,19550829,  251,    0
    62,   237,19550830,  254,    0
    62,   237,19550831,  248,    0
    62,   237,19550901,  218,    0
    62,   237,19550902,  202,    0
    62,   237,19550903,  210,    0
    62,   237,19550904,  217,    0
    62,   237,19550905,  216,    0
    62,   237,19550906,  215,    0
    62,   237,19550907,  219,    0
    62,   237,19550908,  230,    0
    62,   237,19550909,  235,    0
    62,   237,19550910,  235,    0
    62,   237,19550911,  232,    0
    62,   237,19550912,  226,    0
    62,   237,19550913,  229,    0
    62,   237,19550914,  236,    0
    62,   237,19550915,  244,    0
    62,   237,19550916,  249,    0
    62,   237,19550917,  205,    0
    62,   237,19550918,  190,    0
    62,   237,19550919,  201,    0
    62,   237,19550920,  196,    0
    62,   237,19550921,  203,    0
    62,   237,19550922,  199,    0
    62,   237,19550923,  200,    0
    62,   237,19550924,  206,    0
    62,   237,19550925,  215,    0
    62,   237,19550926,  207,    0
    62,   237,19550927,  189,    0
    62,   237,19550928,  196,    0
    62,   237,19550929,  213,    0
    62,   237,19550930,  206,    0
    62,   237,19551001,  160,    0
    62,   237,19551002,  163,    0
    62,   237,19551003,  170,    0
    62,   237,19551004,  178,    0
    62,   237,19551005,  182,    0
    62,   237,19551006,  184,    0
    62,   237,19551007,  180,    0
    62,   237,19551008,  190,    0
