EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station METHONI, GREECE (STAID: 63)
Blended and updated with sources:242 916734 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    63,   242,19560101,  160,    0
    63,   242,19560102,  144,    0
    63,   242,19560103,  127,    0
    63,   242,19560104,  131,    0
    63,   242,19560105,   94,    0
    63,   242,19560106,   87,    0
    63,   242,19560107,  102,    0
    63,   242,19560108,  104,    0
    63,   242,19560109,  112,    0
    63,   242,19560110,  126,    0
    63,   242,19560111,  143,    0
    63,   242,19560112,  126,    0
    63,   242,19560113,  130,    0
    63,   242,19560114,  153,    0
    63,   242,19560115,  126,    0
    63,   242,19560116,  122,    0
    63,   242,19560117,  137,    0
    63,   242,19560118,  145,    0
    63,   242,19560119,  160,    0
    63,   242,19560120,  158,    0
    63,   242,19560121,  143,    0
    63,   242,19560122,  126,    0
    63,   242,19560123,  143,    0
    63,   242,19560124,  130,    0
    63,   242,19560125,  139,    0
    63,   242,19560126,  114,    0
    63,   242,19560127,   74,    0
    63,   242,19560128,   88,    0
    63,   242,19560129,   71,    0
    63,   242,19560130,   77,    0
    63,   242,19560131,  121,    0
    63,   242,19560201,  131,    0
    63,   242,19560202,   82,    0
    63,   242,19560203,  100,    0
    63,   242,19560204,   66,    0
    63,   242,19560205,   48,    0
    63,   242,19560206,   49,    0
    63,   242,19560207,   35,    0
    63,   242,19560208,   24,    0
    63,   242,19560209,   33,    0
    63,   242,19560210,  115,    0
    63,   242,19560211,  141,    0
    63,   242,19560212,  158,    0
    63,   242,19560213,  139,    0
    63,   242,19560214,  119,    0
    63,   242,19560215,  108,    0
    63,   242,19560216,  118,    0
    63,   242,19560217,  131,    0
    63,   242,19560218,  151,    0
    63,   242,19560219,  138,    0
    63,   242,19560220,  121,    0
    63,   242,19560221,  125,    0
    63,   242,19560222,   99,    0
    63,   242,19560223,  117,    0
    63,   242,19560224,  108,    0
    63,   242,19560225,  134,    0
    63,   242,19560226,  157,    0
    63,   242,19560227,  124,    0
    63,   242,19560228,  112,    0
    63,   242,19560229,  116,    0
    63,   242,19560301,  106,    0
    63,   242,19560302,  114,    0
    63,   242,19560303,  131,    0
    63,   242,19560304,  138,    0
    63,   242,19560305,  138,    0
    63,   242,19560306,  121,    0
    63,   242,19560307,   91,    0
