EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DALATANGI, ICELAND (STAID: 65)
Blended and updated with sources:249 904097 904197 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    65,   249,19490101,  -56,    0
    65,   249,19490102,  -89,    0
    65,   249,19490103,  -36,    0
    65,   249,19490104,   -9,    0
    65,   249,19490105,  -12,    0
    65,   249,19490106,  -76,    0
    65,   249,19490107,  -36,    0
    65,   249,19490108,  -25,    0
    65,   249,19490109,   84,    0
    65,   249,19490110,   10,    0
    65,   249,19490111,  -74,    0
    65,   249,19490112,  -48,    0
    65,   249,19490113,   26,    0
    65,   249,19490114,  -36,    0
    65,   249,19490115,  -19,    0
    65,   249,19490116,   13,    0
    65,   249,19490117,  -22,    0
    65,   249,19490118,   -9,    0
    65,   249,19490119,  -32,    0
    65,   249,19490120,  -11,    0
    65,   249,19490121,    9,    0
    65,   249,19490122,   41,    0
    65,   249,19490123,    2,    0
    65,   249,19490124,    1,    0
    65,   249,19490125,   46,    0
    65,   249,19490126,   25,    0
    65,   249,19490127,    4,    0
    65,   249,19490128,   28,    0
    65,   249,19490129,    5,    0
    65,   249,19490130,  -12,    0
    65,   249,19490131,   -1,    0
    65,   249,19490201,   52,    0
    65,   249,19490202,   55,    0
    65,   249,19490203,    9,    0
    65,   249,19490204,    7,    0
    65,   249,19490205,   51,    0
    65,   249,19490206,   54,    0
    65,   249,19490207,   28,    0
    65,   249,19490208,   32,    0
    65,   249,19490209,    5,    0
    65,   249,19490210,   13,    0
    65,   249,19490211,   29,    0
    65,   249,19490212,   33,    0
    65,   249,19490213,   25,    0
    65,   249,19490214,   14,    0
    65,   249,19490215,   18,    0
    65,   249,19490216,    1,    0
    65,   249,19490217,  -13,    0
    65,   249,19490218,   36,    0
    65,   249,19490219,   44,    0
    65,   249,19490220,   44,    0
    65,   249,19490221,   30,    0
    65,   249,19490222,   -6,    0
    65,   249,19490223,  -11,    0
    65,   249,19490224,  -18,    0
    65,   249,19490225,  -11,    0
    65,   249,19490226,  -13,    0
    65,   249,19490227,  -37,    0
    65,   249,19490228,  -48,    0
    65,   249,19490301,  -67,    0
    65,   249,19490302,  -10,    0
    65,   249,19490303,   38,    0
    65,   249,19490304,   55,    0
    65,   249,19490305,   43,    0
    65,   249,19490306,    0,    0
    65,   249,19490307,  -36,    0
    65,   249,19490308,  -41,    0
    65,   249,19490309,   28,    0
    65,   249,19490310,   17,    0
    65,   249,19490311,  -50,    0
    65,   249,19490312,  -55,    0
    65,   249,19490313,  -48,    0
    65,   249,19490314,  -50,    0
    65,   249,19490315,  -12,    0
    65,   249,19490316,   -8,    0
    65,   249,19490317,   -9,    0
    65,   249,19490318,  -12,    0
    65,   249,19490319,   22,    0
    65,   249,19490320,   25,    0
    65,   249,19490321,   20,    0
    65,   249,19490322,   18,    0
    65,   249,19490323,   19,    0
    65,   249,19490324,    4,    0
    65,   249,19490325,  -29,    0
    65,   249,19490326,   24,    0
    65,   249,19490327,   48,    0
    65,   249,19490328,   57,    0
    65,   249,19490329,   43,    0
    65,   249,19490330,  -41,    0
    65,   249,19490331,  -45,    0
    65,   249,19490401,  -16,    0
    65,   249,19490402,   -8,    0
    65,   249,19490403,  -16,    0
    65,   249,19490404,  -43,    0
    65,   249,19490405,  -51,    0
    65,   249,19490406,  -24,    0
    65,   249,19490407,  -65,    0
    65,   249,19490408,  -18,    0
    65,   249,19490409,   -7,    0
    65,   249,19490410,  -24,    0
    65,   249,19490411,   -5,    0
    65,   249,19490412,   17,    0
    65,   249,19490413,   21,    0
    65,   249,19490414,   20,    0
    65,   249,19490415,   31,    0
    65,   249,19490416,   37,    0
    65,   249,19490417,   31,    0
    65,   249,19490418,   20,    0
    65,   249,19490419,  -18,    0
    65,   249,19490420,  -20,    0
    65,   249,19490421,  -59,    0
    65,   249,19490422,  -30,    0
    65,   249,19490423,  -33,    0
    65,   249,19490424,  -36,    0
    65,   249,19490425,  -17,    0
    65,   249,19490426,  -11,    0
    65,   249,19490427,   10,    0
    65,   249,19490428,  -12,    0
    65,   249,19490429,    6,    0
    65,   249,19490430,   24,    0
    65,   249,19490501,    1,    0
    65,   249,19490502,   49,    0
    65,   249,19490503,   17,    0
    65,   249,19490504,   -7,    0
    65,   249,19490505,  -20,    0
    65,   249,19490506,  -27,    0
    65,   249,19490507,  -28,    0
    65,   249,19490508,    7,    0
    65,   249,19490509,   83,    0
    65,   249,19490510,   75,    0
    65,   249,19490511,   60,    0
    65,   249,19490512,   63,    0
    65,   249,19490513,   11,    0
    65,   249,19490514,  -11,    0
    65,   249,19490515,  -13,    0
    65,   249,19490516,  -14,    0
    65,   249,19490517,   -6,    0
    65,   249,19490518,    5,    0
    65,   249,19490519,   10,    0
    65,   249,19490520,   13,    0
    65,   249,19490521,   21,    0
    65,   249,19490522,   19,    0
    65,   249,19490523,    2,    0
    65,   249,19490524,   -2,    0
    65,   249,19490525,   -4,    0
    65,   249,19490526,   15,    0
    65,   249,19490527,   21,    0
    65,   249,19490528,   10,    0
    65,   249,19490529,   18,    0
    65,   249,19490530,   31,    0
    65,   249,19490531,   31,    0
    65,   249,19490601,   30,    0
    65,   249,19490602,   29,    0
    65,   249,19490603,   26,    0
    65,   249,19490604,   38,    0
    65,   249,19490605,   49,    0
    65,   249,19490606,   19,    0
    65,   249,19490607,   20,    0
    65,   249,19490608,   28,    0
    65,   249,19490609,   43,    0
    65,   249,19490610,   43,    0
    65,   249,19490611,   49,    0
    65,   249,19490612,   56,    0
    65,   249,19490613,   52,    0
    65,   249,19490614,   45,    0
    65,   249,19490615,   68,    0
    65,   249,19490616,   70,    0
    65,   249,19490617,   68,    0
    65,   249,19490618,   81,    0
    65,   249,19490619,  104,    0
    65,   249,19490620,   98,    0
    65,   249,19490621,  112,    0
    65,   249,19490622,   88,    0
    65,   249,19490623,   97,    0
    65,   249,19490624,  113,    0
    65,   249,19490625,   82,    0
    65,   249,19490626,   98,    0
    65,   249,19490627,   93,    0
    65,   249,19490628,  107,    0
    65,   249,19490629,   83,    0
    65,   249,19490630,   72,    0
    65,   249,19490701,  102,    0
    65,   249,19490702,   79,    0
    65,   249,19490703,   89,    0
    65,   249,19490704,   68,    0
    65,   249,19490705,   69,    0
    65,   249,19490706,   92,    0
    65,   249,19490707,  108,    0
    65,   249,19490708,  121,    0
    65,   249,19490709,  110,    0
    65,   249,19490710,  122,    0
    65,   249,19490711,  106,    0
    65,   249,19490712,   79,    0
    65,   249,19490713,   68,    0
    65,   249,19490714,   70,    0
    65,   249,19490715,   74,    0
    65,   249,19490716,   60,    0
    65,   249,19490717,   72,    0
    65,   249,19490718,   85,    0
    65,   249,19490719,   89,    0
    65,   249,19490720,   90,    0
    65,   249,19490721,   89,    0
    65,   249,19490722,  103,    0
    65,   249,19490723,  103,    0
    65,   249,19490724,   88,    0
    65,   249,19490725,   73,    0
    65,   249,19490726,   84,    0
    65,   249,19490727,   80,    0
    65,   249,19490728,   81,    0
    65,   249,19490729,   76,    0
    65,   249,19490730,   74,    0
    65,   249,19490731,   73,    0
    65,   249,19490801,   73,    0
    65,   249,19490802,   66,    0
    65,   249,19490803,   77,    0
    65,   249,19490804,   64,    0
    65,   249,19490805,   69,    0
    65,   249,19490806,   64,    0
    65,   249,19490807,   61,    0
    65,   249,19490808,   59,    0
    65,   249,19490809,   62,    0
    65,   249,19490810,   82,    0
    65,   249,19490811,   97,    0
    65,   249,19490812,   82,    0
    65,   249,19490813,   91,    0
    65,   249,19490814,   69,    0
    65,   249,19490815,   63,    0
    65,   249,19490816,   78,    0
    65,   249,19490817,   91,    0
    65,   249,19490818,  101,    0
    65,   249,19490819,  129,    0
    65,   249,19490820,  109,    0
    65,   249,19490821,   70,    0
    65,   249,19490822,   66,    0
    65,   249,19490823,   99,    0
    65,   249,19490824,  113,    0
    65,   249,19490825,  106,    0
    65,   249,19490826,   96,    0
    65,   249,19490827,  109,    0
    65,   249,19490828,   90,    0
    65,   249,19490829,   90,    0
    65,   249,19490830,   79,    0
    65,   249,19490831,   83,    0
    65,   249,19490901,   82,    0
    65,   249,19490902,   87,    0
    65,   249,19490903,   87,    0
    65,   249,19490904,   83,    0
    65,   249,19490905,   89,    0
    65,   249,19490906,   81,    0
    65,   249,19490907,   77,    0
    65,   249,19490908,   75,    0
    65,   249,19490909,   56,    0
    65,   249,19490910,   73,    0
    65,   249,19490911,   79,    0
    65,   249,19490912,  141,    0
    65,   249,19490913,  112,    0
    65,   249,19490914,   78,    0
    65,   249,19490915,   75,    0
    65,   249,19490916,   81,    0
    65,   249,19490917,   69,    0
    65,   249,19490918,   75,    0
    65,   249,19490919,  106,    0
    65,   249,19490920,  108,    0
    65,   249,19490921,   73,    0
    65,   249,19490922,  102,    0
    65,   249,19490923,   96,    0
    65,   249,19490924,   78,    0
    65,   249,19490925,   82,    0
    65,   249,19490926,  104,    0
    65,   249,19490927,   79,    0
    65,   249,19490928,   61,    0
    65,   249,19490929,   49,    0
    65,   249,19490930,   38,    0
    65,   249,19491001,   42,    0
    65,   249,19491002,   70,    0
    65,   249,19491003,   43,    0
    65,   249,19491004,   52,    0
    65,   249,19491005,   25,    0
    65,   249,19491006,   45,    0
    65,   249,19491007,   49,    0
    65,   249,19491008,   43,    0
    65,   249,19491009,   59,    0
    65,   249,19491010,   62,    0
    65,   249,19491011,   69,    0
    65,   249,19491012,   71,    0
    65,   249,19491013,   82,    0
    65,   249,19491014,   62,    0
    65,   249,19491015,   89,    0
    65,   249,19491016,   47,    0
    65,   249,19491017,   58,    0
    65,   249,19491018,   53,    0
    65,   249,19491019,   67,    0
    65,   249,19491020,   50,    0
    65,   249,19491021,   36,    0
    65,   249,19491022,    8,    0
    65,   249,19491023,  -14,    0
    65,   249,19491024,  -26,    0
    65,   249,19491025,  -13,    0
    65,   249,19491026,   -6,    0
    65,   249,19491027,   -4,    0
    65,   249,19491028,   36,    0
    65,   249,19491029,   58,    0
    65,   249,19491030,   64,    0
    65,   249,19491031,   53,    0
    65,   249,19491101,   59,    0
    65,   249,19491102,   50,    0
    65,   249,19491103,   60,    0
    65,   249,19491104,   51,    0
    65,   249,19491105,   32,    0
    65,   249,19491106,   29,    0
    65,   249,19491107,   -8,    0
    65,   249,19491108,    4,    0
    65,   249,19491109,    6,    0
    65,   249,19491110,   24,    0
    65,   249,19491111,   17,    0
    65,   249,19491112,   13,    0
    65,   249,19491113,  -15,    0
    65,   249,19491114,    2,    0
    65,   249,19491115,   70,    0
    65,   249,19491116,   70,    0
    65,   249,19491117,   61,    0
    65,   249,19491118,   55,    0
    65,   249,19491119,   49,    0
    65,   249,19491120,   51,    0
    65,   249,19491121,   49,    0
    65,   249,19491122,   47,    0
    65,   249,19491123,   47,    0
    65,   249,19491124,   40,    0
    65,   249,19491125,   25,    0
    65,   249,19491126,   21,    0
    65,   249,19491127,   32,    0
    65,   249,19491128,   74,    0
    65,   249,19491129,   41,    0
    65,   249,19491130,   18,    0
    65,   249,19491201,  -13,    0
    65,   249,19491202,   -8,    0
    65,   249,19491203,   -1,    0
    65,   249,19491204,  -10,    0
    65,   249,19491205,  -18,    0
    65,   249,19491206,  -22,    0
    65,   249,19491207,  -29,    0
    65,   249,19491208,  -59,    0
    65,   249,19491209,  -75,    0
    65,   249,19491210,    8,    0
    65,   249,19491211,   36,    0
    65,   249,19491212,   23,    0
    65,   249,19491213,   11,    0
    65,   249,19491214,   19,    0
    65,   249,19491215,   22,    0
    65,   249,19491216,   18,    0
    65,   249,19491217,   20,    0
    65,   249,19491218,    0,    0
    65,   249,19491219,   -9,    0
    65,   249,19491220,  -30,    0
    65,   249,19491221,  -22,    0
    65,   249,19491222,   20,    0
    65,   249,19491223,   57,    0
    65,   249,19491224,   45,    0
    65,   249,19491225,   14,    0
    65,   249,19491226,   13,    0
    65,   249,19491227,   15,    0
    65,   249,19491228,    9,    0
    65,   249,19491229,   11,    0
    65,   249,19491230,   25,    0
    65,   249,19491231,   48,    0
    65,   249,19500101,   36,    0
    65,   249,19500102,   26,    0
    65,   249,19500103,   11,    0
    65,   249,19500104,   20,    0
    65,   249,19500105,   17,    0
    65,   249,19500106,    3,    0
    65,   249,19500107,   -3,    0
    65,   249,19500108,    6,    0
    65,   249,19500109,   27,    0
    65,   249,19500110,   33,    0
    65,   249,19500111,   44,    0
    65,   249,19500112,   54,    0
    65,   249,19500113,   32,    0
    65,   249,19500114,   27,    0
    65,   249,19500115,   40,    0
    65,   249,19500116,   28,    0
    65,   249,19500117,   49,    0
    65,   249,19500118,   46,    0
    65,   249,19500119,   79,    0
    65,   249,19500120,   72,    0
    65,   249,19500121,   52,    0
    65,   249,19500122,   50,    0
    65,   249,19500123,   25,    0
    65,   249,19500124,    8,    0
    65,   249,19500125,   42,    0
    65,   249,19500126,   44,    0
    65,   249,19500127,   45,    0
    65,   249,19500128,   57,    0
    65,   249,19500129,   53,    0
    65,   249,19500130,   42,    0
    65,   249,19500131,   37,    0
    65,   249,19500201,   37,    0
    65,   249,19500202,   37,    0
    65,   249,19500203,   48,    0
    65,   249,19500204,   35,    0
    65,   249,19500205,   15,    0
    65,   249,19500206,   14,    0
    65,   249,19500207,   22,    0
    65,   249,19500208,   31,    0
    65,   249,19500209,   27,    0
    65,   249,19500210,   23,    0
    65,   249,19500211,  -19,    0
    65,   249,19500212,  -43,    0
    65,   249,19500213,  -33,    0
    65,   249,19500214,    1,    0
    65,   249,19500215,   23,    0
    65,   249,19500216,   23,    0
    65,   249,19500217,   -2,    0
    65,   249,19500218,  -52,    0
    65,   249,19500219,  -34,    0
    65,   249,19500220,    3,    0
    65,   249,19500221,  -19,    0
    65,   249,19500222,  -95,    0
    65,   249,19500223,  -89,    0
    65,   249,19500224,  -54,    0
    65,   249,19500225,  -36,    0
    65,   249,19500226,   -3,    0
    65,   249,19500227,   26,    0
    65,   249,19500228,   46,    0
    65,   249,19500301,   45,    0
    65,   249,19500302,   40,    0
    65,   249,19500303,    6,    0
    65,   249,19500304,   27,    0
    65,   249,19500305,   40,    0
    65,   249,19500306,   -2,    0
    65,   249,19500307,  -13,    0
    65,   249,19500308,   26,    0
    65,   249,19500309,   21,    0
    65,   249,19500310,   40,    0
    65,   249,19500311,  -25,    0
    65,   249,19500312,  -42,    0
    65,   249,19500313,  -47,    0
    65,   249,19500314,  -50,    0
    65,   249,19500315,  -18,    0
    65,   249,19500316,    1,    0
    65,   249,19500317,   -7,    0
    65,   249,19500318,  -28,    0
    65,   249,19500319,  -22,    0
    65,   249,19500320,   20,    0
    65,   249,19500321,   12,    0
    65,   249,19500322,   45,    0
    65,   249,19500323,   53,    0
    65,   249,19500324,   42,    0
    65,   249,19500325,   28,    0
    65,   249,19500326,   13,    0
    65,   249,19500327,    2,    0
    65,   249,19500328,   73,    0
    65,   249,19500329,   45,    0
    65,   249,19500330,   37,    0
    65,   249,19500331,   17,    0
    65,   249,19500401,   12,    0
    65,   249,19500402,    9,    0
    65,   249,19500403,   -7,    0
    65,   249,19500404,  -11,    0
    65,   249,19500405,   13,    0
    65,   249,19500406,   25,    0
    65,   249,19500407,   26,    0
    65,   249,19500408,   30,    0
    65,   249,19500409,   21,    0
    65,   249,19500410,    1,    0
    65,   249,19500411,  -11,    0
    65,   249,19500412,  -26,    0
    65,   249,19500413,   -8,    0
    65,   249,19500414,   26,    0
    65,   249,19500415,  -18,    0
    65,   249,19500416,    3,    0
    65,   249,19500417,    8,    0
    65,   249,19500418,   13,    0
    65,   249,19500419,   17,    0
    65,   249,19500420,   17,    0
    65,   249,19500421,  -18,    0
    65,   249,19500422,    0,    0
    65,   249,19500423,  -16,    0
