EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REYKJAVIK, ICELAND (STAID: 66)
Blended and updated with sources:253 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    66,   253,19490101,  -73,    0
    66,   253,19490102, -103,    0
    66,   253,19490103,  -90,    0
    66,   253,19490104,  -83,    0
    66,   253,19490105,  -27,    0
    66,   253,19490106,  -89,    0
    66,   253,19490107,  -13,    0
    66,   253,19490108,    6,    0
    66,   253,19490109,   45,    0
    66,   253,19490110,  -12,    0
    66,   253,19490111, -108,    0
    66,   253,19490112,  -29,    0
    66,   253,19490113,    7,    0
    66,   253,19490114,  -48,    0
    66,   253,19490115,   10,    0
    66,   253,19490116,  -11,    0
    66,   253,19490117,  -20,    0
    66,   253,19490118,  -21,    0
    66,   253,19490119,  -48,    0
    66,   253,19490120,  -18,    0
    66,   253,19490121,  -16,    0
    66,   253,19490122,    9,    0
    66,   253,19490123,  -20,    0
    66,   253,19490124,   12,    0
    66,   253,19490125,   -5,    0
    66,   253,19490126,  -35,    0
    66,   253,19490127,  -31,    0
    66,   253,19490128,  -17,    0
    66,   253,19490129,  -14,    0
    66,   253,19490130,  -32,    0
    66,   253,19490131,   35,    0
    66,   253,19490201,   58,    0
    66,   253,19490202,    9,    0
    66,   253,19490203,   -8,    0
    66,   253,19490204,   48,    0
    66,   253,19490205,   61,    0
    66,   253,19490206,   52,    0
    66,   253,19490207,   19,    0
    66,   253,19490208,   11,    0
    66,   253,19490209,  -18,    0
    66,   253,19490210,    6,    0
    66,   253,19490211,   17,    0
    66,   253,19490212,   11,    0
    66,   253,19490213,    1,    0
    66,   253,19490214,  -12,    0
    66,   253,19490215,  -22,    0
    66,   253,19490216,  -38,    0
    66,   253,19490217,  -22,    0
    66,   253,19490218,   27,    0
    66,   253,19490219,   18,    0
    66,   253,19490220,    5,    0
    66,   253,19490221,   -3,    0
    66,   253,19490222,  -35,    0
    66,   253,19490223,  -28,    0
    66,   253,19490224,  -28,    0
    66,   253,19490225,  -17,    0
    66,   253,19490226,  -28,    0
    66,   253,19490227,  -40,    0
    66,   253,19490228,  -37,    0
    66,   253,19490301,  -56,    0
    66,   253,19490302,   40,    0
    66,   253,19490303,   40,    0
    66,   253,19490304,   50,    0
    66,   253,19490305,   23,    0
    66,   253,19490306,    4,    0
    66,   253,19490307,  -32,    0
    66,   253,19490308,  -24,    0
    66,   253,19490309,   21,    0
    66,   253,19490310,   10,    0
    66,   253,19490311,  -25,    0
    66,   253,19490312,  -69,    0
    66,   253,19490313,  -93,    0
    66,   253,19490314,  -81,    0
    66,   253,19490315,   11,    0
    66,   253,19490316,   12,    0
    66,   253,19490317,    7,    0
    66,   253,19490318,    8,    0
    66,   253,19490319,   25,    0
    66,   253,19490320,   12,    0
    66,   253,19490321,    7,    0
    66,   253,19490322,    3,    0
    66,   253,19490323,   -6,    0
    66,   253,19490324,  -14,    0
    66,   253,19490325,  -24,    0
    66,   253,19490326,   30,    0
    66,   253,19490327,   44,    0
    66,   253,19490328,   59,    0
    66,   253,19490329,   38,    0
    66,   253,19490330,    7,    0
    66,   253,19490331,    9,    0
    66,   253,19490401,    3,    0
    66,   253,19490402,   22,    0
    66,   253,19490403,    6,    0
    66,   253,19490404,  -22,    0
    66,   253,19490405,  -40,    0
    66,   253,19490406,  -20,    0
    66,   253,19490407,  -19,    0
    66,   253,19490408,   15,    0
    66,   253,19490409,   21,    0
    66,   253,19490410,   24,    0
    66,   253,19490411,   15,    0
    66,   253,19490412,   38,    0
    66,   253,19490413,   25,    0
    66,   253,19490414,   13,    0
    66,   253,19490415,   17,    0
    66,   253,19490416,   14,    0
    66,   253,19490417,   32,    0
    66,   253,19490418,  -15,    0
    66,   253,19490419,  -28,    0
