EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STYKKISHOLMUR, ICELAND (STAID: 67)
Blended and updated with sources:257 904013 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    67,   257,19490101,  -82,    0
    67,   257,19490102, -100,    0
    67,   257,19490103,  -88,    0
    67,   257,19490104,  -59,    0
    67,   257,19490105,  -45,    0
    67,   257,19490106,  -79,    0
    67,   257,19490107,  -33,    0
    67,   257,19490108,  -11,    1
    67,   257,19490109,   51,    0
    67,   257,19490110,  -23,    0
    67,   257,19490111, -111,    0
    67,   257,19490112,  -39,    0
    67,   257,19490113,   -8,    0
    67,   257,19490114,  -54,    0
    67,   257,19490115,   -1,    0
    67,   257,19490116,  -21,    0
    67,   257,19490117,  -31,    0
    67,   257,19490118,  -41,    0
    67,   257,19490119,  -56,    0
    67,   257,19490120,  -24,    0
    67,   257,19490121,  -14,    0
    67,   257,19490122,    8,    0
    67,   257,19490123,  -30,    0
    67,   257,19490124,  -14,    0
    67,   257,19490125,  -10,    0
    67,   257,19490126,  -31,    0
    67,   257,19490127,  -24,    0
    67,   257,19490128,  -20,    0
    67,   257,19490129,  -15,    0
    67,   257,19490130,  -33,    0
    67,   257,19490131,   38,    0
    67,   257,19490201,   64,    0
    67,   257,19490202,    3,    0
    67,   257,19490203,    3,    0
    67,   257,19490204,   38,    0
    67,   257,19490205,   69,    0
    67,   257,19490206,   48,    0
    67,   257,19490207,    5,    0
    67,   257,19490208,   14,    0
    67,   257,19490209,  -14,    0
    67,   257,19490210,   -7,    0
    67,   257,19490211,   19,    0
    67,   257,19490212,   12,    0
    67,   257,19490213,   -7,    0
    67,   257,19490214,  -24,    0
    67,   257,19490215,  -23,    0
    67,   257,19490216,  -53,    0
    67,   257,19490217,  -37,    0
    67,   257,19490218,   19,    0
    67,   257,19490219,   11,    0
    67,   257,19490220,   -4,    0
    67,   257,19490221,   -9,    0
    67,   257,19490222,  -29,    0
    67,   257,19490223,  -41,    0
    67,   257,19490224,  -36,    0
    67,   257,19490225,  -23,    0
    67,   257,19490226,  -31,    0
    67,   257,19490227,  -49,    0
    67,   257,19490228,  -43,    0
    67,   257,19490301,  -65,    0
    67,   257,19490302,   31,    0
    67,   257,19490303,   45,    0
    67,   257,19490304,   57,    0
    67,   257,19490305,   22,    0
    67,   257,19490306,  -19,    0
    67,   257,19490307,  -50,    0
    67,   257,19490308,  -28,    0
    67,   257,19490309,   14,    0
    67,   257,19490310,   -4,    0
    67,   257,19490311,  -54,    0
    67,   257,19490312,  -75,    0
    67,   257,19490313,  -71,    0
    67,   257,19490314,  -59,    0
    67,   257,19490315,  -11,    0
    67,   257,19490316,  -13,    0
    67,   257,19490317,  -10,    0
    67,   257,19490318,    1,    0
    67,   257,19490319,   22,    0
    67,   257,19490320,    4,    0
    67,   257,19490321,   -3,    0
    67,   257,19490322,   -8,    0
    67,   257,19490323,  -14,    0
    67,   257,19490324,  -27,    0
    67,   257,19490325,  -25,    0
    67,   257,19490326,   34,    0
    67,   257,19490327,   49,    0
    67,   257,19490328,   51,    0
    67,   257,19490329,   18,    0
    67,   257,19490330,  -19,    0
    67,   257,19490331,  -13,    0
    67,   257,19490401,   22,    0
    67,   257,19490402,    0,    0
    67,   257,19490403,  -27,    0
    67,   257,19490404,  -37,    0
    67,   257,19490405,  -47,    0
    67,   257,19490406,  -27,    0
    67,   257,19490407,  -23,    0
    67,   257,19490408,   17,    0
    67,   257,19490409,   -2,    0
    67,   257,19490410,  -11,    0
    67,   257,19490411,   -3,    0
    67,   257,19490412,    6,    0
    67,   257,19490413,   14,    0
    67,   257,19490414,   24,    0
    67,   257,19490415,   11,    0
    67,   257,19490416,   12,    0
    67,   257,19490417,    6,    0
    67,   257,19490418,  -40,    0
    67,   257,19490419,  -37,    0
    67,   257,19490420,  -47,    0
    67,   257,19490421,  -65,    0
    67,   257,19490422,  -51,    0
