EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TEIGARHORN, ICELAND (STAID: 68)
Blended and updated with sources:261 75809 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    68,   261,19500101,   22,    0
    68,   261,19500102,   11,    0
    68,   261,19500103,    7,    0
    68,   261,19500104,   12,    0
    68,   261,19500105,   15,    0
    68,   261,19500106,   -2,    0
    68,   261,19500107,  -11,    0
    68,   261,19500108,    4,    0
    68,   261,19500109,   40,    0
    68,   261,19500110,   40,    0
    68,   261,19500111,   47,    0
    68,   261,19500112,   45,    0
    68,   261,19500113,   40,    0
    68,   261,19500114,   35,    0
    68,   261,19500115,   49,    0
    68,   261,19500116,   29,    0
    68,   261,19500117,   49,    0
    68,   261,19500118,   25,    0
    68,   261,19500119,   68,    0
    68,   261,19500120,   59,    0
    68,   261,19500121,   38,    0
    68,   261,19500122,   31,    0
    68,   261,19500123,    4,    0
    68,   261,19500124,  -21,    0
    68,   261,19500125,   33,    0
    68,   261,19500126,   34,    0
    68,   261,19500127,   37,    0
    68,   261,19500128,   72,    0
    68,   261,19500129,   58,    0
    68,   261,19500130,   40,    0
    68,   261,19500131,   51,    0
    68,   261,19500201,   43,    0
    68,   261,19500202,   30,    0
    68,   261,19500203,   49,    0
    68,   261,19500204,   19,    0
    68,   261,19500205,    8,    0
    68,   261,19500206,   -4,    0
    68,   261,19500207,   21,    0
    68,   261,19500208,   29,    0
    68,   261,19500209,   31,    0
    68,   261,19500210,   17,    0
    68,   261,19500211,  -29,    0
    68,   261,19500212,  -58,    0
    68,   261,19500213,  -29,    0
    68,   261,19500214,    0,    0
    68,   261,19500215,   16,    0
    68,   261,19500216,   12,    0
    68,   261,19500217,   -9,    0
    68,   261,19500218,  -55,    0
    68,   261,19500219,  -25,    0
    68,   261,19500220,  -15,    0
    68,   261,19500221,  -38,    0
    68,   261,19500222,  -76,    0
    68,   261,19500223,  -88,    0
    68,   261,19500224,  -65,    0
    68,   261,19500225,  -48,    0
    68,   261,19500226,  -31,    0
    68,   261,19500227,   39,    0
    68,   261,19500228,   36,    0
    68,   261,19500301,   47,    0
    68,   261,19500302,   22,    0
    68,   261,19500303,  -12,    0
    68,   261,19500304,   17,    0
    68,   261,19500305,   32,    0
    68,   261,19500306,  -13,    0
    68,   261,19500307,   12,    0
    68,   261,19500308,   48,    0
    68,   261,19500309,   31,    0
    68,   261,19500310,   54,    0
    68,   261,19500311,  -31,    0
    68,   261,19500312,  -38,    0
    68,   261,19500313,  -52,    0
    68,   261,19500314,  -54,    0
    68,   261,19500315,  -11,    0
    68,   261,19500316,   14,    0
    68,   261,19500317,    5,    0
    68,   261,19500318,  -21,    0
    68,   261,19500319,   12,    0
    68,   261,19500320,   18,    0
    68,   261,19500321,   27,    0
    68,   261,19500322,   51,    0
    68,   261,19500323,   47,    0
    68,   261,19500324,   41,    0
    68,   261,19500325,   25,    0
    68,   261,19500326,   34,    0
    68,   261,19500327,    9,    0
    68,   261,19500328,   56,    0
    68,   261,19500329,   41,    0
    68,   261,19500330,   40,    0
    68,   261,19500331,   16,    0
    68,   261,19500401,   16,    0
    68,   261,19500402,   23,    0
    68,   261,19500403,   -1,    0
    68,   261,19500404,    8,    0
    68,   261,19500405,   21,    0
    68,   261,19500406,   35,    0
    68,   261,19500407,   42,    0
    68,   261,19500408,   27,    0
    68,   261,19500409,   43,    0
    68,   261,19500410,   11,    0
    68,   261,19500411,    2,    0
    68,   261,19500412,  -20,    0
    68,   261,19500413,   -3,    0
    68,   261,19500414,   26,    0
    68,   261,19500415,    2,    0
    68,   261,19500416,   23,    0
    68,   261,19500417,   25,    0
    68,   261,19500418,   25,    0
    68,   261,19500419,   20,    0
