EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VESTMANNAEYJAR, ICELAND (STAID: 69)
Blended and updated with sources:265 75787 75798 904048 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    69, 75787,19490101,  -85,    0
    69, 75787,19490102, -106,    0
    69, 75787,19490103,  -90,    0
    69, 75787,19490104,  -26,    0
    69, 75787,19490105,   -5,    0
    69, 75787,19490106,  -62,    0
    69, 75787,19490107,    6,    0
    69, 75787,19490108,   20,    0
    69, 75787,19490109,   57,    0
    69, 75787,19490110,  -13,    0
    69, 75787,19490111,  -95,    0
    69, 75787,19490112,    3,    0
    69, 75787,19490113,   19,    0
    69, 75787,19490114,  -19,    0
    69, 75787,19490115,   28,    0
    69, 75787,19490116,    1,    0
    69, 75787,19490117,  -10,    0
    69, 75787,19490118,   15,    0
    69, 75787,19490119,  -42,    0
    69, 75787,19490120,  -10,    0
    69, 75787,19490121,   11,    0
    69, 75787,19490122,   28,    0
    69, 75787,19490123,   -3,    0
    69, 75787,19490124,   32,    0
    69, 75787,19490125,   -1,    0
    69, 75787,19490126,  -17,    0
    69, 75787,19490127,  -13,    0
    69, 75787,19490128,    6,    0
    69, 75787,19490129,    8,    0
    69, 75787,19490130,    4,    0
    69, 75787,19490131,   43,    0
    69, 75787,19490201,   64,    0
    69, 75787,19490202,   23,    0
    69, 75787,19490203,   15,    0
    69, 75787,19490204,   58,    0
    69, 75787,19490205,   67,    0
    69, 75787,19490206,   54,    0
    69, 75787,19490207,   27,    0
    69, 75787,19490208,    9,    0
    69, 75787,19490209,   16,    0
    69, 75787,19490210,   38,    0
    69, 75787,19490211,   35,    0
    69, 75787,19490212,   31,    0
    69, 75787,19490213,   15,    0
    69, 75787,19490214,    9,    0
    69, 75787,19490215,    4,    0
    69, 75787,19490216,  -27,    0
    69, 75787,19490217,   -5,    0
    69, 75787,19490218,   40,    0
    69, 75787,19490219,   33,    0
    69, 75787,19490220,   19,    0
    69, 75787,19490221,    4,    0
    69, 75787,19490222,  -12,    0
    69, 75787,19490223,  -13,    0
    69, 75787,19490224,  -16,    0
    69, 75787,19490225,   11,    0
    69, 75787,19490226,  -27,    0
    69, 75787,19490227,   -1,    0
    69, 75787,19490228,  -19,    0
    69, 75787,19490301,   -5,    0
    69, 75787,19490302,   49,    0
    69, 75787,19490303,   54,    0
    69, 75787,19490304,   67,    0
    69, 75787,19490305,   30,    0
    69, 75787,19490306,   18,    0
    69, 75787,19490307,  -24,    0
    69, 75787,19490308,   14,    0
    69, 75787,19490309,   32,    0
    69, 75787,19490310,   28,    0
