EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALEKSANDROV GAJ, RUSSIAN FEDERATION (STAID: 70)
Blended and updated with sources:269 934391 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    70,   269,19360101, -158,    0
    70,   269,19360102, -146,    0
    70,   269,19360103, -134,    0
    70,   269,19360104, -143,    0
    70,   269,19360105, -160,    0
    70,   269,19360106, -142,    0
    70,   269,19360107, -122,    0
    70,   269,19360108, -126,    0
    70,   269,19360109, -152,    0
    70,   269,19360110, -168,    0
    70,   269,19360111, -136,    0
    70,   269,19360112,  -38,    0
    70,   269,19360113,  -47,    0
    70,   269,19360114,  -16,    0
    70,   269,19360115,  -27,    0
    70,   269,19360116,  -73,    0
    70,   269,19360117,  -82,    0
    70,   269,19360118, -160,    0
    70,   269,19360119, -164,    0
    70,   269,19360120, -190,    0
    70,   269,19360121, -176,    0
    70,   269,19360122, -173,    0
    70,   269,19360123, -156,    0
    70,   269,19360124, -168,    0
    70,   269,19360125, -125,    0
    70,   269,19360126,  -48,    0
    70,   269,19360127,  -68,    0
    70,   269,19360128,  -88,    0
    70,   269,19360129,  -70,    0
    70,   269,19360130,  -51,    0
    70,   269,19360131, -181,    0
    70,   269,19360201, -181,    0
    70,   269,19360202, -225,    0
    70,   269,19360203, -147,    0
    70,   269,19360204, -138,    0
    70,   269,19360205, -168,    0
    70,   269,19360206, -167,    0
    70,   269,19360207, -134,    0
    70,   269,19360208, -108,    0
    70,   269,19360209, -191,    0
    70,   269,19360210,  -94,    0
    70,   269,19360211,  -60,    0
    70,   269,19360212, -205,    0
    70,   269,19360213,  -84,    0
    70,   269,19360214,  -93,    0
    70,   269,19360215, -104,    0
    70,   269,19360216, -166,    0
    70,   269,19360217, -215,    0
    70,   269,19360218, -278,    0
    70,   269,19360219, -264,    0
    70,   269,19360220, -104,    0
    70,   269,19360221, -123,    0
    70,   269,19360222, -159,    0
    70,   269,19360223, -154,    0
    70,   269,19360224, -180,    0
    70,   269,19360225, -180,    0
    70,   269,19360226, -187,    0
