EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ARXANGEL'SK, RUSSIAN FEDERATION (STAID: 71)
Blended and updated with sources:273 922550 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    71,   273,18810101, -118,    0
    71,   273,18810102,  -63,    0
    71,   273,18810103,  -19,    0
    71,   273,18810104,  -71,    0
    71,   273,18810105,  -79,    0
    71,   273,18810106,  -95,    0
    71,   273,18810107, -113,    0
    71,   273,18810108, -197,    0
    71,   273,18810109, -237,    0
    71,   273,18810110, -255,    0
    71,   273,18810111, -339,    0
    71,   273,18810112, -362,    0
    71,   273,18810113, -289,    0
    71,   273,18810114, -242,    0
    71,   273,18810115, -189,    0
    71,   273,18810116, -165,    0
    71,   273,18810117, -255,    0
    71,   273,18810118, -269,    0
    71,   273,18810119, -183,    0
    71,   273,18810120, -173,    0
    71,   273,18810121, -257,    0
    71,   273,18810122, -320,    0
    71,   273,18810123, -217,    0
    71,   273,18810124, -162,    0
    71,   273,18810125, -189,    0
    71,   273,18810126, -199,    0
    71,   273,18810127, -225,    0
    71,   273,18810128, -172,    0
    71,   273,18810129, -199,    0
    71,   273,18810130, -139,    0
    71,   273,18810131, -112,    0
    71,   273,18810201, -104,    0
    71,   273,18810202,  -88,    0
    71,   273,18810203, -148,    0
    71,   273,18810204, -252,    0
    71,   273,18810205, -280,    0
    71,   273,18810206, -255,    0
    71,   273,18810207,  -97,    0
    71,   273,18810208, -193,    0
    71,   273,18810209, -212,    0
    71,   273,18810210, -176,    0
    71,   273,18810211,  -95,    0
    71,   273,18810212,  -82,    0
    71,   273,18810213, -173,    0
    71,   273,18810214, -235,    0
    71,   273,18810215, -189,    0
    71,   273,18810216, -115,    0
    71,   273,18810217,  -74,    0
    71,   273,18810218,  -69,    0
    71,   273,18810219,  -45,    0
    71,   273,18810220,  -69,    0
    71,   273,18810221, -159,    0
    71,   273,18810222, -114,    0
    71,   273,18810223, -119,    0
    71,   273,18810224, -117,    0
    71,   273,18810225,  -93,    0
    71,   273,18810226, -120,    0
    71,   273,18810227, -128,    0
    71,   273,18810228, -135,    0
    71,   273,18810301, -172,    0
    71,   273,18810302, -131,    0
    71,   273,18810303, -139,    0
    71,   273,18810304, -205,    0
    71,   273,18810305, -185,    0
    71,   273,18810306, -131,    0
    71,   273,18810307, -117,    0
    71,   273,18810308, -106,    0
    71,   273,18810309,  -95,    0
    71,   273,18810310,   -1,    0
    71,   273,18810311,  -20,    0
    71,   273,18810312,  -57,    0
    71,   273,18810313,  -77,    0
    71,   273,18810314, -109,    0
    71,   273,18810315, -101,    0
    71,   273,18810316,  -50,    0
    71,   273,18810317,  -30,    0
    71,   273,18810318,  -12,    0
    71,   273,18810319,  -14,    0
    71,   273,18810320, -150,    0
    71,   273,18810321, -196,    0
    71,   273,18810322, -142,    0
    71,   273,18810323, -127,    0
    71,   273,18810324,  -98,    0
    71,   273,18810325,  -65,    0
    71,   273,18810326,  -27,    0
    71,   273,18810327,  -68,    0
    71,   273,18810328,  -91,    0
    71,   273,18810329,  -46,    0
    71,   273,18810330,    1,    0
    71,   273,18810331,  -43,    0
    71,   273,18810401,  -96,    0
    71,   273,18810402,  -89,    0
    71,   273,18810403, -125,    0
    71,   273,18810404, -127,    0
    71,   273,18810405,  -68,    0
    71,   273,18810406,  -42,    0
    71,   273,18810407,  -80,    0
    71,   273,18810408,  -66,    0
    71,   273,18810409,  -31,    0
    71,   273,18810410,  -80,    0
    71,   273,18810411,   -8,    0
    71,   273,18810412,  -30,    0
    71,   273,18810413,  -25,    0
    71,   273,18810414,    5,    0
    71,   273,18810415,   12,    0
    71,   273,18810416,   31,    0
    71,   273,18810417,   17,    0
    71,   273,18810418,  -24,    0
    71,   273,18810419,   -1,    0
    71,   273,18810420,    4,    0
    71,   273,18810421,   29,    0
    71,   273,18810422,   25,    0
    71,   273,18810423,    7,    0
    71,   273,18810424,  -34,    0
    71,   273,18810425,  -39,    0
    71,   273,18810426,   14,    0
    71,   273,18810427,   51,    0
    71,   273,18810428,   64,    0
    71,   273,18810429,   46,    0
    71,   273,18810430,   40,    0
    71,   273,18810501,   53,    0
    71,   273,18810502,   40,    0
    71,   273,18810503,   58,    0
    71,   273,18810504,   43,    0
    71,   273,18810505,   55,    0
    71,   273,18810506,   34,    0
    71,   273,18810507,   44,    0
    71,   273,18810508,    6,    0
    71,   273,18810509,  -24,    0
    71,   273,18810510,  -14,    0
    71,   273,18810511,   36,    0
    71,   273,18810512,    2,    0
    71,   273,18810513,   32,    0
    71,   273,18810514,   49,    0
    71,   273,18810515,   54,    0
    71,   273,18810516,   20,    0
    71,   273,18810517,   80,    0
    71,   273,18810518,  105,    0
    71,   273,18810519,   81,    0
    71,   273,18810520,  118,    0
    71,   273,18810521,   26,    0
    71,   273,18810522,   39,    0
    71,   273,18810523,   98,    0
    71,   273,18810524,   78,    0
    71,   273,18810525,   11,    0
    71,   273,18810526,   -8,    0
    71,   273,18810527,    2,    0
    71,   273,18810528,    5,    0
    71,   273,18810529,   14,    0
    71,   273,18810530,   14,    0
    71,   273,18810531,   23,    0
    71,   273,18810601,    6,    0
    71,   273,18810602,   13,    0
    71,   273,18810603,   29,    0
    71,   273,18810604,   75,    0
    71,   273,18810605,   54,    0
    71,   273,18810606,   64,    0
    71,   273,18810607,   64,    0
    71,   273,18810608,  165,    0
    71,   273,18810609,  216,    0
