EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ARMAVIR, RUSSIAN FEDERATION (STAID: 72)
Blended and updated with sources:277 937031 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    72,   277,19360101,  -32,    0
    72,   277,19360102,  -17,    0
    72,   277,19360103,   -7,    0
    72,   277,19360104,   -5,    0
    72,   277,19360105,    0,    0
    72,   277,19360106,  -17,    0
    72,   277,19360107,  -34,    0
    72,   277,19360108,  -42,    0
    72,   277,19360109,  -27,    0
    72,   277,19360110,  -10,    0
    72,   277,19360111,   26,    0
    72,   277,19360112,   45,    0
    72,   277,19360113,   13,    0
    72,   277,19360114,    7,    0
    72,   277,19360115,  -21,    0
    72,   277,19360116,  -39,    0
    72,   277,19360117,  -54,    0
    72,   277,19360118,   -2,    0
    72,   277,19360119,    3,    0
    72,   277,19360120,    0,    0
    72,   277,19360121,   -8,    0
    72,   277,19360122,  -12,    0
    72,   277,19360123,   16,    0
    72,   277,19360124,   -1,    0
    72,   277,19360125,    3,    0
    72,   277,19360126,    5,    0
    72,   277,19360127,   37,    0
    72,   277,19360128,   51,    0
    72,   277,19360129,   72,    0
    72,   277,19360130,   69,    0
    72,   277,19360131,  -44,    0
    72,   277,19360201,  -70,    0
    72,   277,19360202,  -40,    0
    72,   277,19360203,   15,    0
    72,   277,19360204,   12,    0
    72,   277,19360205,   22,    0
    72,   277,19360206,   23,    0
    72,   277,19360207,   18,    0
    72,   277,19360208,   10,    0
    72,   277,19360209,   16,    0
    72,   277,19360210,   24,    0
    72,   277,19360211,    1,    0
    72,   277,19360212,   18,    0
    72,   277,19360213,  -24,    0
    72,   277,19360214,  -41,    0
    72,   277,19360215,  -82,    0
    72,   277,19360216,  -97,    0
    72,   277,19360217,  -90,    0
    72,   277,19360218,  -56,    0
    72,   277,19360219,  -54,    0
    72,   277,19360220,  -58,    0
    72,   277,19360221,   -6,    0
    72,   277,19360222,   10,    0
    72,   277,19360223,    4,    0
    72,   277,19360224,    0,    0
    72,   277,19360225,    1,    0
    72,   277,19360226,   10,    0
    72,   277,19360227,   26,    0
    72,   277,19360228,   38,    0
    72,   277,19360229,    9,    0
    72,   277,19360301,   23,    0
    72,   277,19360302,   27,    0
    72,   277,19360303,   51,    0
    72,   277,19360304,   61,    0
    72,   277,19360305,   46,    0
    72,   277,19360306,   41,    0
    72,   277,19360307,   14,    0
    72,   277,19360308,   21,    0
    72,   277,19360309,   30,    0
    72,   277,19360310,   42,    0
    72,   277,19360311,   43,    0
    72,   277,19360312,   44,    0
    72,   277,19360313,   66,    0
    72,   277,19360314,   80,    0
    72,   277,19360315,   66,    0
    72,   277,19360316,   56,    0
    72,   277,19360317,   72,    0
    72,   277,19360318,   70,    0
    72,   277,19360319,   35,    0
    72,   277,19360320,   33,    0
    72,   277,19360321,    9,    0
    72,   277,19360322,  -32,    0
    72,   277,19360323,    6,    0
    72,   277,19360324,   50,    0
    72,   277,19360325,   74,    0
    72,   277,19360326,   10,    0
    72,   277,19360327,   28,    0
    72,   277,19360328,   72,    0
    72,   277,19360329,    6,    0
    72,   277,19360330,  -10,    0
    72,   277,19360331,   23,    0
    72,   277,19360401,   21,    0
    72,   277,19360402,   36,    0
    72,   277,19360403,   66,    0
    72,   277,19360404,   73,    0
    72,   277,19360405,   96,    0
    72,   277,19360406,   80,    0
    72,   277,19360407,    8,    0
    72,   277,19360408,   47,    0
    72,   277,19360409,   32,    0
    72,   277,19360410,   61,    0
    72,   277,19360411,   74,    0
    72,   277,19360412,  110,    0
    72,   277,19360413,  121,    0
    72,   277,19360414,  109,    0
    72,   277,19360415,  118,    0
    72,   277,19360416,  111,    0
    72,   277,19360417,   97,    0
    72,   277,19360418,  110,    0
    72,   277,19360419,  141,    0
    72,   277,19360420,  116,    0
    72,   277,19360421,   91,    0
    72,   277,19360422,  113,    0
    72,   277,19360423,  163,    0
    72,   277,19360424,  180,    0
    72,   277,19360425,  158,    0
    72,   277,19360426,  136,    0
    72,   277,19360427,  149,    0
    72,   277,19360428,  172,    0
    72,   277,19360429,  155,    0
    72,   277,19360430,  142,    0
    72,   277,19360501,  127,    0
    72,   277,19360502,  128,    0
    72,   277,19360503,  146,    0
    72,   277,19360504,  167,    0
    72,   277,19360505,  198,    0
    72,   277,19360506,  186,    0
    72,   277,19360507,  152,    0
    72,   277,19360508,  124,    0
    72,   277,19360509,  138,    0
    72,   277,19360510,  138,    0
    72,   277,19360511,  150,    0
    72,   277,19360512,  179,    0
    72,   277,19360513,  180,    0
    72,   277,19360514,  190,    0
    72,   277,19360515,  176,    0
    72,   277,19360516,  162,    0
    72,   277,19360517,   70,    0
    72,   277,19360518,   86,    0
    72,   277,19360519,   76,    0
    72,   277,19360520,  103,    0
    72,   277,19360521,  103,    0
    72,   277,19360522,  140,    0
    72,   277,19360523,  177,    0
    72,   277,19360524,  200,    0
    72,   277,19360525,  197,    0
    72,   277,19360526,  191,    0
    72,   277,19360527,  163,    0
    72,   277,19360528,  181,    0
    72,   277,19360529,  187,    0
    72,   277,19360530,  183,    0
    72,   277,19360531,  171,    0
    72,   277,19360601,  184,    0
    72,   277,19360602,  194,    0
    72,   277,19360603,  205,    0
    72,   277,19360604,  192,    0
    72,   277,19360605,  192,    0
    72,   277,19360606,  189,    0
    72,   277,19360607,  199,    0
    72,   277,19360608,  163,    0
    72,   277,19360609,  154,    0
    72,   277,19360610,  142,    0
    72,   277,19360611,  159,    0
    72,   277,19360612,  189,    0
    72,   277,19360613,  189,    0
    72,   277,19360614,  190,    0
    72,   277,19360615,  195,    0
    72,   277,19360616,  190,    0
    72,   277,19360617,  194,    0
    72,   277,19360618,  192,    0
    72,   277,19360619,  185,    0
    72,   277,19360620,  213,    0
    72,   277,19360621,  237,    0
    72,   277,19360622,  214,    0
    72,   277,19360623,  195,    0
    72,   277,19360624,  234,    0
    72,   277,19360625,  218,    0
    72,   277,19360626,  222,    0
    72,   277,19360627,  208,    0
    72,   277,19360628,  222,    0
    72,   277,19360629,  223,    0
    72,   277,19360630,  223,    0
    72,   277,19360701,  238,    0
    72,   277,19360702,  248,    0
    72,   277,19360703,  252,    0
    72,   277,19360704,  245,    0
    72,   277,19360705,  259,    0
    72,   277,19360706,  276,    0
    72,   277,19360707,  243,    0
    72,   277,19360708,  221,    0
    72,   277,19360709,  226,    0
    72,   277,19360710,  237,    0
    72,   277,19360711,  254,    0
    72,   277,19360712,  255,    0
    72,   277,19360713,  255,    0
    72,   277,19360714,  256,    0
    72,   277,19360715,  248,    0
