EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASTRAXAN', RUSSIAN FEDERATION (STAID: 73)
Blended and updated with sources:281 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    73,   281,18810101,    7,    0
    73,   281,18810102,    8,    0
    73,   281,18810103,   -7,    0
    73,   281,18810104,   -7,    0
    73,   281,18810105,    0,    0
    73,   281,18810106,   15,    0
    73,   281,18810107,  -56,    0
    73,   281,18810108,  -50,    0
    73,   281,18810109,   -6,    0
    73,   281,18810110,  -51,    0
    73,   281,18810111,  -57,    0
    73,   281,18810112,  -29,    0
    73,   281,18810113,   -7,    0
    73,   281,18810114,   11,    0
    73,   281,18810115,    4,    0
    73,   281,18810116,  -22,    0
    73,   281,18810117,  -13,    0
    73,   281,18810118,  -52,    0
    73,   281,18810119,  -27,    0
    73,   281,18810120,    3,    0
    73,   281,18810121,   33,    0
    73,   281,18810122,    6,    0
    73,   281,18810123,  -95,    0
    73,   281,18810124,  -72,    0
    73,   281,18810125,  -95,    0
    73,   281,18810126, -130,    0
    73,   281,18810127, -151,    0
    73,   281,18810128, -148,    0
    73,   281,18810129,  -82,    0
    73,   281,18810130,  -54,    0
    73,   281,18810131,  -30,    0
    73,   281,18810201,   -9,    0
    73,   281,18810202,  -48,    0
    73,   281,18810203,  -75,    0
    73,   281,18810204,  -77,    0
    73,   281,18810205,  -50,    0
    73,   281,18810206,  -71,    0
    73,   281,18810207,  -87,    0
    73,   281,18810208,   -7,    0
    73,   281,18810209,    1,    0
    73,   281,18810210,  -11,    0
    73,   281,18810211,    3,    0
    73,   281,18810212,    1,    0
    73,   281,18810213,    0,    0
    73,   281,18810214,    0,    0
