EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ELAT'MA, RUSSIAN FEDERATION (STAID: 74)
Blended and updated with sources:285 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    74,   285,18860101,  -46,    0
    74,   285,18860102,  -32,    0
    74,   285,18860103,    0,    0
    74,   285,18860104,  -79,    0
    74,   285,18860105,  -95,    0
    74,   285,18860106,   11,    0
    74,   285,18860107,   -9,    0
    74,   285,18860108,  -36,    0
    74,   285,18860109,  -68,    0
    74,   285,18860110,  -51,    0
    74,   285,18860111,  -17,    0
    74,   285,18860112,  -26,    0
    74,   285,18860113,    0,    0
    74,   285,18860114,   15,    0
    74,   285,18860115,    2,    0
    74,   285,18860116,  -40,    0
    74,   285,18860117,  -38,    0
    74,   285,18860118,  -25,    0
    74,   285,18860119,  -63,    0
    74,   285,18860120, -103,    0
    74,   285,18860121, -138,    0
    74,   285,18860122, -129,    0
    74,   285,18860123, -118,    0
    74,   285,18860124,  -98,    0
    74,   285,18860125,  -80,    0
    74,   285,18860126,  -81,    0
    74,   285,18860127,  -79,    0
    74,   285,18860128, -183,    0
    74,   285,18860129, -168,    0
    74,   285,18860130, -181,    0
    74,   285,18860131, -137,    0
    74,   285,18860201, -156,    0
    74,   285,18860202, -141,    0
    74,   285,18860203, -143,    0
    74,   285,18860204, -153,    0
    74,   285,18860205, -143,    0
    74,   285,18860206, -142,    0
    74,   285,18860207, -138,    0
    74,   285,18860208, -145,    0
    74,   285,18860209,  -30,    0
    74,   285,18860210,  -21,    0
    74,   285,18860211,  -10,    0
    74,   285,18860212,  -10,    0
    74,   285,18860213,  -30,    0
    74,   285,18860214,  -48,    0
    74,   285,18860215,  -57,    0
    74,   285,18860216,  -56,    0
    74,   285,18860217,  -98,    0
    74,   285,18860218, -134,    0
    74,   285,18860219, -121,    0
    74,   285,18860220, -126,    0
    74,   285,18860221, -117,    0
    74,   285,18860222, -139,    0
    74,   285,18860223, -146,    0
    74,   285,18860224, -134,    0
    74,   285,18860225, -161,    0
    74,   285,18860226, -159,    0
    74,   285,18860227, -146,    0
    74,   285,18860228, -134,    0
    74,   285,18860301, -103,    0
    74,   285,18860302, -113,    0
    74,   285,18860303, -108,    0
    74,   285,18860304, -129,    0
    74,   285,18860305,  -48,    0
    74,   285,18860306,  -41,    0
    74,   285,18860307,  -32,    0
    74,   285,18860308,  -15,    0
    74,   285,18860309,  -22,    0
    74,   285,18860310,  -42,    0
    74,   285,18860311,  -48,    0
    74,   285,18860312,  -66,    0
    74,   285,18860313,  -13,    0
    74,   285,18860314,   -1,    0
    74,   285,18860315,   -6,    0
    74,   285,18860316,  -88,    0
    74,   285,18860317, -112,    0
    74,   285,18860318,  -97,    0
    74,   285,18860319,  -60,    0
    74,   285,18860320,  -44,    0
    74,   285,18860321,  -28,    0
    74,   285,18860322,   18,    0
    74,   285,18860323,    7,    0
    74,   285,18860324,  -72,    0
    74,   285,18860325,  -28,    0
    74,   285,18860326,    4,    0
    74,   285,18860327,  -11,    0
    74,   285,18860328,   -5,    0
    74,   285,18860329,   12,    0
    74,   285,18860330,   32,    0
    74,   285,18860331,   31,    0
    74,   285,18860401,   31,    0
    74,   285,18860402,   35,    0
    74,   285,18860403,   15,    0
    74,   285,18860404,   16,    0
    74,   285,18860405,   27,    0
    74,   285,18860406,   14,    0
    74,   285,18860407,   37,    0
    74,   285,18860408,   40,    0
    74,   285,18860409,   42,    0
    74,   285,18860410,   65,    0
    74,   285,18860411,   65,    0
    74,   285,18860412,   73,    0
    74,   285,18860413,   85,    0
    74,   285,18860414,   88,    0
    74,   285,18860415,  101,    0
    74,   285,18860416,   55,    0
    74,   285,18860417,   23,    0
    74,   285,18860418,    8,    0
    74,   285,18860419,    0,    0
    74,   285,18860420,   15,    0
    74,   285,18860421,   50,    0
    74,   285,18860422,   37,    0
    74,   285,18860423,   63,    0
    74,   285,18860424,   47,    0
    74,   285,18860425,   73,    0
    74,   285,18860426,   77,    0
    74,   285,18860427,   19,    0
    74,   285,18860428,    3,    0
    74,   285,18860429,   95,    0
    74,   285,18860430,  120,    0
    74,   285,18860501,   58,    0
    74,   285,18860502,   14,    0
    74,   285,18860503,   52,    0
    74,   285,18860504,   94,    0
    74,   285,18860505,  120,    0
    74,   285,18860506,   60,    0
    74,   285,18860507,   75,    0
    74,   285,18860508,   91,    0
    74,   285,18860509,  112,    0
    74,   285,18860510,  144,    0
    74,   285,18860511,  150,    0
    74,   285,18860512,  111,    0
    74,   285,18860513,  107,    0
    74,   285,18860514,  127,    0
    74,   285,18860515,  130,    0
    74,   285,18860516,  176,    0
    74,   285,18860517,  193,    0
    74,   285,18860518,  147,    0
    74,   285,18860519,  137,    0
    74,   285,18860520,  155,    0
    74,   285,18860521,  162,    0
    74,   285,18860522,  135,    0
    74,   285,18860523,  164,    0
    74,   285,18860524,   98,    0
    74,   285,18860525,  104,    0
    74,   285,18860526,  146,    0
    74,   285,18860527,  168,    0
    74,   285,18860528,  163,    0
    74,   285,18860529,  189,    0
    74,   285,18860530,  214,    0
    74,   285,18860531,  230,    0
    74,   285,18860601,  187,    0
    74,   285,18860602,  171,    0
    74,   285,18860603,  192,    0
    74,   285,18860604,  199,    0
    74,   285,18860605,  124,    0
    74,   285,18860606,   79,    0
    74,   285,18860607,  125,    0
    74,   285,18860608,  164,    0
    74,   285,18860609,  173,    0
    74,   285,18860610,  167,    0
    74,   285,18860611,  165,    0
    74,   285,18860612,  157,    0
    74,   285,18860613,  151,    0
    74,   285,18860614,  156,    0
    74,   285,18860615,  155,    0
    74,   285,18860616,  170,    0
    74,   285,18860617,  176,    0
    74,   285,18860618,  155,    0
    74,   285,18860619,  172,    0
    74,   285,18860620,  154,    0
    74,   285,18860621,  129,    0
    74,   285,18860622,  187,    0
    74,   285,18860623,  222,    0
    74,   285,18860624,  186,    0
    74,   285,18860625,  168,    0
    74,   285,18860626,  176,    0
    74,   285,18860627,  165,    0
    74,   285,18860628,  166,    0
    74,   285,18860629,  159,    0
    74,   285,18860630,  149,    0
    74,   285,18860701,  127,    0
    74,   285,18860702,  111,    0
    74,   285,18860703,  129,    0
    74,   285,18860704,  160,    0
    74,   285,18860705,  163,    0
    74,   285,18860706,  174,    0
    74,   285,18860707,  186,    0
    74,   285,18860708,  186,    0
    74,   285,18860709,  199,    0
    74,   285,18860710,  227,    0
    74,   285,18860711,  238,    0
    74,   285,18860712,  172,    0
    74,   285,18860713,  181,    0
    74,   285,18860714,  197,    0
    74,   285,18860715,  232,    0
    74,   285,18860716,  224,    0
    74,   285,18860717,  225,    0
    74,   285,18860718,  178,    0
    74,   285,18860719,  170,    0
    74,   285,18860720,  168,    0
    74,   285,18860721,  187,    0
    74,   285,18860722,  185,    0
    74,   285,18860723,  183,    0
    74,   285,18860724,  176,    0
    74,   285,18860725,  195,    0
    74,   285,18860726,  212,    0
    74,   285,18860727,  201,    0
    74,   285,18860728,  213,    0
    74,   285,18860729,  202,    0
    74,   285,18860730,  217,    0
    74,   285,18860731,  221,    0
    74,   285,18860801,  192,    0
    74,   285,18860802,  182,    0
    74,   285,18860803,  211,    0
    74,   285,18860804,  187,    0
    74,   285,18860805,  178,    0
    74,   285,18860806,  171,    0
    74,   285,18860807,  171,    0
    74,   285,18860808,  174,    0
    74,   285,18860809,  150,    0
    74,   285,18860810,  160,    0
    74,   285,18860811,  160,    0
    74,   285,18860812,  162,    0
    74,   285,18860813,  178,    0
    74,   285,18860814,  155,    0
    74,   285,18860815,  164,    0
    74,   285,18860816,  171,    0
    74,   285,18860817,  175,    0
    74,   285,18860818,  167,    0
    74,   285,18860819,  138,    0
    74,   285,18860820,  114,    0
    74,   285,18860821,  149,    0
    74,   285,18860822,  179,    0
    74,   285,18860823,  159,    0
    74,   285,18860824,  162,    0
    74,   285,18860825,  167,    0
    74,   285,18860826,  180,    0
    74,   285,18860827,  189,    0
    74,   285,18860828,  188,    0
    74,   285,18860829,  111,    0
    74,   285,18860830,  119,    0
    74,   285,18860831,  103,    0
    74,   285,18860901,   71,    0
    74,   285,18860902,   78,    0
    74,   285,18860903,  176,    0
    74,   285,18860904,  129,    0
    74,   285,18860905,  124,    0
    74,   285,18860906,   80,    0
    74,   285,18860907,   76,    0
    74,   285,18860908,   74,    0
    74,   285,18860909,   95,    0
    74,   285,18860910,  139,    0
    74,   285,18860911,  142,    0
    74,   285,18860912,  148,    0
    74,   285,18860913,  166,    0
    74,   285,18860914,  150,    0
    74,   285,18860915,  167,    0
    74,   285,18860916,  154,    0
    74,   285,18860917,   68,    0
    74,   285,18860918,   58,    0
    74,   285,18860919,   66,    0
    74,   285,18860920,   46,    0
    74,   285,18860921,   35,    0
    74,   285,18860922,   89,    0
    74,   285,18860923,   91,    0
    74,   285,18860924,   58,    0
    74,   285,18860925,   70,    0
    74,   285,18860926,   46,    0
    74,   285,18860927,   33,    0
    74,   285,18860928,   22,    0
    74,   285,18860929,   57,    0
    74,   285,18860930,   66,    0
    74,   285,18861001,   53,    0
    74,   285,18861002,   39,    0
    74,   285,18861003,   13,    0
    74,   285,18861004,   41,    0
    74,   285,18861005,   31,    0
    74,   285,18861006,    9,    0
    74,   285,18861007,   -1,    0
    74,   285,18861008,  -22,    0
    74,   285,18861009,   21,    0
    74,   285,18861010,   47,    0
    74,   285,18861011,   34,    0
    74,   285,18861012,   53,    0
    74,   285,18861013,   69,    0
    74,   285,18861014,   67,    0
    74,   285,18861015,   66,    0
    74,   285,18861016,   39,    0
    74,   285,18861017,   57,    0
    74,   285,18861018,   78,    0
    74,   285,18861019,   67,    0
    74,   285,18861020,   64,    0
    74,   285,18861021,   -6,    0
    74,   285,18861022,  -29,    0
    74,   285,18861023,  -20,    0
    74,   285,18861024,   -5,    0
    74,   285,18861025,    4,    0
    74,   285,18861026,    6,    0
    74,   285,18861027,    1,    0
    74,   285,18861028,   -2,    0
    74,   285,18861029,  -24,    0
    74,   285,18861030,  -12,    0
    74,   285,18861031,   -7,    0
    74,   285,18861101,    3,    0
    74,   285,18861102,  -25,    0
    74,   285,18861103,  -62,    0
    74,   285,18861104,  -23,    0
    74,   285,18861105,  -19,    0
    74,   285,18861106,  -33,    0
    74,   285,18861107,  -20,    0
    74,   285,18861108,    5,    0
    74,   285,18861109,   36,    0
    74,   285,18861110,   28,    0
    74,   285,18861111,   31,    0
    74,   285,18861112,    8,    0
    74,   285,18861113,   19,    0
    74,   285,18861114,   14,    0
    74,   285,18861115,   15,    0
    74,   285,18861116,   13,    0
    74,   285,18861117,   -5,    0
    74,   285,18861118,  -11,    0
    74,   285,18861119,   -6,    0
    74,   285,18861120,   16,    0
    74,   285,18861121,   24,    0
    74,   285,18861122,   18,    0
    74,   285,18861123,   14,    0
    74,   285,18861124,   -8,    0
    74,   285,18861125,   -1,    0
    74,   285,18861126,  -29,    0
    74,   285,18861127,  -38,    0
    74,   285,18861128,  -93,    0
