EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station XOSEDA-XARD, RUSSIAN FEDERATION (STAID: 75)
Blended and updated with sources:289 923219 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    75,   289,19360101,  -96,    0
    75,   289,19360102,  -92,    0
    75,   289,19360103,  -52,    0
    75,   289,19360104, -162,    0
    75,   289,19360105,  -94,    0
    75,   289,19360106, -156,    0
    75,   289,19360107, -130,    0
    75,   289,19360108, -130,    0
    75,   289,19360109, -110,    0
    75,   289,19360110, -129,    0
    75,   289,19360111, -158,    0
    75,   289,19360112, -112,    0
    75,   289,19360113, -102,    0
    75,   289,19360114, -195,    0
    75,   289,19360115, -173,    0
    75,   289,19360116, -256,    0
    75,   289,19360117, -267,    0
    75,   289,19360118, -268,    0
    75,   289,19360119, -202,    0
    75,   289,19360120, -184,    0
    75,   289,19360121, -159,    0
    75,   289,19360122, -240,    0
    75,   289,19360123, -316,    0
    75,   289,19360124, -340,    0
    75,   289,19360125, -424,    0
    75,   289,19360126, -328,    0
    75,   289,19360127, -306,    0
    75,   289,19360128, -377,    0
    75,   289,19360129, -422,    0
    75,   289,19360130, -398,    0
    75,   289,19360131, -411,    0
    75,   289,19360201, -318,    0
    75,   289,19360202, -222,    0
    75,   289,19360203, -178,    0
    75,   289,19360204, -174,    0
    75,   289,19360205, -222,    0
    75,   289,19360206, -285,    0
    75,   289,19360207, -318,    0
    75,   289,19360208, -340,    0
    75,   289,19360209, -286,    0
    75,   289,19360210, -296,    0
    75,   289,19360211, -322,    0
    75,   289,19360212, -267,    0
    75,   289,19360213, -332,    0
    75,   289,19360214, -312,    0
    75,   289,19360215, -156,    0
    75,   289,19360216, -124,    0
    75,   289,19360217, -124,    0
    75,   289,19360218, -156,    0
    75,   289,19360219, -232,    0
    75,   289,19360220, -236,    0
    75,   289,19360221, -218,    0
    75,   289,19360222, -201,    0
    75,   289,19360223, -148,    0
    75,   289,19360224, -148,    0
    75,   289,19360225, -201,    0
    75,   289,19360226, -224,    0
    75,   289,19360227, -282,    0
    75,   289,19360228, -351,    0
    75,   289,19360229, -326,    0
    75,   289,19360301, -188,    0
    75,   289,19360302, -139,    0
    75,   289,19360303,  -24,    0
    75,   289,19360304,  -22,    0
    75,   289,19360305,  -70,    0
    75,   289,19360306,  -84,    0
    75,   289,19360307, -191,    0
    75,   289,19360308, -113,    0
    75,   289,19360309, -197,    0
    75,   289,19360310, -264,    0
    75,   289,19360311, -104,    0
    75,   289,19360312, -116,    0
    75,   289,19360313, -239,    0
    75,   289,19360314, -298,    0
    75,   289,19360315, -148,    0
    75,   289,19360316, -114,    0
    75,   289,19360317,  -41,    0
    75,   289,19360318,  -47,    0
    75,   289,19360319,  -65,    0
    75,   289,19360320,  -74,    0
    75,   289,19360321,  -85,    0
    75,   289,19360322, -146,    0
    75,   289,19360323, -194,    0
    75,   289,19360324, -224,    0
    75,   289,19360325, -250,    0
    75,   289,19360326, -290,    0
    75,   289,19360327, -289,    0
    75,   289,19360328, -172,    0
    75,   289,19360329, -119,    0
    75,   289,19360330, -204,    0
    75,   289,19360331, -200,    0
    75,   289,19360401, -196,    0
    75,   289,19360402,  -38,    0
    75,   289,19360403,   12,    0
    75,   289,19360404,  -24,    0
    75,   289,19360405,  -86,    0
    75,   289,19360406,  -18,    0
    75,   289,19360407,  -18,    0
    75,   289,19360408,  -53,    0
    75,   289,19360409,  -60,    0
    75,   289,19360410,  -47,    0
    75,   289,19360411,  -27,    0
    75,   289,19360412,  -28,    0
    75,   289,19360413,  -89,    0
    75,   289,19360414,  -78,    0
    75,   289,19360415,  -62,    0
    75,   289,19360416, -108,    0
    75,   289,19360417, -149,    0
    75,   289,19360418,  -86,    0
    75,   289,19360419,  -57,    0
    75,   289,19360420, -112,    0
    75,   289,19360421,  -84,    0
    75,   289,19360422,  -32,    0
    75,   289,19360423,    8,    0
    75,   289,19360424,   35,    0
    75,   289,19360425,  -13,    0
    75,   289,19360426,  -53,    0
    75,   289,19360427,  -65,    0
    75,   289,19360428, -104,    0
    75,   289,19360429,  -24,    0
    75,   289,19360430,   13,    0
    75,   289,19360501,  -16,    0
    75,   289,19360502,  -26,    0
    75,   289,19360503,  -79,    0
    75,   289,19360504,  -50,    0
    75,   289,19360505,    4,    0
    75,   289,19360506,  -13,    0
    75,   289,19360507,  -17,    0
    75,   289,19360508,  -41,    0
    75,   289,19360509,  -56,    0
    75,   289,19360510,  -65,    0
    75,   289,19360511,  -42,    0
    75,   289,19360512,    6,    0
    75,   289,19360513,  -55,    0
    75,   289,19360514,  -97,    0
    75,   289,19360515,  -73,    0
    75,   289,19360516,   -8,    0
    75,   289,19360517,   -6,    0
    75,   289,19360518,  -11,    0
    75,   289,19360519,  -21,    0
    75,   289,19360520,    3,    0
    75,   289,19360521,   81,    0
    75,   289,19360522,   86,    0
    75,   289,19360523,  100,    0
    75,   289,19360524,   12,    0
    75,   289,19360525,   29,    0
    75,   289,19360526,   17,    0
    75,   289,19360527,   -6,    0
    75,   289,19360528,   20,    0
    75,   289,19360529,   11,    0
    75,   289,19360530,   77,    0
    75,   289,19360531,   27,    0
    75,   289,19360601,   55,    0
    75,   289,19360602,   41,    0
    75,   289,19360603,   36,    0
    75,   289,19360604,  128,    0
    75,   289,19360605,  155,    0
    75,   289,19360606,   68,    0
    75,   289,19360607,   77,    0
    75,   289,19360608,   44,    0
    75,   289,19360609,   76,    0
    75,   289,19360610,  138,    0
    75,   289,19360611,  151,    0
    75,   289,19360612,  191,    0
    75,   289,19360613,  173,    0
    75,   289,19360614,   76,    0
    75,   289,19360615,   33,    0
    75,   289,19360616,   60,    0
    75,   289,19360617,  114,    0
    75,   289,19360618,  147,    0
    75,   289,19360619,  179,    0
    75,   289,19360620,   76,    0
    75,   289,19360621,   97,    0
    75,   289,19360622,  142,    0
    75,   289,19360623,   73,    0
    75,   289,19360624,   58,    0
    75,   289,19360625,  106,    0
    75,   289,19360626,  171,    0
    75,   289,19360627,   86,    0
    75,   289,19360628,   47,    0
    75,   289,19360629,   50,    0
    75,   289,19360630,   70,    0
    75,   289,19360701,  105,    0
    75,   289,19360702,  104,    0
    75,   289,19360703,   46,    0
    75,   289,19360704,   56,    0
    75,   289,19360705,   60,    0
    75,   289,19360706,   88,    0
    75,   289,19360707,  152,    0
    75,   289,19360708,  172,    0
    75,   289,19360709,  197,    0
    75,   289,19360710,  212,    0
    75,   289,19360711,  160,    0
    75,   289,19360712,  117,    0
    75,   289,19360713,  103,    0
    75,   289,19360714,  157,    0
    75,   289,19360715,  156,    0
    75,   289,19360716,   71,    0
    75,   289,19360717,   71,    0
    75,   289,19360718,   92,    0
    75,   289,19360719,  161,    0
    75,   289,19360720,  137,    0
    75,   289,19360721,  106,    0
    75,   289,19360722,  146,    0
