EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IZEVSK, RUSSIAN FEDERATION (STAID: 76)
Blended and updated with sources:293 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    76,   293,19580101,   -6,    0
    76,   293,19580102,  -40,    0
    76,   293,19580103,  -46,    0
    76,   293,19580104,  -94,    0
    76,   293,19580105, -112,    0
    76,   293,19580106, -123,    0
    76,   293,19580107, -142,    0
    76,   293,19580108, -268,    0
    76,   293,19580109, -231,    0
    76,   293,19580110,  -82,    0
    76,   293,19580111,  -61,    0
    76,   293,19580112,  -72,    0
    76,   293,19580113,  -92,    0
    76,   293,19580114, -114,    0
    76,   293,19580115,  -89,    0
    76,   293,19580116,  -85,    0
    76,   293,19580117,  -84,    0
    76,   293,19580118,  -84,    0
    76,   293,19580119,  -48,    0
    76,   293,19580120,  -55,    0
    76,   293,19580121,  -20,    0
    76,   293,19580122,  -50,    0
    76,   293,19580123,  -76,    0
    76,   293,19580124,  -70,    0
    76,   293,19580125, -135,    0
    76,   293,19580126, -125,    0
    76,   293,19580127, -105,    0
    76,   293,19580128, -120,    0
    76,   293,19580129, -145,    0
    76,   293,19580130, -146,    0
    76,   293,19580131, -138,    0
    76,   293,19580201,  -94,    0
    76,   293,19580202, -112,    0
    76,   293,19580203, -169,    0
    76,   293,19580204, -165,    0
    76,   293,19580205, -190,    0
    76,   293,19580206, -121,    0
    76,   293,19580207,  -54,    0
    76,   293,19580208, -122,    0
    76,   293,19580209, -141,    0
    76,   293,19580210, -170,    0
    76,   293,19580211, -210,    0
    76,   293,19580212, -237,    0
    76,   293,19580213, -242,    0
    76,   293,19580214, -138,    0
    76,   293,19580215, -134,    0
    76,   293,19580216, -133,    0
    76,   293,19580217, -106,    0
    76,   293,19580218,  -14,    0
    76,   293,19580219,  -23,    0
    76,   293,19580220,  -55,    0
    76,   293,19580221,   21,    0
    76,   293,19580222,    8,    0
    76,   293,19580223,  -19,    0
    76,   293,19580224,  -40,    0
    76,   293,19580225,  -28,    0
    76,   293,19580226,  -28,    0
    76,   293,19580227,  -41,    0
    76,   293,19580228,  -55,    0
    76,   293,19580301,  -78,    0
    76,   293,19580302,  -60,    0
    76,   293,19580303,  -35,    0
    76,   293,19580304,  -74,    0
    76,   293,19580305, -167,    0
    76,   293,19580306,  -76,    0
    76,   293,19580307,  -18,    0
    76,   293,19580308,  -14,    0
    76,   293,19580309,  -79,    0
    76,   293,19580310, -152,    0
    76,   293,19580311,  -60,    0
    76,   293,19580312,  -22,    0
    76,   293,19580313,  -37,    0
    76,   293,19580314,  -65,    0
    76,   293,19580315,  -76,    0
    76,   293,19580316,  -66,    0
    76,   293,19580317, -142,    0
    76,   293,19580318, -219,    0
    76,   293,19580319, -221,    0
    76,   293,19580320, -204,    0
    76,   293,19580321, -188,    0
    76,   293,19580322, -156,    0
    76,   293,19580323, -116,    0
    76,   293,19580324,  -99,    0
    76,   293,19580325,  -76,    0
    76,   293,19580326,  -46,    0
    76,   293,19580327,  -62,    0
    76,   293,19580328,  -50,    0
    76,   293,19580329,  -76,    0
    76,   293,19580330,  -81,    0
    76,   293,19580331,  -64,    0
    76,   293,19580401,  -64,    0
    76,   293,19580402,  -52,    0
    76,   293,19580403,   -8,    0
    76,   293,19580404,   -6,    0
    76,   293,19580405,   10,    0
    76,   293,19580406,    8,    0
    76,   293,19580407,   -1,    0
    76,   293,19580408,    8,    0
    76,   293,19580409,   14,    0
    76,   293,19580410,   22,    0
    76,   293,19580411,   37,    0
    76,   293,19580412,   48,    0
    76,   293,19580413,   54,    0
    76,   293,19580414,   57,    0
    76,   293,19580415,   17,    0
    76,   293,19580416,  -11,    0
    76,   293,19580417,    9,    0
    76,   293,19580418,   36,    0
    76,   293,19580419,   48,    0
    76,   293,19580420,   49,    0
    76,   293,19580421,   65,    0
    76,   293,19580422,   42,    0
    76,   293,19580423,   53,    0
    76,   293,19580424,   29,    0
