EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KALININGRAD, RUSSIAN FEDERATION (STAID: 77)
Blended and updated with sources:297 926702 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    77,   297,19470101,  -50,    0
    77,   297,19470102,  -65,    0
    77,   297,19470103,  -94,    0
    77,   297,19470104, -139,    0
    77,   297,19470105, -165,    0
    77,   297,19470106, -136,    0
    77,   297,19470107, -134,    0
    77,   297,19470108, -107,    0
    77,   297,19470109, -153,    0
    77,   297,19470110, -163,    0
    77,   297,19470111, -175,    0
    77,   297,19470112, -174,    0
    77,   297,19470113, -120,    0
    77,   297,19470114,   -8,    0
    77,   297,19470115,   16,    0
    77,   297,19470116,   36,    0
    77,   297,19470117,   46,    0
    77,   297,19470118,   29,    0
    77,   297,19470119,   18,    0
    77,   297,19470120,   -2,    0
    77,   297,19470121,  -35,    0
    77,   297,19470122,  -76,    0
    77,   297,19470123,  -74,    0
    77,   297,19470124,  -64,    0
    77,   297,19470125, -105,    0
    77,   297,19470126, -176,    0
    77,   297,19470127, -165,    0
    77,   297,19470128, -136,    0
    77,   297,19470129,  -30,    0
    77,   297,19470130,  -43,    0
    77,   297,19470131,  -69,    0
    77,   297,19470201, -141,    0
    77,   297,19470202, -118,    0
    77,   297,19470203,  -66,    0
    77,   297,19470204,  -67,    0
    77,   297,19470205, -132,    0
    77,   297,19470206, -172,    0
    77,   297,19470207, -125,    0
    77,   297,19470208, -138,    0
    77,   297,19470209, -164,    0
    77,   297,19470210, -155,    0
    77,   297,19470211, -154,    0
    77,   297,19470212, -152,    0
    77,   297,19470213, -119,    0
    77,   297,19470214, -144,    0
    77,   297,19470215, -133,    0
    77,   297,19470216, -132,    0
    77,   297,19470217, -142,    0
    77,   297,19470218, -148,    0
    77,   297,19470219, -150,    0
    77,   297,19470220, -140,    0
    77,   297,19470221,  -94,    0
    77,   297,19470222, -116,    0
    77,   297,19470223,  -92,    0
    77,   297,19470224,  -86,    0
    77,   297,19470225,  -98,    0
    77,   297,19470226,  -96,    0
    77,   297,19470227, -107,    0
    77,   297,19470228, -122,    0
    77,   297,19470301,  -49,    0
    77,   297,19470302,  -61,    0
    77,   297,19470303,  -85,    0
    77,   297,19470304,  -76,    0
    77,   297,19470305,  -72,    0
