EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KANDALAKSHA, RUSSIAN FEDERATION (STAID: 78)
Blended and updated with sources:301 922217 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    78,   301,19120101,-9999,    9
    78,   301,19120102,-9999,    9
    78,   301,19120103,-9999,    9
    78,   301,19120104,-9999,    9
    78,   301,19120105,-9999,    9
    78,   301,19120106,-9999,    9
    78,   301,19120107,-9999,    9
    78,   301,19120108,-9999,    9
    78,   301,19120109,-9999,    9
    78,   301,19120110,-9999,    9
    78,   301,19120111,-9999,    9
    78,   301,19120112,-9999,    9
    78,   301,19120113,-9999,    9
    78,   301,19120114,-9999,    9
    78,   301,19120115,-9999,    9
    78,   301,19120116,-9999,    9
    78,   301,19120117,-9999,    9
    78,   301,19120118,-9999,    9
    78,   301,19120119,-9999,    9
    78,   301,19120120,-9999,    9
    78,   301,19120121,-9999,    9
    78,   301,19120122,-9999,    9
    78,   301,19120123,-9999,    9
    78,   301,19120124,-9999,    9
    78,   301,19120125,-9999,    9
    78,   301,19120126,-9999,    9
    78,   301,19120127,-9999,    9
    78,   301,19120128,-9999,    9
    78,   301,19120129,-9999,    9
    78,   301,19120130,-9999,    9
    78,   301,19120131,-9999,    9
    78,   301,19120201,-9999,    9
    78,   301,19120202,-9999,    9
    78,   301,19120203,-9999,    9
    78,   301,19120204,-9999,    9
    78,   301,19120205,-9999,    9
    78,   301,19120206,-9999,    9
    78,   301,19120207,-9999,    9
    78,   301,19120208,-9999,    9
    78,   301,19120209,-9999,    9
    78,   301,19120210,-9999,    9
    78,   301,19120211,-9999,    9
    78,   301,19120212,-9999,    9
    78,   301,19120213,-9999,    9
    78,   301,19120214,-9999,    9
    78,   301,19120215,-9999,    9
    78,   301,19120216,-9999,    9
    78,   301,19120217,-9999,    9
    78,   301,19120218,-9999,    9
    78,   301,19120219,-9999,    9
    78,   301,19120220,-9999,    9
    78,   301,19120221,-9999,    9
    78,   301,19120222,-9999,    9
    78,   301,19120223,-9999,    9
    78,   301,19120224,-9999,    9
    78,   301,19120225,-9999,    9
    78,   301,19120226,-9999,    9
    78,   301,19120227,-9999,    9
    78,   301,19120228,-9999,    9
    78,   301,19120229,-9999,    9
    78,   301,19120301,-9999,    9
    78,   301,19120302,-9999,    9
    78,   301,19120303,-9999,    9
    78,   301,19120304,-9999,    9
    78,   301,19120305,-9999,    9
    78,   301,19120306,-9999,    9
    78,   301,19120307,-9999,    9
    78,   301,19120308,-9999,    9
    78,   301,19120309,-9999,    9
    78,   301,19120310,-9999,    9
    78,   301,19120311,-9999,    9
    78,   301,19120312,-9999,    9
    78,   301,19120313,-9999,    9
    78,   301,19120314,-9999,    9
    78,   301,19120315,-9999,    9
    78,   301,19120316,-9999,    9
    78,   301,19120317,-9999,    9
    78,   301,19120318,-9999,    9
    78,   301,19120319,-9999,    9
    78,   301,19120320,-9999,    9
    78,   301,19120321,-9999,    9
    78,   301,19120322,-9999,    9
    78,   301,19120323,-9999,    9
    78,   301,19120324,-9999,    9
    78,   301,19120325,-9999,    9
    78,   301,19120326,-9999,    9
    78,   301,19120327,-9999,    9
    78,   301,19120328,-9999,    9
    78,   301,19120329,-9999,    9
    78,   301,19120330,-9999,    9
    78,   301,19120331,-9999,    9
    78,   301,19120401,-9999,    9
    78,   301,19120402,-9999,    9
    78,   301,19120403,-9999,    9
    78,   301,19120404,-9999,    9
    78,   301,19120405,-9999,    9
    78,   301,19120406,-9999,    9
    78,   301,19120407,-9999,    9
    78,   301,19120408,-9999,    9
    78,   301,19120409,-9999,    9
    78,   301,19120410,-9999,    9
    78,   301,19120411,-9999,    9
    78,   301,19120412,-9999,    9
    78,   301,19120413,-9999,    9
    78,   301,19120414,-9999,    9
    78,   301,19120415,-9999,    9
    78,   301,19120416,-9999,    9
    78,   301,19120417,-9999,    9
    78,   301,19120418,-9999,    9
    78,   301,19120419,-9999,    9
    78,   301,19120420,-9999,    9
    78,   301,19120421,-9999,    9
    78,   301,19120422,-9999,    9
    78,   301,19120423,-9999,    9
    78,   301,19120424,-9999,    9
    78,   301,19120425,-9999,    9
    78,   301,19120426,-9999,    9
    78,   301,19120427,-9999,    9
    78,   301,19120428,-9999,    9
    78,   301,19120429,-9999,    9
    78,   301,19120430,-9999,    9
    78,   301,19120501,-9999,    9
    78,   301,19120502,-9999,    9
    78,   301,19120503,-9999,    9
    78,   301,19120504,-9999,    9
    78,   301,19120505,-9999,    9
    78,   301,19120506,-9999,    9
    78,   301,19120507,-9999,    9
    78,   301,19120508,-9999,    9
    78,   301,19120509,-9999,    9
    78,   301,19120510,-9999,    9
    78,   301,19120511,-9999,    9
    78,   301,19120512,-9999,    9
    78,   301,19120513,-9999,    9
    78,   301,19120514,-9999,    9
    78,   301,19120515,-9999,    9
    78,   301,19120516,-9999,    9
    78,   301,19120517,-9999,    9
    78,   301,19120518,-9999,    9
    78,   301,19120519,-9999,    9
    78,   301,19120520,-9999,    9
    78,   301,19120521,-9999,    9
    78,   301,19120522,-9999,    9
    78,   301,19120523,-9999,    9
    78,   301,19120524,-9999,    9
    78,   301,19120525,-9999,    9
    78,   301,19120526,-9999,    9
    78,   301,19120527,-9999,    9
    78,   301,19120528,-9999,    9
    78,   301,19120529,-9999,    9
    78,   301,19120530,-9999,    9
    78,   301,19120531,-9999,    9
    78,   301,19120601,-9999,    9
    78,   301,19120602,-9999,    9
    78,   301,19120603,-9999,    9
    78,   301,19120604,-9999,    9
    78,   301,19120605,-9999,    9
    78,   301,19120606,-9999,    9
    78,   301,19120607,-9999,    9
    78,   301,19120608,-9999,    9
    78,   301,19120609,-9999,    9
    78,   301,19120610,-9999,    9
    78,   301,19120611,-9999,    9
    78,   301,19120612,-9999,    9
    78,   301,19120613,-9999,    9
    78,   301,19120614,-9999,    9
    78,   301,19120615,-9999,    9
    78,   301,19120616,-9999,    9
    78,   301,19120617,-9999,    9
    78,   301,19120618,-9999,    9
    78,   301,19120619,-9999,    9
    78,   301,19120620,-9999,    9
    78,   301,19120621,-9999,    9
    78,   301,19120622,-9999,    9
    78,   301,19120623,-9999,    9
    78,   301,19120624,-9999,    9
    78,   301,19120625,-9999,    9
    78,   301,19120626,-9999,    9
    78,   301,19120627,-9999,    9
    78,   301,19120628,-9999,    9
    78,   301,19120629,-9999,    9
    78,   301,19120630,-9999,    9
    78,   301,19120701,-9999,    9
    78,   301,19120702,-9999,    9
    78,   301,19120703,-9999,    9
    78,   301,19120704,-9999,    9
    78,   301,19120705,-9999,    9
    78,   301,19120706,-9999,    9
    78,   301,19120707,-9999,    9
    78,   301,19120708,-9999,    9
    78,   301,19120709,-9999,    9
    78,   301,19120710,-9999,    9
    78,   301,19120711,-9999,    9
