EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KURSK, RUSSIAN FEDERATION (STAID: 80)
Blended and updated with sources:309 934009 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    80,   309,18910101,  -62,    0
    80,   309,18910102,  -35,    0
    80,   309,18910103, -109,    0
    80,   309,18910104, -170,    0
    80,   309,18910105,  -83,    0
    80,   309,18910106,  -57,    0
    80,   309,18910107, -123,    0
    80,   309,18910108, -131,    0
    80,   309,18910109,  -95,    0
    80,   309,18910110, -122,    0
    80,   309,18910111, -188,    0
    80,   309,18910112, -173,    0
    80,   309,18910113, -130,    0
    80,   309,18910114, -146,    0
    80,   309,18910115,  -89,    0
    80,   309,18910116,  -64,    0
    80,   309,18910117,  -61,    0
    80,   309,18910118, -110,    0
    80,   309,18910119, -121,    0
    80,   309,18910120, -164,    0
    80,   309,18910121, -134,    0
    80,   309,18910122, -131,    0
    80,   309,18910123, -147,    0
    80,   309,18910124, -188,    0
    80,   309,18910125, -220,    0
    80,   309,18910126, -224,    0
    80,   309,18910127, -197,    0
    80,   309,18910128, -143,    0
    80,   309,18910129, -199,    0
    80,   309,18910130, -198,    0
    80,   309,18910131, -167,    0
    80,   309,18910201, -154,    0
    80,   309,18910202, -131,    0
    80,   309,18910203,  -51,    0
    80,   309,18910204,  -35,    0
    80,   309,18910205,  -39,    0
    80,   309,18910206,  -43,    0
    80,   309,18910207,  -60,    0
    80,   309,18910208,  -91,    0
    80,   309,18910209,  -62,    0
    80,   309,18910210,  -46,    0
    80,   309,18910211,  -75,    0
    80,   309,18910212, -107,    0
    80,   309,18910213,  -80,    0
    80,   309,18910214, -131,    0
    80,   309,18910215, -157,    0
    80,   309,18910216, -167,    0
    80,   309,18910217,  -90,    0
    80,   309,18910218, -142,    0
    80,   309,18910219, -144,    0
    80,   309,18910220,  -56,    0
    80,   309,18910221,  -36,    0
    80,   309,18910222,  -78,    0
    80,   309,18910223,  -97,    0
    80,   309,18910224,  -59,    0
    80,   309,18910225,  -47,    0
    80,   309,18910226,  -50,    0
    80,   309,18910227, -100,    0
    80,   309,18910228, -117,    0
    80,   309,18910301, -150,    0
    80,   309,18910302, -148,    0
    80,   309,18910303,  -70,    0
    80,   309,18910304,  -27,    0
    80,   309,18910305,  -18,    0
    80,   309,18910306,   -9,    0
    80,   309,18910307,   21,    0
    80,   309,18910308,   14,    0
    80,   309,18910309,   13,    0
    80,   309,18910310,   14,    0
    80,   309,18910311,   28,    0
    80,   309,18910312,   13,    0
    80,   309,18910313,    7,    0
    80,   309,18910314,   -2,    0
    80,   309,18910315,   24,    0
    80,   309,18910316,   28,    0
    80,   309,18910317,   41,    0
    80,   309,18910318,   28,    0
    80,   309,18910319,   20,    0
    80,   309,18910320,   63,    0
    80,   309,18910321,   17,    0
    80,   309,18910322,   64,    0
    80,   309,18910323,   54,    0
    80,   309,18910324,    9,    0
    80,   309,18910325,  -31,    0
    80,   309,18910326,  -45,    0
    80,   309,18910327,  -28,    0
    80,   309,18910328,   23,    0
    80,   309,18910329,   16,    0
    80,   309,18910330,    8,    0
    80,   309,18910331,   39,    0
    80,   309,18910401,   51,    0
    80,   309,18910402,   21,    0
    80,   309,18910403,    7,    0
    80,   309,18910404,   10,    0
    80,   309,18910405,   11,    0
    80,   309,18910406,   11,    0
    80,   309,18910407,   18,    0
    80,   309,18910408,   17,    0
    80,   309,18910409,   18,    0
    80,   309,18910410,   23,    0
    80,   309,18910411,   56,    0
    80,   309,18910412,   48,    0
    80,   309,18910413,   44,    0
    80,   309,18910414,   40,    0
    80,   309,18910415,   42,    0
    80,   309,18910416,   57,    0
    80,   309,18910417,   65,    0
    80,   309,18910418,   51,    0
    80,   309,18910419,   42,    0
    80,   309,18910420,   65,    0
    80,   309,18910421,   79,    0
    80,   309,18910422,   94,    0
    80,   309,18910423,  115,    0
    80,   309,18910424,   77,    0
    80,   309,18910425,   36,    0
    80,   309,18910426,   65,    0
    80,   309,18910427,  101,    0
    80,   309,18910428,  110,    0
    80,   309,18910429,  123,    0
    80,   309,18910430,  105,    0
    80,   309,18910501,   92,    0
    80,   309,18910502,  127,    0
    80,   309,18910503,  188,    0
    80,   309,18910504,  196,    0
    80,   309,18910505,  126,    0
    80,   309,18910506,  101,    0
    80,   309,18910507,   55,    0
    80,   309,18910508,   60,    0
    80,   309,18910509,   90,    0
    80,   309,18910510,   98,    0
    80,   309,18910511,  100,    0
    80,   309,18910512,   46,    0
    80,   309,18910513,   88,    0
    80,   309,18910514,  126,    0
    80,   309,18910515,  125,    0
    80,   309,18910516,  176,    0
    80,   309,18910517,  191,    0
    80,   309,18910518,  194,    0
    80,   309,18910519,  165,    0
    80,   309,18910520,  112,    0
    80,   309,18910521,  165,    0
    80,   309,18910522,  205,    0
    80,   309,18910523,  222,    0
    80,   309,18910524,  228,    0
    80,   309,18910525,  239,    0
    80,   309,18910526,  227,    0
    80,   309,18910527,  197,    0
    80,   309,18910528,  237,    0
    80,   309,18910529,  252,    0
    80,   309,18910530,  237,    0
    80,   309,18910531,  227,    0
    80,   309,18910601,  239,    0
    80,   309,18910602,  229,    0
    80,   309,18910603,  200,    0
    80,   309,18910604,  130,    0
    80,   309,18910605,  124,    0
    80,   309,18910606,   75,    0
    80,   309,18910607,  115,    0
    80,   309,18910608,  101,    0
    80,   309,18910609,  124,    0
    80,   309,18910610,  169,    0
    80,   309,18910611,  126,    0
    80,   309,18910612,  124,    0
    80,   309,18910613,  143,    0
    80,   309,18910614,  110,    0
    80,   309,18910615,  134,    0
    80,   309,18910616,  164,    0
    80,   309,18910617,  181,    0
    80,   309,18910618,  174,    0
    80,   309,18910619,  208,    0
    80,   309,18910620,  234,    0
    80,   309,18910621,  270,    0
    80,   309,18910622,  269,    0
    80,   309,18910623,  241,    0
    80,   309,18910624,  214,    0
    80,   309,18910625,  203,    0
    80,   309,18910626,  208,    0
    80,   309,18910627,  216,    0
    80,   309,18910628,  201,    0
    80,   309,18910629,  217,    0
    80,   309,18910630,  206,    0
    80,   309,18910701,  228,    0
    80,   309,18910702,  220,    0
    80,   309,18910703,  224,    0
    80,   309,18910704,  208,    0
    80,   309,18910705,  243,    0
    80,   309,18910706,  251,    0
    80,   309,18910707,  267,    0
    80,   309,18910708,  207,    0
    80,   309,18910709,  192,    0
    80,   309,18910710,  190,    0
    80,   309,18910711,  190,    0
    80,   309,18910712,  208,    0
    80,   309,18910713,  236,    0
    80,   309,18910714,  260,    0
    80,   309,18910715,  294,    0
    80,   309,18910716,  281,    0
    80,   309,18910717,  239,    0
    80,   309,18910718,  154,    0
    80,   309,18910719,  163,    0
    80,   309,18910720,  208,    0
    80,   309,18910721,  221,    0
    80,   309,18910722,  240,    0
    80,   309,18910723,  224,    0
    80,   309,18910724,  243,    0
    80,   309,18910725,  245,    0
    80,   309,18910726,  243,    0
    80,   309,18910727,  213,    0
    80,   309,18910728,  202,    0
    80,   309,18910729,  216,    0
    80,   309,18910730,  238,    0
    80,   309,18910731,  255,    0
    80,   309,18910801,  189,    0
    80,   309,18910802,  207,    0
    80,   309,18910803,  191,    0
    80,   309,18910804,  200,    0
    80,   309,18910805,  210,    0
    80,   309,18910806,  243,    0
    80,   309,18910807,  182,    0
    80,   309,18910808,  165,    0
    80,   309,18910809,  167,    0
    80,   309,18910810,  156,    0
    80,   309,18910811,  176,    0
    80,   309,18910812,  216,    0
    80,   309,18910813,  211,    0
    80,   309,18910814,  198,    0
    80,   309,18910815,  159,    0
    80,   309,18910816,  153,    0
    80,   309,18910817,  155,    0
    80,   309,18910818,  146,    0
    80,   309,18910819,  141,    0
    80,   309,18910820,  137,    0
