EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOJNAS, RUSSIAN FEDERATION (STAID: 81)
Blended and updated with sources:313 922583 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    81,   313,19120101,-9999,    9
    81,   313,19120102,-9999,    9
    81,   313,19120103,-9999,    9
    81,   313,19120104,-9999,    9
    81,   313,19120105,-9999,    9
    81,   313,19120106,-9999,    9
    81,   313,19120107,-9999,    9
    81,   313,19120108,-9999,    9
    81,   313,19120109,-9999,    9
    81,   313,19120110,-9999,    9
    81,   313,19120111,-9999,    9
    81,   313,19120112,-9999,    9
    81,   313,19120113,-9999,    9
    81,   313,19120114,-9999,    9
    81,   313,19120115,-9999,    9
    81,   313,19120116,-9999,    9
    81,   313,19120117,-9999,    9
    81,   313,19120118,-9999,    9
    81,   313,19120119,-9999,    9
    81,   313,19120120,-9999,    9
    81,   313,19120121,-9999,    9
    81,   313,19120122,-9999,    9
    81,   313,19120123,-9999,    9
    81,   313,19120124,-9999,    9
    81,   313,19120125,-9999,    9
    81,   313,19120126,-9999,    9
    81,   313,19120127,-9999,    9
    81,   313,19120128,-9999,    9
    81,   313,19120129,-9999,    9
    81,   313,19120130,-9999,    9
    81,   313,19120131,-9999,    9
    81,   313,19120201,-9999,    9
    81,   313,19120202,-9999,    9
    81,   313,19120203,-9999,    9
    81,   313,19120204,-9999,    9
    81,   313,19120205,-9999,    9
    81,   313,19120206,-9999,    9
    81,   313,19120207,-9999,    9
    81,   313,19120208,-9999,    9
    81,   313,19120209,-9999,    9
    81,   313,19120210,-9999,    9
    81,   313,19120211,-9999,    9
    81,   313,19120212,-9999,    9
    81,   313,19120213,-9999,    9
    81,   313,19120214,-9999,    9
    81,   313,19120215,-9999,    9
    81,   313,19120216,-9999,    9
    81,   313,19120217,-9999,    9
    81,   313,19120218,-9999,    9
    81,   313,19120219,-9999,    9
    81,   313,19120220,-9999,    9
    81,   313,19120221,-9999,    9
    81,   313,19120222,-9999,    9
    81,   313,19120223,-9999,    9
    81,   313,19120224,-9999,    9
    81,   313,19120225,-9999,    9
    81,   313,19120226,-9999,    9
    81,   313,19120227,-9999,    9
    81,   313,19120228,-9999,    9
    81,   313,19120229,-9999,    9
    81,   313,19120301,-9999,    9
    81,   313,19120302,-9999,    9
    81,   313,19120303,-9999,    9
    81,   313,19120304,-9999,    9
    81,   313,19120305,-9999,    9
    81,   313,19120306,-9999,    9
    81,   313,19120307,-9999,    9
    81,   313,19120308,-9999,    9
    81,   313,19120309,-9999,    9
    81,   313,19120310,-9999,    9
    81,   313,19120311,-9999,    9
    81,   313,19120312,-9999,    9
    81,   313,19120313,-9999,    9
    81,   313,19120314,-9999,    9
    81,   313,19120315,-9999,    9
    81,   313,19120316,-9999,    9
    81,   313,19120317,-9999,    9
    81,   313,19120318,-9999,    9
    81,   313,19120319,-9999,    9
    81,   313,19120320,-9999,    9
    81,   313,19120321,-9999,    9
    81,   313,19120322,-9999,    9
    81,   313,19120323,-9999,    9
    81,   313,19120324,-9999,    9
    81,   313,19120325,-9999,    9
    81,   313,19120326,-9999,    9
    81,   313,19120327,-9999,    9
    81,   313,19120328,-9999,    9
    81,   313,19120329,-9999,    9
    81,   313,19120330,-9999,    9
    81,   313,19120331,-9999,    9
    81,   313,19120401,-9999,    9
    81,   313,19120402,-9999,    9
    81,   313,19120403,-9999,    9
    81,   313,19120404,-9999,    9
    81,   313,19120405,-9999,    9
    81,   313,19120406,-9999,    9
    81,   313,19120407,-9999,    9
    81,   313,19120408,-9999,    9
    81,   313,19120409,-9999,    9
    81,   313,19120410,-9999,    9
    81,   313,19120411,-9999,    9
    81,   313,19120412,-9999,    9
    81,   313,19120413,-9999,    9
    81,   313,19120414,-9999,    9
    81,   313,19120415,-9999,    9
    81,   313,19120416,-9999,    9
    81,   313,19120417,-9999,    9
    81,   313,19120418,-9999,    9
    81,   313,19120419,-9999,    9
    81,   313,19120420,-9999,    9
    81,   313,19120421,-9999,    9
    81,   313,19120422,-9999,    9
    81,   313,19120423,-9999,    9
    81,   313,19120424,-9999,    9
    81,   313,19120425,-9999,    9
    81,   313,19120426,-9999,    9
    81,   313,19120427,-9999,    9
    81,   313,19120428,-9999,    9
    81,   313,19120429,-9999,    9
    81,   313,19120430,-9999,    9
    81,   313,19120501,-9999,    9
    81,   313,19120502,-9999,    9
    81,   313,19120503,-9999,    9
    81,   313,19120504,-9999,    9
    81,   313,19120505,-9999,    9
    81,   313,19120506,-9999,    9
    81,   313,19120507,-9999,    9
    81,   313,19120508,-9999,    9
