EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOSTROMA, RUSSIAN FEDERATION (STAID: 82)
Blended and updated with sources:317 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    82,   317,19250101, -131,    0
    82,   317,19250102,  -71,    0
    82,   317,19250103,  -15,    0
    82,   317,19250104,   21,    0
    82,   317,19250105,    1,    0
    82,   317,19250106,  -13,    0
    82,   317,19250107,   -9,    0
    82,   317,19250108,  -64,    0
    82,   317,19250109, -119,    0
    82,   317,19250110,  -92,    0
    82,   317,19250111, -139,    0
    82,   317,19250112, -214,    0
    82,   317,19250113, -187,    0
    82,   317,19250114,  -10,    0
    82,   317,19250115,   -7,    0
    82,   317,19250116,    5,    0
    82,   317,19250117,    2,    0
    82,   317,19250118,  -29,    0
    82,   317,19250119,   -4,    0
    82,   317,19250120,  -51,    0
    82,   317,19250121,  -56,    0
    82,   317,19250122,  -23,    0
    82,   317,19250123, -100,    0
    82,   317,19250124, -132,    0
    82,   317,19250125, -121,    0
    82,   317,19250126,  -74,    0
    82,   317,19250127,  -88,    0
    82,   317,19250128, -104,    0
    82,   317,19250129, -196,    0
    82,   317,19250130, -203,    0
    82,   317,19250131, -107,    0
    82,   317,19250201,  -84,    0
    82,   317,19250202, -108,    0
    82,   317,19250203,  -71,    0
    82,   317,19250204,  -31,    0
    82,   317,19250205,  -12,    0
    82,   317,19250206,  -21,    0
    82,   317,19250207,   10,    0
    82,   317,19250208,    6,    0
    82,   317,19250209,   -9,    0
    82,   317,19250210,  -30,    0
    82,   317,19250211,   -3,    0
    82,   317,19250212,   22,    0
    82,   317,19250213,    2,    0
    82,   317,19250214,   -2,    0
    82,   317,19250215,   -2,    0
    82,   317,19250216,   -3,    0
    82,   317,19250217,    3,    0
    82,   317,19250218,    4,    0
    82,   317,19250219,    8,    0
    82,   317,19250220,    7,    0
    82,   317,19250221,  -36,    0
    82,   317,19250222, -201,    0
    82,   317,19250223, -128,    0
    82,   317,19250224, -122,    0
    82,   317,19250225,  -65,    0
    82,   317,19250226,  -79,    0
    82,   317,19250227,  -98,    0
    82,   317,19250228,  -79,    0
    82,   317,19250301,  -47,    0
    82,   317,19250302,   -7,    0
    82,   317,19250303,  -68,    0
    82,   317,19250304, -119,    0
    82,   317,19250305,  -89,    0
    82,   317,19250306,  -46,    0
    82,   317,19250307,    4,    0
    82,   317,19250308,    5,    0
    82,   317,19250309,  -14,    0
    82,   317,19250310,   -8,    0
    82,   317,19250311,   10,    0
    82,   317,19250312,  -27,    0
    82,   317,19250313,  -64,    0
    82,   317,19250314,  -59,    0
    82,   317,19250315,  -89,    0
    82,   317,19250316,  -45,    0
    82,   317,19250317,  -43,    0
    82,   317,19250318,  -71,    0
    82,   317,19250319,  -65,    0
    82,   317,19250320,  -44,    0
    82,   317,19250321,   -5,    0
    82,   317,19250322,   -9,    0
    82,   317,19250323,   19,    0
    82,   317,19250324,   19,    0
    82,   317,19250325,   10,    0
    82,   317,19250326,  -31,    0
    82,   317,19250327,  -41,    0
    82,   317,19250328,  -24,    0
    82,   317,19250329,    1,    0
    82,   317,19250330,    9,    0
    82,   317,19250331,   24,    0
    82,   317,19250401,   15,    0
    82,   317,19250402,   24,    0
    82,   317,19250403,   40,    0
    82,   317,19250404,   32,    0
    82,   317,19250405,   36,    0
    82,   317,19250406,   11,    0
    82,   317,19250407,    9,    0
    82,   317,19250408,   26,    0
    82,   317,19250409,   43,    0
    82,   317,19250410,   39,    0
    82,   317,19250411,   25,    0
    82,   317,19250412,    8,    0
    82,   317,19250413,   34,    0
    82,   317,19250414,   52,    0
    82,   317,19250415,   67,    0
    82,   317,19250416,   78,    0
    82,   317,19250417,   89,    0
    82,   317,19250418,   96,    0
    82,   317,19250419,   97,    0
    82,   317,19250420,   76,    0
    82,   317,19250421,   78,    0
    82,   317,19250422,   35,    0
    82,   317,19250423,   -6,    0
    82,   317,19250424,    7,    0
    82,   317,19250425,   39,    0
    82,   317,19250426,  130,    0
    82,   317,19250427,  163,    0
    82,   317,19250428,  147,    0
    82,   317,19250429,  110,    0
    82,   317,19250430,  153,    0
    82,   317,19250501,  175,    0
    82,   317,19250502,  136,    0
    82,   317,19250503,  134,    0
    82,   317,19250504,  133,    0
    82,   317,19250505,  144,    0
    82,   317,19250506,  114,    0
    82,   317,19250507,  102,    0
    82,   317,19250508,  104,    0
    82,   317,19250509,  127,    0
    82,   317,19250510,  157,    0
    82,   317,19250511,  173,    0
    82,   317,19250512,  184,    0
    82,   317,19250513,  214,    0
