EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOTLAS, RUSSIAN FEDERATION (STAID: 83)
Blended and updated with sources:321 922887 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    83,   321,19360101,  -12,    0
    83,   321,19360102,  -11,    0
    83,   321,19360103,   10,    0
    83,   321,19360104,   -2,    0
    83,   321,19360105,  -22,    0
    83,   321,19360106,    8,    0
    83,   321,19360107,  -56,    0
    83,   321,19360108, -129,    0
    83,   321,19360109, -121,    0
    83,   321,19360110, -160,    0
    83,   321,19360111,  -86,    0
    83,   321,19360112,  -90,    0
    83,   321,19360113, -109,    0
    83,   321,19360114,  -66,    0
    83,   321,19360115,  -55,    0
    83,   321,19360116,  -68,    0
    83,   321,19360117,  -82,    0
    83,   321,19360118, -168,    0
    83,   321,19360119, -203,    0
    83,   321,19360120,  -96,    0
    83,   321,19360121,  -53,    0
    83,   321,19360122,  -42,    0
    83,   321,19360123,  -26,    0
    83,   321,19360124,  -24,    0
    83,   321,19360125,  -75,    0
    83,   321,19360126,  -68,    0
    83,   321,19360127,  -89,    0
    83,   321,19360128, -145,    0
    83,   321,19360129, -229,    0
    83,   321,19360130, -366,    0
    83,   321,19360131, -342,    0
    83,   321,19360201, -235,    0
    83,   321,19360202, -132,    0
    83,   321,19360203, -100,    0
    83,   321,19360204,  -52,    0
    83,   321,19360205,   -9,    0
    83,   321,19360206,  -24,    0
    83,   321,19360207, -104,    0
    83,   321,19360208, -268,    0
    83,   321,19360209, -304,    0
    83,   321,19360210, -367,    0
    83,   321,19360211, -291,    0
    83,   321,19360212, -298,    0
    83,   321,19360213, -208,    0
    83,   321,19360214, -204,    0
    83,   321,19360215, -132,    0
    83,   321,19360216, -173,    0
    83,   321,19360217, -153,    0
    83,   321,19360218, -158,    0
    83,   321,19360219, -135,    0
    83,   321,19360220, -147,    0
    83,   321,19360221, -168,    0
