EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRASNOUFIMSK, RUSSIAN FEDERATION (STAID: 84)
Blended and updated with sources:325 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    84,   325,19360101,  -94,    0
    84,   325,19360102,  -93,    0
    84,   325,19360103,  -61,    0
    84,   325,19360104,  -46,    0
    84,   325,19360105,  -60,    0
    84,   325,19360106,  -91,    0
    84,   325,19360107,  -78,    0
    84,   325,19360108, -111,    0
    84,   325,19360109, -116,    0
    84,   325,19360110,  -87,    0
    84,   325,19360111, -116,    0
    84,   325,19360112, -187,    0
    84,   325,19360113,  -73,    0
    84,   325,19360114,  -97,    0
    84,   325,19360115,  -81,    0
    84,   325,19360116, -132,    0
    84,   325,19360117, -103,    0
    84,   325,19360118, -132,    0
    84,   325,19360119, -125,    0
    84,   325,19360120, -148,    0
    84,   325,19360121, -127,    0
    84,   325,19360122, -116,    0
    84,   325,19360123, -117,    0
    84,   325,19360124,  -80,    0
    84,   325,19360125, -106,    0
    84,   325,19360126, -156,    0
    84,   325,19360127, -239,    0
    84,   325,19360128, -233,    0
    84,   325,19360129, -234,    0
    84,   325,19360130, -237,    0
    84,   325,19360131, -241,    0
    84,   325,19360201, -235,    0
    84,   325,19360202, -239,    0
    84,   325,19360203, -184,    0
    84,   325,19360204,  -87,    0
    84,   325,19360205,  -68,    0
    84,   325,19360206,  -70,    0
    84,   325,19360207, -104,    0
    84,   325,19360208,  -88,    0
    84,   325,19360209, -221,    0
    84,   325,19360210, -176,    0
    84,   325,19360211,  -73,    0
    84,   325,19360212, -179,    0
    84,   325,19360213, -298,    0
    84,   325,19360214, -103,    0
    84,   325,19360215,  -73,    0
    84,   325,19360216,  -79,    0
    84,   325,19360217,  -74,    0
    84,   325,19360218, -140,    0
    84,   325,19360219,  -98,    0
    84,   325,19360220, -132,    0
    84,   325,19360221, -172,    0
    84,   325,19360222, -226,    0
    84,   325,19360223, -212,    0
    84,   325,19360224, -190,    0
    84,   325,19360225,  -93,    0
    84,   325,19360226, -108,    0
    84,   325,19360227, -110,    0
    84,   325,19360228, -115,    0
    84,   325,19360229,  -92,    0
    84,   325,19360301, -145,    0
    84,   325,19360302,  -86,    0
    84,   325,19360303,  -48,    0
    84,   325,19360304,  -62,    0
    84,   325,19360305,  -74,    0
    84,   325,19360306,  -32,    0
    84,   325,19360307,  -22,    0
    84,   325,19360308, -120,    0
    84,   325,19360309, -116,    0
    84,   325,19360310,  -14,    0
    84,   325,19360311,  -42,    0
    84,   325,19360312,  -62,    0
    84,   325,19360313,  -58,    0
    84,   325,19360314,  -58,    0
    84,   325,19360315, -120,    0
    84,   325,19360316, -167,    0
    84,   325,19360317, -131,    0
    84,   325,19360318,  -85,    0
    84,   325,19360319,  -42,    0
    84,   325,19360320,  -36,    0
    84,   325,19360321,  -29,    0
    84,   325,19360322,  -52,    0
    84,   325,19360323,  -76,    0
    84,   325,19360324,  -85,    0
    84,   325,19360325, -124,    0
    84,   325,19360326, -154,    0
    84,   325,19360327, -144,    0
    84,   325,19360328, -123,    0
    84,   325,19360329, -172,    0
    84,   325,19360330, -103,    0
    84,   325,19360331, -118,    0
    84,   325,19360401,  -85,    0
    84,   325,19360402,  -20,    0
    84,   325,19360403,  -15,    0
    84,   325,19360404,  -24,    0
    84,   325,19360405,  -39,    0
    84,   325,19360406,  -16,    0
    84,   325,19360407,   24,    0
    84,   325,19360408,   -4,    0
    84,   325,19360409,  -24,    0
    84,   325,19360410,   13,    0
    84,   325,19360411,    2,    0
    84,   325,19360412,   -6,    0
    84,   325,19360413,   -4,    0
    84,   325,19360414,   28,    0
    84,   325,19360415,   46,    0
    84,   325,19360416,   42,    0
    84,   325,19360417,   33,    0
    84,   325,19360418,   38,    0
    84,   325,19360419,   39,    0
    84,   325,19360420,   43,    0
    84,   325,19360421,   54,    0
    84,   325,19360422,   90,    0
    84,   325,19360423,   90,    0
    84,   325,19360424,   88,    0
    84,   325,19360425,  103,    0
    84,   325,19360426,  118,    0
    84,   325,19360427,  106,    0
    84,   325,19360428,   53,    0
    84,   325,19360429,   23,    0
    84,   325,19360430,   58,    0
    84,   325,19360501,  111,    0
    84,   325,19360502,  116,    0
    84,   325,19360503,   86,    0
    84,   325,19360504,   44,    0
    84,   325,19360505,   37,    0
    84,   325,19360506,   16,    0
    84,   325,19360507,   52,    0
    84,   325,19360508,   83,    0
    84,   325,19360509,   46,    0
    84,   325,19360510,   63,    0
    84,   325,19360511,   55,    0
    84,   325,19360512,   69,    0
    84,   325,19360513,  100,    0
    84,   325,19360514,  133,    0
