EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANKT-PETERBURG, RUSSIAN FEDERATION (STAID: 85)
Blended and updated with sources:329 926063 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    85,   329,18810101,   -2,    0
    85,   329,18810102,  -11,    0
    85,   329,18810103,   11,    0
    85,   329,18810104,   17,    0
    85,   329,18810105,  -61,    0
    85,   329,18810106,  -76,    0
    85,   329,18810107,  -55,    0
    85,   329,18810108, -108,    0
    85,   329,18810109, -106,    0
    85,   329,18810110, -134,    0
    85,   329,18810111, -190,    0
    85,   329,18810112, -236,    0
    85,   329,18810113, -185,    0
    85,   329,18810114, -221,    0
    85,   329,18810115, -144,    0
    85,   329,18810116, -155,    0
    85,   329,18810117, -220,    0
    85,   329,18810118, -222,    0
    85,   329,18810119, -224,    0
    85,   329,18810120, -194,    0
    85,   329,18810121, -184,    0
    85,   329,18810122, -198,    0
    85,   329,18810123, -164,    0
    85,   329,18810124, -123,    0
    85,   329,18810125,  -62,    0
    85,   329,18810126,  -15,    0
    85,   329,18810127,  -75,    0
    85,   329,18810128,  -82,    0
    85,   329,18810129, -110,    0
    85,   329,18810130,  -60,    0
    85,   329,18810131,  -48,    0
    85,   329,18810201,  -43,    0
    85,   329,18810202,  -12,    0
    85,   329,18810203,  -64,    0
    85,   329,18810204, -220,    0
    85,   329,18810205, -178,    0
    85,   329,18810206,  -80,    0
    85,   329,18810207,  -86,    0
    85,   329,18810208, -170,    0
    85,   329,18810209, -108,    0
    85,   329,18810210,  -61,    0
    85,   329,18810211,    7,    0
    85,   329,18810212,    7,    0
    85,   329,18810213, -102,    0
    85,   329,18810214, -106,    0
    85,   329,18810215,  -55,    0
