EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MURMANSK, RUSSIAN FEDERATION (STAID: 86)
Blended and updated with sources:333 922113 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    86,   333,19360101,  -42,    0
    86,   333,19360102,  -30,    0
    86,   333,19360103, -108,    0
    86,   333,19360104, -156,    0
    86,   333,19360105, -192,    0
    86,   333,19360106, -178,    0
    86,   333,19360107,  -96,    0
    86,   333,19360108, -156,    0
    86,   333,19360109, -180,    0
    86,   333,19360110, -100,    0
    86,   333,19360111,  -57,    0
    86,   333,19360112,  -22,    0
    86,   333,19360113,  -21,    0
    86,   333,19360114,  -34,    0
    86,   333,19360115,  -55,    0
    86,   333,19360116,  -80,    0
    86,   333,19360117, -144,    0
    86,   333,19360118, -193,    0
    86,   333,19360119, -163,    0
    86,   333,19360120, -116,    0
    86,   333,19360121, -173,    0
    86,   333,19360122, -189,    0
    86,   333,19360123,  -93,    0
    86,   333,19360124, -121,    0
    86,   333,19360125, -148,    0
    86,   333,19360126, -144,    0
    86,   333,19360127, -152,    0
    86,   333,19360128, -188,    0
    86,   333,19360129, -261,    0
    86,   333,19360130, -153,    0
    86,   333,19360131,  -92,    0
    86,   333,19360201, -128,    0
    86,   333,19360202, -124,    0
    86,   333,19360203, -150,    0
    86,   333,19360204, -176,    0
    86,   333,19360205, -127,    0
    86,   333,19360206, -119,    0
    86,   333,19360207, -192,    0
    86,   333,19360208, -215,    0
    86,   333,19360209, -190,    0
    86,   333,19360210, -121,    0
    86,   333,19360211, -136,    0
    86,   333,19360212, -181,    0
    86,   333,19360213, -252,    0
    86,   333,19360214, -235,    0
    86,   333,19360215, -299,    0
    86,   333,19360216, -287,    0
    86,   333,19360217, -254,    0
    86,   333,19360218, -261,    0
    86,   333,19360219, -146,    0
    86,   333,19360220, -166,    0
    86,   333,19360221, -182,    0
    86,   333,19360222, -227,    0
    86,   333,19360223, -192,    0
    86,   333,19360224, -104,    0
    86,   333,19360225,  -69,    0
    86,   333,19360226,  -93,    0
    86,   333,19360227, -139,    0
    86,   333,19360228, -164,    0
    86,   333,19360229, -147,    0
    86,   333,19360301, -136,    0
    86,   333,19360302, -109,    0
    86,   333,19360303,  -98,    0
    86,   333,19360304,  -98,    0
    86,   333,19360305, -102,    0
    86,   333,19360306, -112,    0
    86,   333,19360307, -154,    0
    86,   333,19360308,  -64,    0
    86,   333,19360309,  -37,    0
    86,   333,19360310,  -23,    0
    86,   333,19360311,  -56,    0
    86,   333,19360312,  -81,    0
    86,   333,19360313,  -49,    0
    86,   333,19360314,  -50,    0
    86,   333,19360315,  -61,    0
    86,   333,19360316,  -26,    0
    86,   333,19360317,  -70,    0
    86,   333,19360318,  -80,    0
    86,   333,19360319,  -54,    0
    86,   333,19360320,  -47,    0
    86,   333,19360321,  -72,    0
    86,   333,19360322,  -50,    0
    86,   333,19360323,  -53,    0
    86,   333,19360324,  -62,    0
    86,   333,19360325,  -91,    0
    86,   333,19360326,  -84,    0
    86,   333,19360327,  -52,    0
    86,   333,19360328,  -55,    0
    86,   333,19360329,  -66,    0
    86,   333,19360330,  -77,    0
    86,   333,19360331,    4,    0
    86,   333,19360401,   32,    0
    86,   333,19360402,    2,    0
    86,   333,19360403,  -49,    0
    86,   333,19360404,  -82,    0
    86,   333,19360405, -102,    0
    86,   333,19360406,  -77,    0
    86,   333,19360407,  -88,    0
    86,   333,19360408,  -50,    0
    86,   333,19360409,   -4,    0
    86,   333,19360410,  -18,    0
    86,   333,19360411,   -2,    0
    86,   333,19360412,    6,    0
    86,   333,19360413,  -10,    0
    86,   333,19360414,  -52,    0
    86,   333,19360415,  -45,    0
    86,   333,19360416,  -48,    0
    86,   333,19360417,  -46,    0
    86,   333,19360418,  -59,    0
    86,   333,19360419,  -34,    0
    86,   333,19360420,  -29,    0
    86,   333,19360421,   48,    0
    86,   333,19360422,   53,    0
    86,   333,19360423,   21,    0
    86,   333,19360424,   12,    0
    86,   333,19360425,   18,    0
    86,   333,19360426,   46,    0
    86,   333,19360427,   57,    0
    86,   333,19360428,   62,    0
    86,   333,19360429,   46,    0
    86,   333,19360430,   48,    0
    86,   333,19360501,   52,    0
    86,   333,19360502,   28,    0
    86,   333,19360503,   47,    0
    86,   333,19360504,   72,    0
    86,   333,19360505,   85,    0
    86,   333,19360506,   65,    0
    86,   333,19360507,   42,    0
    86,   333,19360508,   37,    0
    86,   333,19360509,   54,    0
    86,   333,19360510,   46,    0
    86,   333,19360511,   64,    0
    86,   333,19360512,   56,    0
    86,   333,19360513,   41,    0
    86,   333,19360514,   16,    0
    86,   333,19360515,   56,    0
    86,   333,19360516,   78,    0
    86,   333,19360517,   70,    0
    86,   333,19360518,   65,    0
    86,   333,19360519,   93,    0
    86,   333,19360520,  111,    0
    86,   333,19360521,   79,    0
    86,   333,19360522,   27,    0
    86,   333,19360523,   23,    0
    86,   333,19360524,   82,    0
    86,   333,19360525,   56,    0
    86,   333,19360526,   57,    0
    86,   333,19360527,   24,    0
    86,   333,19360528,   10,    0
    86,   333,19360529,    4,    0
    86,   333,19360530,   -5,    0
    86,   333,19360531,   56,    0
    86,   333,19360601,   80,    0
    86,   333,19360602,   93,    0
    86,   333,19360603,  102,    0
    86,   333,19360604,   70,    0
    86,   333,19360605,   62,    0
    86,   333,19360606,  104,    0
    86,   333,19360607,  186,    0
    86,   333,19360608,  202,    0
    86,   333,19360609,  217,    0
    86,   333,19360610,  210,    0
    86,   333,19360611,  197,    0
    86,   333,19360612,   92,    0
    86,   333,19360613,  134,    0
    86,   333,19360614,  188,    0
    86,   333,19360615,  187,    0
    86,   333,19360616,  198,    0
    86,   333,19360617,  210,    0
    86,   333,19360618,  153,    0
    86,   333,19360619,  126,    0
    86,   333,19360620,  155,    0
    86,   333,19360621,  176,    0
    86,   333,19360622,  136,    0
    86,   333,19360623,   84,    0
    86,   333,19360624,  104,    0
    86,   333,19360625,   82,    0
    86,   333,19360626,   62,    0
    86,   333,19360627,   64,    0
    86,   333,19360628,   68,    0
    86,   333,19360629,   85,    0
    86,   333,19360630,   79,    0
    86,   333,19360701,   82,    0
    86,   333,19360702,   91,    0
    86,   333,19360703,  141,    0
    86,   333,19360704,  169,    0
    86,   333,19360705,  114,    0
    86,   333,19360706,  151,    0
    86,   333,19360707,  138,    0
    86,   333,19360708,   86,    0
    86,   333,19360709,   73,    0
    86,   333,19360710,   74,    0
    86,   333,19360711,   71,    0
    86,   333,19360712,  134,    0
    86,   333,19360713,  163,    0
    86,   333,19360714,  168,    0
    86,   333,19360715,   93,    0
    86,   333,19360716,   68,    0
    86,   333,19360717,   82,    0
    86,   333,19360718,   73,    0
    86,   333,19360719,   68,    0
    86,   333,19360720,  100,    0
    86,   333,19360721,  143,    0
    86,   333,19360722,  155,    0
    86,   333,19360723,  135,    0
    86,   333,19360724,  178,    0
    86,   333,19360725,  200,    0
    86,   333,19360726,  218,    0
    86,   333,19360727,  210,    0
    86,   333,19360728,  165,    0
    86,   333,19360729,  162,    0
    86,   333,19360730,  134,    0
    86,   333,19360731,  141,    0
    86,   333,19360801,  111,    0
    86,   333,19360802,  126,    0
    86,   333,19360803,  180,    0
    86,   333,19360804,  200,    0
    86,   333,19360805,  160,    0
    86,   333,19360806,  139,    0
    86,   333,19360807,  122,    0
    86,   333,19360808,  110,    0
    86,   333,19360809,   88,    0
    86,   333,19360810,  129,    0
    86,   333,19360811,  130,    0
    86,   333,19360812,  146,    0
    86,   333,19360813,  125,    0
    86,   333,19360814,   91,    0
    86,   333,19360815,   92,    0
    86,   333,19360816,  114,    0
    86,   333,19360817,  164,    0
    86,   333,19360818,  142,    0
    86,   333,19360819,  161,    0
    86,   333,19360820,  168,    0
    86,   333,19360821,  153,    0
    86,   333,19360822,  169,    0
    86,   333,19360823,  173,    0
    86,   333,19360824,  158,    0
    86,   333,19360825,  152,    0
    86,   333,19360826,  136,    0
    86,   333,19360827,  117,    0
    86,   333,19360828,  107,    0
    86,   333,19360829,   74,    0
    86,   333,19360830,   61,    0
    86,   333,19360831,   84,    0
    86,   333,19360901,   86,    0
    86,   333,19360902,  104,    0
    86,   333,19360903,   98,    0
    86,   333,19360904,   80,    0
    86,   333,19360905,   77,    0
    86,   333,19360906,   59,    0
    86,   333,19360907,   41,    0
