EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOSKVA VDNX, RUSSIAN FEDERATION (STAID: 87)
Blended and updated with sources:337 927612 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    87,   337,19480101,-9999,    9
    87,   337,19480102,-9999,    9
    87,   337,19480103,-9999,    9
    87,   337,19480104,-9999,    9
    87,   337,19480105,-9999,    9
    87,   337,19480106,-9999,    9
    87,   337,19480107,-9999,    9
    87,   337,19480108,-9999,    9
    87,   337,19480109,-9999,    9
    87,   337,19480110,-9999,    9
    87,   337,19480111,-9999,    9
    87,   337,19480112,-9999,    9
    87,   337,19480113,-9999,    9
    87,   337,19480114,-9999,    9
    87,   337,19480115,-9999,    9
    87,   337,19480116,-9999,    9
    87,   337,19480117,-9999,    9
    87,   337,19480118,-9999,    9
    87,   337,19480119,-9999,    9
    87,   337,19480120,-9999,    9
    87,   337,19480121,-9999,    9
    87,   337,19480122,-9999,    9
    87,   337,19480123,-9999,    9
    87,   337,19480124,-9999,    9
    87,   337,19480125,-9999,    9
    87,   337,19480126,-9999,    9
    87,   337,19480127,-9999,    9
    87,   337,19480128,-9999,    9
    87,   337,19480129,-9999,    9
    87,   337,19480130,-9999,    9
    87,   337,19480131,-9999,    9
    87,   337,19480201,-9999,    9
    87,   337,19480202,-9999,    9
    87,   337,19480203,-9999,    9
    87,   337,19480204,-9999,    9
    87,   337,19480205,-9999,    9
    87,   337,19480206,-9999,    9
    87,   337,19480207,-9999,    9
    87,   337,19480208,-9999,    9
    87,   337,19480209,-9999,    9
    87,   337,19480210,-9999,    9
    87,   337,19480211,-9999,    9
    87,   337,19480212,-9999,    9
    87,   337,19480213,-9999,    9
    87,   337,19480214,-9999,    9
    87,   337,19480215,-9999,    9
    87,   337,19480216,-9999,    9
    87,   337,19480217,-9999,    9
    87,   337,19480218,-9999,    9
    87,   337,19480219,-9999,    9
    87,   337,19480220,-9999,    9
    87,   337,19480221,-9999,    9
    87,   337,19480222,-9999,    9
    87,   337,19480223,-9999,    9
    87,   337,19480224,-9999,    9
    87,   337,19480225,-9999,    9
    87,   337,19480226,-9999,    9
    87,   337,19480227,-9999,    9
    87,   337,19480228,-9999,    9
    87,   337,19480229,-9999,    9
    87,   337,19480301,-9999,    9
    87,   337,19480302,-9999,    9
    87,   337,19480303,-9999,    9
    87,   337,19480304,-9999,    9
    87,   337,19480305,-9999,    9
    87,   337,19480306,-9999,    9
    87,   337,19480307,-9999,    9
    87,   337,19480308,-9999,    9
    87,   337,19480309,-9999,    9
    87,   337,19480310,-9999,    9
    87,   337,19480311,-9999,    9
    87,   337,19480312,-9999,    9
    87,   337,19480313,-9999,    9
    87,   337,19480314,-9999,    9
    87,   337,19480315,-9999,    9
    87,   337,19480316,-9999,    9
    87,   337,19480317,-9999,    9
    87,   337,19480318,-9999,    9
    87,   337,19480319,-9999,    9
    87,   337,19480320,-9999,    9
    87,   337,19480321,-9999,    9
    87,   337,19480322,-9999,    9
    87,   337,19480323,-9999,    9
    87,   337,19480324,-9999,    9
    87,   337,19480325,-9999,    9
    87,   337,19480326,-9999,    9
    87,   337,19480327,-9999,    9
    87,   337,19480328,-9999,    9
    87,   337,19480329,-9999,    9
    87,   337,19480330,-9999,    9
    87,   337,19480331,-9999,    9
    87,   337,19480401,-9999,    9
    87,   337,19480402,-9999,    9
    87,   337,19480403,-9999,    9
    87,   337,19480404,-9999,    9
    87,   337,19480405,-9999,    9
    87,   337,19480406,-9999,    9
    87,   337,19480407,-9999,    9
    87,   337,19480408,-9999,    9
    87,   337,19480409,-9999,    9
    87,   337,19480410,-9999,    9
    87,   337,19480411,-9999,    9
    87,   337,19480412,-9999,    9
    87,   337,19480413,-9999,    9
