EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UFA, RUSSIAN FEDERATION (STAID: 89)
Blended and updated with sources:345 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    89,   345,19000101, -268,    0
    89,   345,19000102, -194,    0
    89,   345,19000103, -188,    0
    89,   345,19000104, -174,    0
    89,   345,19000105, -186,    0
    89,   345,19000106, -245,    0
    89,   345,19000107, -172,    0
    89,   345,19000108, -145,    0
    89,   345,19000109, -219,    0
    89,   345,19000110, -197,    0
    89,   345,19000111, -232,    0
    89,   345,19000112, -235,    0
    89,   345,19000113, -199,    0
    89,   345,19000114, -151,    0
    89,   345,19000115, -168,    0
    89,   345,19000116, -212,    0
    89,   345,19000117, -204,    0
    89,   345,19000118, -233,    0
    89,   345,19000119, -223,    0
    89,   345,19000120, -239,    0
    89,   345,19000121, -249,    0
    89,   345,19000122, -243,    0
    89,   345,19000123, -205,    0
    89,   345,19000124, -196,    0
    89,   345,19000125, -186,    0
    89,   345,19000126, -156,    0
    89,   345,19000127, -180,    0
    89,   345,19000128, -215,    0
    89,   345,19000129, -175,    0
    89,   345,19000130, -153,    0
    89,   345,19000131, -134,    0
    89,   345,19000201, -173,    0
    89,   345,19000202, -157,    0
    89,   345,19000203, -179,    0
    89,   345,19000204, -160,    0
    89,   345,19000205, -154,    0
    89,   345,19000206, -173,    0
    89,   345,19000207, -158,    0
    89,   345,19000208, -162,    0
    89,   345,19000209, -145,    0
    89,   345,19000210, -134,    0
    89,   345,19000211, -137,    0
    89,   345,19000212, -157,    0
    89,   345,19000213, -170,    0
    89,   345,19000214, -185,    0
    89,   345,19000215,  -87,    0
    89,   345,19000216, -109,    0
    89,   345,19000217, -127,    0
    89,   345,19000218, -236,    0
    89,   345,19000219, -268,    0
    89,   345,19000220, -258,    0
    89,   345,19000221, -195,    0
    89,   345,19000222, -176,    0
    89,   345,19000223, -149,    0
    89,   345,19000224, -124,    0
    89,   345,19000225,  -97,    0
    89,   345,19000226,  -96,    0
    89,   345,19000227,  -93,    0
    89,   345,19000228,  -83,    0
    89,   345,19000301,  -81,    0
    89,   345,19000302,  -67,    0
    89,   345,19000303,  -53,    0
    89,   345,19000304,  -53,    0
    89,   345,19000305,  -79,    0
    89,   345,19000306,  -23,    0
    89,   345,19000307,  -83,    0
    89,   345,19000308, -155,    0
    89,   345,19000309,  -69,    0
    89,   345,19000310,  -91,    0
    89,   345,19000311, -125,    0
    89,   345,19000312,  -37,    0
    89,   345,19000313,  -22,    0
    89,   345,19000314,  -32,    0
    89,   345,19000315,    4,    0
    89,   345,19000316,    8,    0
    89,   345,19000317,  -16,    0
    89,   345,19000318,  -43,    0
    89,   345,19000319,  -31,    0
    89,   345,19000320,  -53,    0
    89,   345,19000321,  -60,    0
    89,   345,19000322,  -90,    0
    89,   345,19000323,  -80,    0
    89,   345,19000324,  -15,    0
    89,   345,19000325,  -27,    0
