EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ONEGA, RUSSIAN FEDERATION (STAID: 90)
Blended and updated with sources:349 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    90,   349,19360101,   -4,    0
    90,   349,19360102,    8,    0
    90,   349,19360103,  -26,    0
    90,   349,19360104,  -16,    0
    90,   349,19360105,    6,    0
    90,   349,19360106,  -45,    0
    90,   349,19360107,  -92,    0
    90,   349,19360108, -174,    0
    90,   349,19360109, -277,    0
    90,   349,19360110, -193,    0
    90,   349,19360111,  -80,    0
    90,   349,19360112,  -36,    0
    90,   349,19360113,  -58,    0
    90,   349,19360114,  -78,    0
    90,   349,19360115,  -58,    0
    90,   349,19360116,  -86,    0
    90,   349,19360117, -111,    0
    90,   349,19360118, -114,    0
    90,   349,19360119, -120,    0
    90,   349,19360120,  -94,    0
    90,   349,19360121,  -49,    0
    90,   349,19360122,  -40,    0
    90,   349,19360123,  -19,    0
    90,   349,19360124,  -39,    0
    90,   349,19360125, -138,    0
    90,   349,19360126, -148,    0
    90,   349,19360127, -154,    0
    90,   349,19360128, -177,    0
    90,   349,19360129, -328,    0
    90,   349,19360130, -304,    0
    90,   349,19360131, -240,    0
    90,   349,19360201, -184,    0
    90,   349,19360202, -115,    0
    90,   349,19360203, -108,    0
    90,   349,19360204,  -74,    0
    90,   349,19360205,    1,    0
    90,   349,19360206,  -98,    0
