EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ORENBURG, RUSSIAN FEDERATION (STAID: 91)
Blended and updated with sources:353 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    91,   353,18860101,-9999,    9
    91,   353,18860102,-9999,    9
    91,   353,18860103,-9999,    9
    91,   353,18860104,-9999,    9
    91,   353,18860105,-9999,    9
    91,   353,18860106,-9999,    9
    91,   353,18860107,-9999,    9
    91,   353,18860108,-9999,    9
    91,   353,18860109,-9999,    9
    91,   353,18860110,-9999,    9
    91,   353,18860111,-9999,    9
    91,   353,18860112,-9999,    9
    91,   353,18860113,-9999,    9
    91,   353,18860114,-9999,    9
    91,   353,18860115,-9999,    9
    91,   353,18860116,-9999,    9
    91,   353,18860117,-9999,    9
    91,   353,18860118,-9999,    9
    91,   353,18860119,-9999,    9
    91,   353,18860120,-9999,    9
    91,   353,18860121,-9999,    9
    91,   353,18860122,-9999,    9
    91,   353,18860123,-9999,    9
    91,   353,18860124,-9999,    9
    91,   353,18860125,-9999,    9
    91,   353,18860126,-9999,    9
    91,   353,18860127,-9999,    9
    91,   353,18860128,-9999,    9
    91,   353,18860129,-9999,    9
    91,   353,18860130,-9999,    9
    91,   353,18860131,-9999,    9
    91,   353,18860201, -202,    0
    91,   353,18860202, -262,    0
    91,   353,18860203, -263,    0
    91,   353,18860204, -252,    0
    91,   353,18860205, -223,    0
    91,   353,18860206, -204,    0
    91,   353,18860207, -175,    0
    91,   353,18860208, -214,    0
    91,   353,18860209, -187,    0
    91,   353,18860210, -176,    0
    91,   353,18860211, -211,    0
    91,   353,18860212, -123,    0
    91,   353,18860213,  -85,    0
    91,   353,18860214,  -75,    0
    91,   353,18860215, -102,    0
    91,   353,18860216, -171,    0
    91,   353,18860217, -184,    0
    91,   353,18860218, -192,    0
    91,   353,18860219, -231,    0
    91,   353,18860220, -207,    0
    91,   353,18860221, -179,    0
    91,   353,18860222, -190,    0
    91,   353,18860223, -220,    0
    91,   353,18860224, -171,    0
    91,   353,18860225, -150,    0
    91,   353,18860226,  -99,    0
    91,   353,18860227, -157,    0
    91,   353,18860228, -195,    0
    91,   353,18860301, -228,    0
    91,   353,18860302, -221,    0
    91,   353,18860303, -239,    0
    91,   353,18860304, -121,    0
    91,   353,18860305,  -90,    0
    91,   353,18860306,  -67,    0
    91,   353,18860307,  -59,    0
    91,   353,18860308,  -45,    0
    91,   353,18860309,  -47,    0
    91,   353,18860310,  -62,    0
    91,   353,18860311,  -30,    0
    91,   353,18860312,  -47,    0
    91,   353,18860313,  -69,    0
    91,   353,18860314,  -44,    0
    91,   353,18860315,  -23,    0
    91,   353,18860316,  -81,    0
    91,   353,18860317, -128,    0
    91,   353,18860318, -151,    0
    91,   353,18860319,  -83,    0
    91,   353,18860320, -113,    0
    91,   353,18860321, -114,    0
    91,   353,18860322,  -92,    0
    91,   353,18860323,  -68,    0
    91,   353,18860324,  -63,    0
    91,   353,18860325, -137,    0
    91,   353,18860326, -129,    0
    91,   353,18860327, -135,    0
    91,   353,18860328,  -84,    0
    91,   353,18860329,  -38,    0
    91,   353,18860330,    8,    0
    91,   353,18860331,    4,    0
    91,   353,18860401,    4,    0
    91,   353,18860402,  -11,    0
    91,   353,18860403,   -4,    0
    91,   353,18860404,   -3,    0
    91,   353,18860405,    1,    0
    91,   353,18860406,  -35,    0
    91,   353,18860407,  -29,    0
    91,   353,18860408,   15,    0
    91,   353,18860409,   28,    0
    91,   353,18860410,   16,    0
    91,   353,18860411,   31,    0
    91,   353,18860412,   36,    0
    91,   353,18860413,   12,    0
    91,   353,18860414,    6,    0
    91,   353,18860415,   42,    0
    91,   353,18860416,    6,    0
    91,   353,18860417,  -21,    0
    91,   353,18860418,   -9,    0
    91,   353,18860419,   -6,    0
    91,   353,18860420,   18,    0
    91,   353,18860421,   17,    0
    91,   353,18860422,   45,    0
    91,   353,18860423,   55,    0
    91,   353,18860424,   48,    0
    91,   353,18860425,   32,    0
    91,   353,18860426,   50,    0
    91,   353,18860427,   57,    0
    91,   353,18860428,    8,    0
    91,   353,18860429,   38,    0
    91,   353,18860430,  128,    0
    91,   353,18860501,  107,    0
    91,   353,18860502,  135,    0
    91,   353,18860503,   68,    0
    91,   353,18860504,   92,    0
    91,   353,18860505,  114,    0
    91,   353,18860506,  141,    0
    91,   353,18860507,  173,    0
    91,   353,18860508,  178,    0
    91,   353,18860509,  173,    0
    91,   353,18860510,  186,    0
    91,   353,18860511,  170,    0
    91,   353,18860512,  160,    0
    91,   353,18860513,  128,    0
    91,   353,18860514,  134,    0
    91,   353,18860515,  141,    0
    91,   353,18860516,  156,    0
    91,   353,18860517,  130,    0
    91,   353,18860518,  125,    0
    91,   353,18860519,  170,    0
    91,   353,18860520,  134,    0
    91,   353,18860521,  151,    0
    91,   353,18860522,  134,    0
    91,   353,18860523,  138,    0
    91,   353,18860524,  164,    0
    91,   353,18860525,  121,    0
    91,   353,18860526,   82,    0
    91,   353,18860527,  151,    0
    91,   353,18860528,  178,    0
    91,   353,18860529,  145,    0
    91,   353,18860530,  160,    0
    91,   353,18860531,  177,    0
    91,   353,18860601,  229,    0
    91,   353,18860602,  226,    0
    91,   353,18860603,  192,    0
    91,   353,18860604,  220,    0
    91,   353,18860605,  236,    0
    91,   353,18860606,  244,    0
    91,   353,18860607,  238,    0
    91,   353,18860608,  137,    0
    91,   353,18860609,  167,    0
    91,   353,18860610,  180,    0
    91,   353,18860611,  196,    0
    91,   353,18860612,  198,    0
    91,   353,18860613,  218,    0
    91,   353,18860614,  205,    0
    91,   353,18860615,  212,    0
    91,   353,18860616,  210,    0
    91,   353,18860617,  203,    0
    91,   353,18860618,  187,    0
    91,   353,18860619,  178,    0
    91,   353,18860620,  167,    0
    91,   353,18860621,  196,    0
    91,   353,18860622,  153,    0
    91,   353,18860623,  181,    0
    91,   353,18860624,  225,    0
    91,   353,18860625,  236,    0
    91,   353,18860626,  180,    0
    91,   353,18860627,  187,    0
    91,   353,18860628,  168,    0
    91,   353,18860629,  157,    0
    91,   353,18860630,  152,    0
    91,   353,18860701,  154,    0
    91,   353,18860702,  159,    0
    91,   353,18860703,  143,    0
    91,   353,18860704,  160,    0
    91,   353,18860705,  143,    0
    91,   353,18860706,  185,    0
    91,   353,18860707,  186,    0
    91,   353,18860708,  207,    0
    91,   353,18860709,  209,    0
    91,   353,18860710,  210,    0
    91,   353,18860711,  204,    0
    91,   353,18860712,  226,    0
    91,   353,18860713,  229,    0
    91,   353,18860714,  239,    0
    91,   353,18860715,  236,    0
    91,   353,18860716,  220,    0
    91,   353,18860717,  204,    0
    91,   353,18860718,  229,    0
    91,   353,18860719,  251,    0
    91,   353,18860720,  257,    0
    91,   353,18860721,  239,    0
    91,   353,18860722,  223,    0
    91,   353,18860723,  216,    0
    91,   353,18860724,  228,    0
    91,   353,18860725,  194,    0
    91,   353,18860726,  221,    0
    91,   353,18860727,  210,    0
    91,   353,18860728,  210,    0
    91,   353,18860729,  214,    0
    91,   353,18860730,  197,    0
    91,   353,18860731,  208,    0
    91,   353,18860801,  230,    0
    91,   353,18860802,  201,    0
    91,   353,18860803,  227,    0
    91,   353,18860804,  226,    0
    91,   353,18860805,  211,    0
    91,   353,18860806,  229,    0
    91,   353,18860807,  219,    0
    91,   353,18860808,  231,    0
    91,   353,18860809,  212,    0
    91,   353,18860810,  207,    0
    91,   353,18860811,  202,    0
    91,   353,18860812,  192,    0
    91,   353,18860813,  171,    0
    91,   353,18860814,  197,    0
    91,   353,18860815,  223,    0
    91,   353,18860816,  173,    0
    91,   353,18860817,  152,    0
    91,   353,18860818,  149,    0
    91,   353,18860819,  174,    0
    91,   353,18860820,  183,    0
    91,   353,18860821,  164,    0
    91,   353,18860822,  163,    0
    91,   353,18860823,  178,    0
    91,   353,18860824,  169,    0
    91,   353,18860825,  160,    0
    91,   353,18860826,  151,    0
    91,   353,18860827,  156,    0
    91,   353,18860828,  189,    0
    91,   353,18860829,  198,    0
    91,   353,18860830,  132,    0
    91,   353,18860831,  142,    0
    91,   353,18860901,  110,    0
    91,   353,18860902,   73,    0
    91,   353,18860903,   71,    0
    91,   353,18860904,  118,    0
    91,   353,18860905,   98,    0
    91,   353,18860906,   92,    0
    91,   353,18860907,   76,    0
    91,   353,18860908,   93,    0
    91,   353,18860909,   83,    0
    91,   353,18860910,  104,    0
    91,   353,18860911,  115,    0
    91,   353,18860912,  127,    0
    91,   353,18860913,  139,    0
    91,   353,18860914,  142,    0
    91,   353,18860915,  142,    0
    91,   353,18860916,  177,    0
    91,   353,18860917,  169,    0
    91,   353,18860918,  163,    0
    91,   353,18860919,  114,    0
    91,   353,18860920,   96,    0
    91,   353,18860921,   65,    0
    91,   353,18860922,   68,    0
    91,   353,18860923,  103,    0
    91,   353,18860924,  114,    0
    91,   353,18860925,  153,    0
    91,   353,18860926,  164,    0
    91,   353,18860927,  103,    0
    91,   353,18860928,   58,    0
    91,   353,18860929,   61,    0
    91,   353,18860930,   70,    0
    91,   353,18861001,   79,    0
    91,   353,18861002,   70,    0
    91,   353,18861003,   59,    0
    91,   353,18861004,   34,    0
    91,   353,18861005,   31,    0
    91,   353,18861006,   29,    0
    91,   353,18861007,    9,    0
    91,   353,18861008,    0,    0
    91,   353,18861009,  -12,    0
    91,   353,18861010,   11,    0
    91,   353,18861011,   37,    0
    91,   353,18861012,   10,    0
    91,   353,18861013,   28,    0
    91,   353,18861014,    9,    0
    91,   353,18861015,    9,    0
    91,   353,18861016,   40,    0
    91,   353,18861017,   31,    0
    91,   353,18861018,   44,    0
    91,   353,18861019,   70,    0
    91,   353,18861020,   72,    0
    91,   353,18861021,   24,    0
    91,   353,18861022,  -12,    0
    91,   353,18861023,  -28,    0
    91,   353,18861024,  -44,    0
    91,   353,18861025,  -56,    0
    91,   353,18861026,  -14,    0
    91,   353,18861027,   -5,    0
    91,   353,18861028,   12,    0
    91,   353,18861029,  -49,    0
    91,   353,18861030,  -94,    0
    91,   353,18861031,  -73,    0
    91,   353,18861101,  -70,    0
    91,   353,18861102,  -55,    0
    91,   353,18861103, -105,    0
    91,   353,18861104, -166,    0
    91,   353,18861105, -107,    0
    91,   353,18861106, -111,    0
    91,   353,18861107, -155,    0
    91,   353,18861108,  -87,    0
    91,   353,18861109,  -47,    0
    91,   353,18861110,    5,    0
    91,   353,18861111,   15,    0
    91,   353,18861112,   18,    0
    91,   353,18861113,    3,    0
    91,   353,18861114,   -4,    0
    91,   353,18861115,   -7,    0
    91,   353,18861116,  -16,    0
    91,   353,18861117,  -27,    0
    91,   353,18861118,    7,    0
    91,   353,18861119,   -6,    0
    91,   353,18861120,    1,    0
    91,   353,18861121,   -1,    0
    91,   353,18861122,  -14,    0
    91,   353,18861123, -115,    0
    91,   353,18861124,  -35,    0
    91,   353,18861125,  -14,    0
    91,   353,18861126,  -10,    0
    91,   353,18861127,   -8,    0
    91,   353,18861128,    1,    0
    91,   353,18861129,  -24,    0
    91,   353,18861130,  -61,    0
    91,   353,18861201,  -21,    0
    91,   353,18861202,   -5,    0
    91,   353,18861203,    2,    0
    91,   353,18861204,    2,    0
    91,   353,18861205,  -32,    0
    91,   353,18861206,  -29,    0
    91,   353,18861207,  -17,    0
    91,   353,18861208,  -20,    0
    91,   353,18861209,  -13,    0
    91,   353,18861210,  -14,    0
    91,   353,18861211, -138,    0
    91,   353,18861212, -153,    0
    91,   353,18861213, -150,    0
    91,   353,18861214, -172,    0
    91,   353,18861215, -174,    0
    91,   353,18861216, -121,    0
    91,   353,18861217,  -24,    0
    91,   353,18861218,  -13,    0
    91,   353,18861219,  -19,    0
    91,   353,18861220,  -10,    0
    91,   353,18861221,   12,    0
    91,   353,18861222,  -51,    0
    91,   353,18861223, -168,    0
    91,   353,18861224, -166,    0
    91,   353,18861225,  -85,    0
    91,   353,18861226,  -48,    0
    91,   353,18861227,  -59,    0
    91,   353,18861228,  -34,    0
    91,   353,18861229,  -54,    0
    91,   353,18861230, -187,    0
    91,   353,18861231, -215,    0
    91,   353,18870101, -210,    0
    91,   353,18870102, -167,    0
    91,   353,18870103, -188,    0
    91,   353,18870104, -182,    0
    91,   353,18870105, -159,    0
    91,   353,18870106, -172,    0
    91,   353,18870107, -166,    0
    91,   353,18870108, -212,    0
    91,   353,18870109, -210,    0
    91,   353,18870110, -213,    0
    91,   353,18870111, -222,    0
    91,   353,18870112, -267,    0
    91,   353,18870113, -240,    0
    91,   353,18870114, -212,    0
    91,   353,18870115, -148,    0
    91,   353,18870116, -135,    0
    91,   353,18870117, -138,    0
    91,   353,18870118, -126,    0
    91,   353,18870119, -200,    0
    91,   353,18870120, -237,    0
    91,   353,18870121, -243,    0
    91,   353,18870122, -264,    0
    91,   353,18870123, -177,    0
    91,   353,18870124,  -66,    0
    91,   353,18870125, -100,    0
    91,   353,18870126, -156,    0
    91,   353,18870127, -157,    0
    91,   353,18870128,  -95,    0
    91,   353,18870129,  -88,    0
    91,   353,18870130, -115,    0
    91,   353,18870131, -154,    0
    91,   353,18870201, -112,    0
    91,   353,18870202,  -33,    0
    91,   353,18870203,  -56,    0
    91,   353,18870204,  -78,    0
    91,   353,18870205, -106,    0
    91,   353,18870206,  -14,    0
    91,   353,18870207,  -80,    0
    91,   353,18870208,  -85,    0
    91,   353,18870209, -134,    0
    91,   353,18870210, -128,    0
    91,   353,18870211, -115,    0
    91,   353,18870212, -148,    0
    91,   353,18870213, -181,    0
    91,   353,18870214, -202,    0
    91,   353,18870215, -136,    0
    91,   353,18870216, -197,    0
    91,   353,18870217, -218,    0
    91,   353,18870218, -140,    0
    91,   353,18870219, -136,    0
    91,   353,18870220, -164,    0
    91,   353,18870221, -141,    0
    91,   353,18870222, -180,    0
    91,   353,18870223, -205,    0
    91,   353,18870224, -105,    0
    91,   353,18870225,  -97,    0
    91,   353,18870226, -113,    0
    91,   353,18870227,  -88,    0
    91,   353,18870228,  -85,    0
    91,   353,18870301,  -89,    0
    91,   353,18870302,  -46,    0
    91,   353,18870303,  -10,    0
    91,   353,18870304,  -18,    0
    91,   353,18870305,  -66,    0
    91,   353,18870306,  -86,    0
    91,   353,18870307,  -42,    0
    91,   353,18870308,  -84,    0
    91,   353,18870309,  -80,    0
    91,   353,18870310,  -67,    0
    91,   353,18870311,    3,    0
    91,   353,18870312,  -51,    0
    91,   353,18870313, -123,    0
    91,   353,18870314,  -35,    0
    91,   353,18870315,  -56,    0
    91,   353,18870316, -118,    0
    91,   353,18870317, -101,    0
    91,   353,18870318, -138,    0
    91,   353,18870319, -177,    0
    91,   353,18870320, -103,    0
    91,   353,18870321,  -66,    0
    91,   353,18870322,  -93,    0
    91,   353,18870323, -108,    0
    91,   353,18870324,  -67,    0
    91,   353,18870325,  -68,    0
    91,   353,18870326, -123,    0
    91,   353,18870327, -113,    0
    91,   353,18870328, -121,    0
    91,   353,18870329,  -59,    0
    91,   353,18870330,   -7,    0
    91,   353,18870331,   -7,    0
    91,   353,18870401,  -25,    0
    91,   353,18870402,  -30,    0
    91,   353,18870403,   31,    0
    91,   353,18870404,   11,    0
    91,   353,18870405,    7,    0
    91,   353,18870406,    5,    0
    91,   353,18870407,   15,    0
    91,   353,18870408,   14,    0
    91,   353,18870409,   34,    0
    91,   353,18870410,   28,    0
    91,   353,18870411,   19,    0
    91,   353,18870412,    0,    0
    91,   353,18870413,   18,    0
    91,   353,18870414,   35,    0
    91,   353,18870415,   34,    0
    91,   353,18870416,   49,    0
    91,   353,18870417,   56,    0
    91,   353,18870418,   62,    0
    91,   353,18870419,   76,    0
    91,   353,18870420,   74,    0
    91,   353,18870421,   83,    0
    91,   353,18870422,   71,    0
    91,   353,18870423,   73,    0
    91,   353,18870424,   46,    0
    91,   353,18870425,   19,    0
