EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PAVELEс, RUSSIAN FEDERATION (STAID: 92)
Blended and updated with sources:357 927823 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    92,   357,19360101,  -18,    0
    92,   357,19360102,    0,    0
    92,   357,19360103,  -43,    0
    92,   357,19360104,  -49,    0
    92,   357,19360105,  -19,    0
    92,   357,19360106,  -23,    0
    92,   357,19360107,  -56,    0
    92,   357,19360108,  -52,    0
    92,   357,19360109,  -54,    0
    92,   357,19360110,  -38,    0
    92,   357,19360111,  -47,    0
    92,   357,19360112,  -45,    0
    92,   357,19360113,  -13,    0
    92,   357,19360114,  -60,    0
    92,   357,19360115,  -73,    0
    92,   357,19360116,  -93,    0
    92,   357,19360117, -102,    0
    92,   357,19360118, -107,    0
    92,   357,19360119,  -74,    0
    92,   357,19360120,  -68,    0
    92,   357,19360121,  -19,    0
    92,   357,19360122,   -5,    0
    92,   357,19360123,    4,    0
    92,   357,19360124,   11,    0
    92,   357,19360125,  -13,    0
    92,   357,19360126,  -22,    0
    92,   357,19360127,  -50,    0
    92,   357,19360128,  -55,    0
    92,   357,19360129,  -73,    0
    92,   357,19360130, -126,    0
    92,   357,19360131, -224,    0
    92,   357,19360201, -226,    0
    92,   357,19360202, -138,    0
    92,   357,19360203,  -63,    0
    92,   357,19360204,  -18,    0
    92,   357,19360205,  -49,    0
    92,   357,19360206,  -81,    0
    92,   357,19360207,  -82,    0
    92,   357,19360208, -112,    0
    92,   357,19360209,  -69,    0
    92,   357,19360210, -127,    0
    92,   357,19360211, -258,    0
    92,   357,19360212, -231,    0
    92,   357,19360213, -212,    0
    92,   357,19360214, -141,    0
    92,   357,19360215, -161,    0
    92,   357,19360216, -224,    0
    92,   357,19360217, -148,    0
    92,   357,19360218, -202,    0
    92,   357,19360219, -226,    0
    92,   357,19360220, -192,    0
    92,   357,19360221, -168,    0
    92,   357,19360222, -119,    0
    92,   357,19360223, -117,    0
    92,   357,19360224, -152,    0
    92,   357,19360225, -180,    0
    92,   357,19360226, -170,    0
    92,   357,19360227, -154,    0
    92,   357,19360228,  -54,    0
    92,   357,19360229,  -30,    0
    92,   357,19360301,  -41,    0
    92,   357,19360302,  -39,    0
    92,   357,19360303,  -55,    0
    92,   357,19360304,  -32,    0
    92,   357,19360305,   -5,    0
    92,   357,19360306,  -26,    0
    92,   357,19360307,  -79,    0
    92,   357,19360308,  -73,    0
    92,   357,19360309,  -77,    0
    92,   357,19360310,  -73,    0
    92,   357,19360311,  -93,    0
    92,   357,19360312,  -18,    0
    92,   357,19360313,  -17,    0
    92,   357,19360314,  -45,    0
    92,   357,19360315,  -35,    0
    92,   357,19360316,  -52,    0
    92,   357,19360317,  -47,    0
    92,   357,19360318,  -16,    0
    92,   357,19360319,  -29,    0
    92,   357,19360320,  -20,    0
    92,   357,19360321,  -63,    0
    92,   357,19360322,  -52,    0
    92,   357,19360323,    4,    0
    92,   357,19360324,  -27,    0
    92,   357,19360325,  -87,    0
    92,   357,19360326,  -85,    0
    92,   357,19360327,  -93,    0
    92,   357,19360328,  -61,    0
    92,   357,19360329,  -49,    0
    92,   357,19360330,  -32,    0
    92,   357,19360331,  -36,    0
    92,   357,19360401,  -57,    0
    92,   357,19360402,  -40,    0
    92,   357,19360403,    6,    0
    92,   357,19360404,   11,    0
    92,   357,19360405,  -22,    0
    92,   357,19360406,  -44,    0
    92,   357,19360407,  -46,    0
    92,   357,19360408,  -10,    0
    92,   357,19360409,  -23,    0
    92,   357,19360410,  -31,    0
    92,   357,19360411,  -24,    0
    92,   357,19360412,   -3,    0
    92,   357,19360413,    3,    0
    92,   357,19360414,    9,    0
    92,   357,19360415,   10,    0
    92,   357,19360416,   19,    0
    92,   357,19360417,   25,    0
    92,   357,19360418,   18,    0
    92,   357,19360419,   50,    0
    92,   357,19360420,   55,    0
    92,   357,19360421,   53,    0
    92,   357,19360422,   61,    0
    92,   357,19360423,   78,    0
    92,   357,19360424,   92,    0
    92,   357,19360425,   94,    0
    92,   357,19360426,  108,    0
    92,   357,19360427,  127,    0
    92,   357,19360428,  127,    0
    92,   357,19360429,  123,    0
    92,   357,19360430,  110,    0
    92,   357,19360501,  107,    0
    92,   357,19360502,  121,    0
    92,   357,19360503,  148,    0
    92,   357,19360504,  121,    0
