EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PETROPAVLOVSK, RUSSIAN FEDERATION (STAID: 93)
Blended and updated with sources:361 17427 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    93, 17427,18900101,-9999,    9
    93, 17427,18900102,-9999,    9
    93, 17427,18900103,-9999,    9
    93, 17427,18900104,-9999,    9
    93, 17427,18900105,-9999,    9
    93, 17427,18900106,-9999,    9
    93, 17427,18900107,-9999,    9
    93, 17427,18900108,-9999,    9
    93, 17427,18900109,-9999,    9
    93, 17427,18900110,-9999,    9
    93, 17427,18900111,-9999,    9
    93, 17427,18900112,-9999,    9
    93, 17427,18900113,-9999,    9
    93, 17427,18900114,-9999,    9
    93, 17427,18900115,-9999,    9
    93, 17427,18900116,-9999,    9
    93, 17427,18900117,-9999,    9
    93, 17427,18900118,-9999,    9
    93, 17427,18900119,-9999,    9
    93, 17427,18900120,-9999,    9
    93, 17427,18900121,-9999,    9
    93, 17427,18900122,-9999,    9
    93, 17427,18900123,-9999,    9
    93, 17427,18900124,-9999,    9
    93, 17427,18900125,-9999,    9
    93, 17427,18900126,-9999,    9
    93, 17427,18900127,-9999,    9
    93, 17427,18900128,-9999,    9
    93, 17427,18900129,-9999,    9
    93, 17427,18900130,-9999,    9
    93, 17427,18900131,-9999,    9
    93, 17427,18900201,-9999,    9
    93, 17427,18900202,-9999,    9
    93, 17427,18900203,-9999,    9
    93, 17427,18900204,-9999,    9
    93, 17427,18900205,-9999,    9
    93, 17427,18900206,-9999,    9
    93, 17427,18900207,-9999,    9
